ID	Average__37	Average_37_53	Average__53	Median__37	Median_37_53	Median__53	log2FoldChange	pvalue	padj	comparison	treshold	samples_sex
hsa-miR-4689-3p:Novel	5.83184374264029	4.41203932142447	6.04400011995109	4.98223370373277	3.55969237632621	4.73641748536896	-0.0166414394016827	0.939496220335408	0.992125406752345	_53_vs__37	FALSE	female
hsa-miR-4690-3p	14.2609893107769	13.2419180851028	7.21332918277859	4.5283715952204	3.44928149450103	4.42988199567152	-0.677614979219489	0.0306686341661011	0.268275675962103	_53_vs__37	FALSE	female
hsa-miR-4690-5p	14.0536944190882	21.3996031628216	21.6689153654251	11.8281858528337	13.8520209976019	12.3355172879214	0.694221011845926	0.00389704124147602	0.114364379448805	_53_vs__37	FALSE	female
hsa-miR-4691-3p	1.20044909181545	0.992337947917454	1.42918288989951	0.324148607354379	0.473289579992553	0.489373955478071	0.0269569666532612	0.947179117974539	NA	_53_vs__37	NA	female
hsa-miR-4691-5p	3.5421576520841	0.947626855246063	1.02001808964774	0	0	0	-1.27943607569815	0.0234453655121697	0.236245632864592	_53_vs__37	FALSE	female
hsa-miR-4692	7.23257499886618	6.51778910484812	6.00095485399108	5.17192012950118	3.92077746882699	3.69376383184305	-0.0661889788458672	0.795805836606937	0.938301586362563	_53_vs__37	FALSE	female
hsa-miR-4692-5p:Novel	9.3298436260693	7.32886232873076	6.09865015485601	3.60375009781178	3.09760907047158	2.61939141299985	-0.126912772659991	0.69912586779761	0.89239289560512	_53_vs__37	FALSE	female
hsa-miR-4693-3p	290.411831989591	184.328993393056	165.127274783169	73.2494443249981	83.6277703659907	81.1851091125318	-0.359383473076235	0.157776886379485	0.508317906541814	_53_vs__37	FALSE	female
hsa-miR-4693-5p	2.51498773979509	3.94585908117248	1.8429080763806	0.37254589535204	0.409922190601308	0	0.0286955652750318	0.952606878643346	0.992348384116392	_53_vs__37	FALSE	female
hsa-miR-4694-3p	2.58942161047224	1.34303093541899	2.64932106883919	0.922557963010094	0.500783880567561	1.05461833533442	0.00489577448162813	0.989562093272626	0.999677256666848	_53_vs__37	FALSE	female
hsa-miR-4694-5p	0.103748576242919	0.0119938926455633	0.0623559209927768	0	0	0	-0.313966064555893	0.880004470877397	NA	_53_vs__37	NA	female
hsa-miR-4695-3p	0.314168306866499	0.148224495808589	0.140225220534456	0	0	0	-0.641789807247848	0.33851999349168	NA	_53_vs__37	NA	female
