ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Averagec.drinker	Averagec.no_drinker	Medianc.drinker	Medianc.no_drinker
hsa-let-7d-5p	34.7725808042191	0.193058344389083	0.438882858616217	0.439885815996072	0.660019809420179	0.883530426743765	c.no_drinker_vs_c.drinker	FALSE	11.0683967651128	265.865753210705	2.70401030447797	6.17387442472602
hsa-let-7e-3p	0.08332330472642	0.383943028474834	2.38504429594907	0.160979412049893	0.872109615949312	NA	c.no_drinker_vs_c.drinker	NA	0.0693918670134219	0.125064376108302	0	0
hsa-let-7e-5p	4.22887809481502	0.592822993123225	0.435512572076622	1.36120753138425	0.173448114784137	0.586900816086621	c.no_drinker_vs_c.drinker	FALSE	3.34328186807145	19.5229507059815	1.94826545477426	3.21001016721926
hsa-let-7f-1-3p	0.0789497411829645	0.119974107992144	3.37959054693262	0.0354995986425145	0.971681366411828	NA	c.no_drinker_vs_c.drinker	NA	0.119906403255765	0.194181094461583	0	0
hsa-let-7f-2-3p	0.480033123319133	0.536020916177547	0.677184211325038	0.791543729480523	0.428626768516638	NA	c.no_drinker_vs_c.drinker	NA	0.326638991687172	0.986885000584162	0	0
hsa-let-7f-5p	2.19057776032185	0.086291546231306	0.511811950578657	0.168600100356673	0.866111201619119	NA	c.no_drinker_vs_c.drinker	NA	1.85316286317548	2.67041499156393	0.499138694257841	1.50555512704363
hsa-let-7g-3p	2.95924040264874	0.336914298509825	0.471020984613807	0.71528511364746	0.474432885147292	0.803331480010189	c.no_drinker_vs_c.drinker	FALSE	2.14207852542029	4.29589756879139	0	1.48886577573276
hsa-let-7g-5p	210.641036207227	0.508285088031897	0.498130231192749	1.02038594769651	0.307545455712562	0.707550492760008	c.no_drinker_vs_c.drinker	FALSE	60.1593101702229	1567.12178189903	8.52511554175741	7.99929921924713
hsa-let-7i-3p	0.321038812264859	0.404880686612584	0.983246418909554	0.411779467309535	0.68050107234168	NA	c.no_drinker_vs_c.drinker	NA	0.200176387516074	0.519663817400906	0	0
hsa-let-7i-5p	253.82634692268	1.19863548893841	0.464291321948957	2.58164525648874	0.00983306015161678	0.175495688844035	c.no_drinker_vs_c.drinker	FALSE	55.1759975121214	1766.2085689173	6.61435299991476	12.7395788243072
hsa-miR-1-2-5p:Novel	9.77731447266721	-0.585896108369382	0.443974694788715	-1.31966104205152	0.186948212580292	0.608638921214639	c.no_drinker_vs_c.drinker	FALSE	9.66210350044111	8.72753384338175	3.63568109247174	3.84629256502136
hsa-miR-1-3p	1.92911089471694	0.00562100021299254	0.395242735748009	0.0142216407908285	0.988653154877823	NA	c.no_drinker_vs_c.drinker	NA	1.4549781272884	2.76587849265346	0.741111548106239	1.58444884456204
hsa-miR-1-5p	12.316696507583	0.253287314946163	0.395833304208126	0.639883790104198	0.522248153098823	0.826548099078089	c.no_drinker_vs_c.drinker	FALSE	12.0910403109711	9.37564526028598	6.59378425453817	4.34943561540265
hsa-miR-100-3p	0.28725345502285	0.928186251857573	0.943630183223278	0.983633491551795	0.32529575168116	NA	c.no_drinker_vs_c.drinker	NA	0.175982139484245	0.403450243021317	0	0
hsa-miR-100-5p	6.58136508172042	1.7681785553513	0.790533946972667	2.23668896462005	0.0253066757546615	0.267961922633632	c.no_drinker_vs_c.drinker	FALSE	3.56662223773712	24.8018375308887	0	2.02549711755872
hsa-miR-101-2-5p	1.39657262953386	0.1019329085181	0.54506727781867	0.1870097741439	0.851652969483923	NA	c.no_drinker_vs_c.drinker	NA	1.10085105908973	1.67486034586637	0.419129639937372	0.936238148461074
hsa-miR-101-3p	3.28552941596658	0.100882981752529	0.361786807069261	0.278846491307286	0.780362634010174	0.927901550980477	c.no_drinker_vs_c.drinker	FALSE	2.69500606236459	4.05717497293395	1.88638552988939	2.6434416674581
hsa-miR-101-5p	10.9359193946549	0.616359189774589	0.528128421815466	1.16706309358589	0.243184890749835	0.652436302361395	c.no_drinker_vs_c.drinker	FALSE	3.32147257273042	59.6863616688848	0.878903583341618	2.31872322385539
hsa-miR-10226	2.65220822471686	-0.822829141676377	0.442064947632063	-1.86133088833189	0.0626974637541143	0.39708393710939	c.no_drinker_vs_c.drinker	FALSE	2.7040330918707	2.64988394309965	1.51119692139651	1.62080329026892
hsa-miR-10226-3p:Novel	12.4038973450119	-0.050601434576149	0.432379049283604	-0.117030264671679	0.906836070524767	0.974889283679098	c.no_drinker_vs_c.drinker	FALSE	11.4689194552064	13.5922273718007	5.03779938713927	8.63923633283174
hsa-miR-10392-3p	1.05634339559084	0.358391322795414	0.565408494661956	0.63386264298998	0.526170467131902	NA	c.no_drinker_vs_c.drinker	NA	1.16851886149066	1.28704520262963	0.398592990087618	0.74993242098732
hsa-miR-10392-5p	116.047671391635	0.170608901597951	0.288133540842954	0.592117464349424	0.553771932957322	0.841494098943375	c.no_drinker_vs_c.drinker	FALSE	105.076376216119	192.538848563689	64.9522999364741	93.8588592254147
hsa-miR-10393-3p	0.257270619941029	0.985983117683774	1.38536185258014	0.711715221440121	0.476641139998386	NA	c.no_drinker_vs_c.drinker	NA	0.213444908977211	0.369422764555206	0	0
hsa-miR-10393-5p	0.0554761165325158	0.573040266248495	3.6999159215119	0.154879267098138	0.876916498861623	NA	c.no_drinker_vs_c.drinker	NA	0.0473214870845419	0.0918892933478775	0	0
hsa-miR-10394-3p	2.32289731864564	-0.499932606327885	0.565783911002008	-0.883610503244076	0.376906507208156	NA	c.no_drinker_vs_c.drinker	NA	2.41841553633037	2.93671298941865	0.595817340433505	1.04353925019004
hsa-miR-10394-5p	0.670799753300176	-0.353283578299718	0.836735709172132	-0.422216447113578	0.672867037643989	NA	c.no_drinker_vs_c.drinker	NA	0.606204426882842	0.427094727524283	0	0
hsa-miR-10395-3p	0.676505482585388	0.0170559146312678	0.714166195663968	0.0238822766112736	0.980946511466836	NA	c.no_drinker_vs_c.drinker	NA	0.553071951613489	2.94325709251572	0	0
hsa-miR-10395-5p	2.93495428117654	-0.256146208079171	0.382665757918056	-0.669373213513455	0.503257434335564	0.822559198349758	c.no_drinker_vs_c.drinker	FALSE	3.22856114072523	2.75854151290933	1.49894073640282	1.88472303325991
hsa-miR-10396a-3p	1.23881998142499	0.205631551375544	0.517147576002006	0.397626443432748	0.690905565319278	NA	c.no_drinker_vs_c.drinker	NA	0.937705952269329	1.61482232710006	0.296930189210837	0.646656745573847
hsa-miR-10396a-5p	4.38555736770626	-0.0400195705836878	0.426443637070205	-0.0938449237011348	0.92523234517283	0.97861627133974	c.no_drinker_vs_c.drinker	FALSE	3.99313745855576	6.11852643124499	2.31942343968758	1.89165482809317
hsa-miR-10396b-3p	1.28886369583891	-0.00532268870414415	0.458257461094866	-0.0116150617415529	0.990732729938152	NA	c.no_drinker_vs_c.drinker	NA	1.15581277442674	2.00218957087888	0.597443212887184	0.824965019353844
hsa-miR-10396b-5p	3.22211683290458	-0.0415072112049174	0.496807556929578	-0.0835478660216936	0.933415918818678	0.978974859655848	c.no_drinker_vs_c.drinker	FALSE	2.95358462135088	4.85707640197427	1.41901947950851	1.13577196806945
hsa-miR-10397-3p	16.4007488974015	-0.0887292940562911	0.31433677812102	-0.282274618282593	0.777732946229778	0.926469500502032	c.no_drinker_vs_c.drinker	FALSE	18.2755185073661	38.1368999829304	12.8513871589933	11.1349065308682
hsa-miR-10397-5p	3.29621319127187	-1.26932007950932	0.563845114876678	-2.25118573526515	0.0243737759956017	0.267703906547385	c.no_drinker_vs_c.drinker	FALSE	3.72941542101575	1.83893971201127	1.33334889329946	0.817759148426108
hsa-miR-10398-3p	1.41902068842207	0.314321731904544	0.396452705266835	0.79283538169575	0.427873739365546	NA	c.no_drinker_vs_c.drinker	NA	1.1576457074502	2.77374842540183	0.687140853820144	2.05079998431582
hsa-miR-10398-5p	0.62338581923793	0.521762230893626	0.640203126190706	0.814994818907214	0.415075275786225	NA	c.no_drinker_vs_c.drinker	NA	0.585841881071069	0.972437198651759	0	0
hsa-miR-10399-3p	0.390289709430189	0.297477193101783	0.974580946893917	0.305236003279021	0.760186413310997	NA	c.no_drinker_vs_c.drinker	NA	0.273949592148415	0.828644351037504	0	0
hsa-miR-10399-5p	0.588565799453715	0.78019299774985	0.759911977969416	1.02668864338029	0.304567098562124	NA	c.no_drinker_vs_c.drinker	NA	0.412547598621087	0.874813161498203	0	0
hsa-miR-103a-1-5p	0.552723104668822	0.940250018471715	0.877723705877734	1.0712368962753	0.284062925524399	NA	c.no_drinker_vs_c.drinker	NA	0.460059373549532	0.893500682236537	0	0
hsa-miR-103a-2-5p	0.282810906102183	0.691488998789827	1.11266935529587	0.621468539147423	0.534291388236214	NA	c.no_drinker_vs_c.drinker	NA	0.223785402874145	0.417921844042789	0	0
hsa-miR-103a-3p	1.44114134219365	0.717044775651117	0.415958701666314	1.72383645967416	0.0847373706388587	NA	c.no_drinker_vs_c.drinker	NA	1.2828750996589	2.27323100902936	0.87361872915729	1.24293674121055
