ID	Average_underweight	Average_normal	Average_overweight	Average_obese	Median_underweight	Median_normal	Median_overweight	Median_obese	log2FoldChange	pvalue	padj	comparison	treshold
hsa-miR-4679	0.315501114396855	0.595241128985049	0.342188313556556	0.226770218013319	0	0	0	0	0.0608255007123561	0.91094053381836	NA	normal_vs_underweight	NA
hsa-miR-4679-3p:Novel	1.68630941984777	2.67454694765646	0.833244182883737	1.06965384624934	0.243805739922049	0.640202693095392	0.153619439906119	0	0.604382958958386	0.247995007068837	NA	normal_vs_underweight	NA
hsa-miR-4680-3p	0.240526728252793	0.457514040858722	0.508061148542838	0.234499690741464	0	0	0	0	0.556204197756095	0.40868817854136	NA	normal_vs_underweight	NA
hsa-miR-4680-5p	0.116094788348949	2.54493963533192	0.804736574329558	0.181922000443268	0	0	0	0	0.547682815646064	0.624556717514953	NA	normal_vs_underweight	NA
hsa-miR-4681	1.41639932284241	2.09753332353597	2.13750129913097	1.97441468699293	0.623374540256912	1.01850780040014	0.715335988424536	0	-0.00750685769551928	0.984810703400078	NA	normal_vs_underweight	NA
hsa-miR-4681-3p:Novel	3.60730290192068	3.66247457937831	3.2508364309532	2.23187044517274	1.24674908051382	1.23665869915962	1.40286032192212	1.19680716081393	0.0186732292313683	0.965560201839295	0.989825770292329	normal_vs_underweight	FALSE
hsa-miR-4682	10.05417321454	6.61863983433985	6.91224668456573	5.50773802168165	5.13631166684856	4.29644462855844	3.88075323416327	2.84205299000206	-0.926919958904638	0.00504341691546849	0.0975591217773566	normal_vs_underweight	FALSE
hsa-miR-4682-3p:Novel	28.034849907142	30.8345929572556	28.6512754765899	46.1649817227449	16.5864142717291	20.6434776171382	17.2708999265842	10.2781427265146	0.32458444406417	0.28178106756372	0.632475983172915	normal_vs_underweight	FALSE
hsa-miR-4683	31.0191828201855	38.2805101685576	31.4272713219557	30.7066937736669	16.4884466619821	22.5967385561204	19.1465741851411	20.464257198052	0.758379860111777	0.00766097406758669	0.117757019294418	normal_vs_underweight	FALSE
hsa-miR-4683-5p:Novel	6.28113741094125	11.8349766448075	7.22478332581703	7.67064475602438	3.08178700010914	6.139328336773	3.35445081752113	3.33293016823779	0.969832817856512	0.00580498120672817	0.100733497410871	normal_vs_underweight	FALSE
