ID	Average_underweight	Average_normal	Average_overweight	Average_obese	Median_underweight	Median_normal	Median_overweight	Median_obese	log2FoldChange	pvalue	padj	comparison	treshold	samples_sex
hsa-miR-4526	3.73894879580706	4.59340812979344	2.26804240078583	1.8564660180707	3.73894879580706	2.26179998484559	1.1433076246401	1.62175330311096	0.995061914492575	0.461247557583966	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-miR-4526-5p:Novel	0	1.71764050985359	1.67235467118554	2.31236659795317	0	1.38967883050771	1.12122643399713	1.81980555701615	-1.10853817530433	0.472709588824405	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-miR-4527	0.62315813263451	2.98665944033642	2.02317950873765	4.33189249427717	0.62315813263451	1.75936732471735	1.08325488964478	1.73725533101029	-0.518775816639105	0.745730129996545	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-miR-4527-3p:Novel	6.2315813263451	25.754368450047	11.2672312825697	26.12836074352	6.2315813263451	11.1388550039961	8.12090016221951	15.0322116730392	-0.70125868946511	0.629723244412917	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-miR-4528	0	0.752473803805738	0.756680408532155	0.424855701168692	0	0	0	0	-0.267471412121048	0.901839193875987	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-miR-4528-5p:Novel	80.5305667165943	49.4505666272673	93.7502130984127	15.2867126855529	80.5305667165943	23.5141476578867	26.6185814015898	5.46214325805785	-0.0639931418531783	0.955327807811857	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-miR-4529-3p	0.62315813263451	0.979288513516695	0.758305320483767	0.968068171487631	0.62315813263451	0	0.0475779204380613	0	0.944614556388553	0.622515297488476	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-miR-4529-5p	6.2315813263451	0.791856159176272	0.607938006341366	0.249270723303253	6.2315813263451	0	0	0	3.5675148599367	0.105690982958871	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-miR-4530	1.24631626526902	11.6713614160435	6.54750712298482	16.5094282507112	1.24631626526902	5.81050937224044	4.87847193197691	9.56631771711534	-1.04301914775855	0.463995784524878	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-miR-4530-5p:Novel	8.10105572424863	20.7384497505772	20.374992828239	103.907038728319	8.10105572424863	4.45551245584742	6.37472335749932	9.85135137261769	-1.02853569089374	0.579106525835238	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-miR-4531	1.86947439790353	2.21064925734233	2.09915641505358	3.79123026590782	1.86947439790353	1.22579580055732	1.02735614820387	0.494623154963669	0.0397903415312854	0.977338391856283	0.999216788243687	underweight_vs_normal	FALSE	male
hsa-miR-4531-5p:Novel	0.62315813263451	2.55349722132252	0.814275177354945	1.31717437222739	0.62315813263451	0.813054468756353	0	0.613879584436087	0.605983913549056	0.735594379491028	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-miR-4533	20.8505535904237	12.3435210202989	14.8646845728212	6.59920909952793	20.8505535904237	7.87520434033837	8.57950020732204	4.37521752050001	0.583390564050986	0.6352888374214	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-miR-4533-3p:Novel	4.98526506107608	8.87761793311501	5.96501758710197	14.5236658533	4.98526506107608	6.49418959345143	4.59795932050882	4.89060611723944	0.57098967969655	0.593498548101444	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-miR-4534	75.2084787363685	30.7170763131437	57.9959974064477	33.3445276289031	75.2084787363685	15.3124262699618	24.2316500433391	17.4059722717089	2.58557355295405	0.0347337033010759	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-miR-4534-5p:Novel	22.7200279883272	20.0430917186263	18.1315146820573	16.8920968324217	22.7200279883272	8.62480388369167	7.25093724635545	9.33218140175761	1.74289820170246	0.156662092777547	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-miR-4535	20.7073859836813	4.03111291810858	4.2958381004187	4.69273926655887	20.7073859836813	3.18123135349836	3.13956936585212	2.51773479634168	2.5894358104891	0.0210566744661407	0.884818879389547	underweight_vs_normal	FALSE	male
hsa-miR-4535-5p:Novel	8.10105572424863	5.40179470890112	7.00101672967712	2.67451322084459	8.10105572424863	1.58532331105503	1.93248786362137	0.800813232739917	0.604532740667716	0.574354560023949	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-miR-4536-3p	0	0.896468696225634	0.519898228874292	0.328809572684474	0	0	0	0	-0.376247975265995	0.862934103878757	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-miR-4536-5p	0	0.770163213953783	0.555740492128099	0.367170638989419	0	0	0	0	0.183589788391861	0.944355272969538	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-miR-4537	0	1.76747120808394	1.11975974545781	1.10420266470118	0	1.02869883070374	0.570469301014607	0	-0.143578891524785	0.932098254127188	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-miR-4537-3p:Novel	15.5789533158628	25.1961796651586	21.9788812778215	19.4860625312275	15.5789533158628	10.8004592596149	11.7077157453156	9.03707385391605	-0.68421310955491	0.591390542245926	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-miR-4538	10.7368558615291	1.90345447116522	1.27293129342399	1.04278796630945	10.7368558615291	0.818018561539209	0.191145272679053	1.00411931710178	2.98814495759997	0.0486833042875666	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-miR-4538-3p:Novel	15.5789533158628	10.0674520292673	17.3295397193556	8.39551329592735	15.5789533158628	7.18370730727885	9.31935085294849	5.34545139133578	0.987910307511292	0.38082361729999	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-miR-4539	1.86947439790353	2.73664297392071	2.04680644317436	1.76285419894237	1.86947439790353	1.77459529972157	1.12107079525066	0.348611475718782	1.10739964827677	0.382507218310001	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-miR-4539-5p:Novel	10.7368558615291	10.2182292681591	9.46663371435409	7.45292054279107	10.7368558615291	7.26711588218421	6.64201206037641	3.5378022526115	0.642836194346328	0.642326727336118	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-miR-454-3p	9.49053959626008	4.1568526499922	4.13320450683224	4.25629126164446	9.49053959626008	2.1906985372245	2.40880864303965	0.924530351673391	0.401640457890618	0.751562165337454	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-miR-454-5p	0	0.662014184632998	0.229434116109931	0.773467176887474	0	0	0	0	1.41391378094059	0.73134316691988	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-miR-4540	1.24631626526902	1.04127465927259	1.53060250621654	0.490614546018389	1.24631626526902	0.471610679565418	0.328785545755358	0	1.12700166057118	0.488929959271775	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-miR-4540-5p:Novel	0	0.308898319657911	0.230707068281883	0.395698523970935	0	0	0	0	1.15180580057031	0.750766477864116	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-miR-455-3p	4.36210692844157	1.63582040875539	0.417598817520567	0.175584977865438	4.36210692844157	0	0	0	2.46412753893347	0.35292885844793	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-miR-455-5p	90.6864566409016	4.72109239123244	2.93213300344099	1.84829662971471	90.6864566409016	1.51069169256658	1.49069437831665	1.41915350663706	5.32806681735879	0.000111629115668277	0.035548799289634	underweight_vs_normal	TRUE	male
hsa-miR-4632-3p	1.86947439790353	1.27220018938139	0.879550338573965	1.26677748193402	1.86947439790353	0	0	0.368428727189076	2.21428172362243	0.285516581858673	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-miR-4632-5p	65.5242838277012	50.2356609582982	39.3438489468144	51.0817685927944	65.5242838277012	37.6637910146315	31.6377233793497	46.1049259695385	0.336901890703195	0.69748018413438	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-miR-4633-3p	1.24631626526902	1.50480681286398	1.45357068607941	2.70064732615311	1.24631626526902	0.818910659021397	0.690649393550031	1.80250913300479	0.0415879303407139	0.977023585147596	0.999216788243687	underweight_vs_normal	FALSE	male
hsa-miR-4633-5p	0.62315813263451	1.8524021704366	1.24486326988945	0.800813232739917	0.62315813263451	0.676293576245118	0.337221926715453	0	-0.313356429694434	0.865955939482894	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-miR-4634	65.1874609085515	41.1392385780575	34.6645899601484	44.1017190407771	65.1874609085515	20.1725357330591	27.3120249476711	30.6456980974849	1.1879792237381	0.263369192559308	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-miR-4634-5p:Novel	17.1116047946166	11.1321806269661	13.8529735151766	11.9935396104577	17.1116047946166	4.88299271689809	4.77879545256369	5.47568863762793	0.994876737855569	0.463509402940408	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-miR-4635	4.36210692844157	7.59385173201356	4.39114713308221	8.08267966195029	4.36210692844157	3.44112909959426	2.50890238454975	3.29698722170683	0.417381377522197	0.730494853398111	0.997970109999829	underweight_vs_normal	FALSE	male
