ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	no_coffee.x	light_drinker.x	heavy_drinker.x	no_coffee.y	light_drinker.y	heavy_drinker.y
hsa-miR-6734-3p	1.15785771150058	-0.556187620822582	0.526351789601905	-1.05668420210605	0.290655737294935	NA	heavy_drinker_vs_light_drinker	NA	1.962	0.999	0.286	0	0	0
hsa-miR-6734-5p	5.02845416458779	0.0427486592903828	0.255573104955055	0.167265876031442	0.867160852825108	0.962668656287481	heavy_drinker_vs_light_drinker	FALSE	6.173	3.523	4.914	4.487	2.288	2.371
hsa-miR-6735-3p	0.644931977702364	0.140253547318374	0.392601104287035	0.357241856395373	0.720910753585362	NA	heavy_drinker_vs_light_drinker	NA	0.661	0.526	0.87	0	0	0
hsa-miR-6735-5p	6.58353376184617	0.352857136016425	0.201543594423681	1.75077326086909	0.0799849742301363	0.40912791480466	heavy_drinker_vs_light_drinker	FALSE	7.409	5.486	6.98	4.316	3.224	3.976
hsa-miR-6736-3p	0.182087252640248	-0.0148807843787685	0.643490463890778	-0.0231251047432682	0.981550480349432	NA	heavy_drinker_vs_light_drinker	NA	0.259	0.124	0.21	0	0	0
hsa-miR-6736-5p	5.29383920105877	-0.0166459147033921	0.27249124100303	-0.0610878890716599	0.951289214258411	0.983965331439034	heavy_drinker_vs_light_drinker	FALSE	11.354	2.54	3.545	1.632	0.999	1.013
hsa-miR-6737-3p	0.151785264221309	-0.263105583155978	1.38370435786283	-0.190145807997852	0.849194875225049	NA	heavy_drinker_vs_light_drinker	NA	0.158	0.095	0.159	0	0	0
hsa-miR-6737-5p	3.95648280492515	-0.785944579279741	0.263206812785485	-2.98603433156683	0.00282620912132422	0.114008209460211	heavy_drinker_vs_light_drinker	FALSE	4.225	4.61	3.014	2.798	1.916	1.719
hsa-miR-6738-3p	0.588655274408881	-0.0394380303071807	0.522283147542308	-0.0755108229946976	0.939808286618607	NA	heavy_drinker_vs_light_drinker	NA	0.925	0.473	0.428	0	0	0
hsa-miR-6738-5p	63.7498625964759	0.41571768200002	0.248176149095455	1.6750911943602	0.0939163403925203	0.434587273183251	heavy_drinker_vs_light_drinker	FALSE	53.167	72.355	69.355	31.493	32.591	41.129
hsa-miR-6739-3p	0.0927270263679202	-0.244052531466596	1.14742076717118	-0.212696630956294	0.831563594748667	NA	heavy_drinker_vs_light_drinker	NA	0.067	0.132	0.074	0	0	0
hsa-miR-6739-5p	2.04576990749818	-0.0661522449771107	0.281761751961508	-0.234780783823873	0.814378883194354	0.937657502908999	heavy_drinker_vs_light_drinker	FALSE	2.673	2.077	1.684	1.416	0.962	0.956
hsa-miR-6740-3p	29.0018398410665	-0.0178934674437708	0.85238824790336	-0.020992156435502	0.983251912556234	0.996839516027354	heavy_drinker_vs_light_drinker	FALSE	8.157	35.531	43.285	0	0	0
hsa-miR-6740-5p	2.91257400040433	-0.184304645453863	0.274111113063207	-0.672372029700833	0.501346884618429	0.793878564365536	heavy_drinker_vs_light_drinker	FALSE	4.702	2.693	1.88	1.535	1.12	0.95
hsa-miR-6741-3p	1.75917438492207	-0.300245376730215	0.422008523691226	-0.711467564929798	0.476794543273331	0.780206642916068	heavy_drinker_vs_light_drinker	FALSE	2.43	1.793	1.521	0	0	0.049
hsa-miR-6741-5p	16.0324911513994	-0.100266970601981	0.291390114497538	-0.344098737786207	0.730772032112038	0.904748140592113	heavy_drinker_vs_light_drinker	FALSE	21.224	14.489	13.574	6.605	5.628	6.338
hsa-miR-6742-3p	0.200873523336036	0.191920839566982	0.754444315979127	0.254387017705746	0.799196579524632	NA	heavy_drinker_vs_light_drinker	NA	0.115	0.142	0.383	0	0	0
hsa-miR-6742-5p	1.38679285598581	-0.312338050480901	0.28494523504932	-1.09613361468157	0.273020306007846	NA	heavy_drinker_vs_light_drinker	NA	2.212	1.203	0.855	0.99	0.638	0.389
hsa-miR-6743-3p	18.5115274016699	0.448399517256999	0.223055245423357	2.01026215010519	0.04440345060554	0.334276680967058	heavy_drinker_vs_light_drinker	FALSE	21.659	18.145	15.208	10.831	7.514	9.791
hsa-miR-6743-5p	3.247319022671	0.222436055229562	0.335595887379241	0.662809240502396	0.507452734745716	0.794927793700728	heavy_drinker_vs_light_drinker	FALSE	4.333	1.724	4.836	1.466	1.388	0.562
hsa-miR-6744-3p	0.783047585028306	-0.15459012906645	0.372768657395016	-0.414707958943644	0.678355705289472	NA	heavy_drinker_vs_light_drinker	NA	0.749	0.936	0.817	0	0	0
hsa-miR-6744-5p	0.972182769530841	-0.516953727572099	0.494615859741081	-1.04516205332096	0.295948078285251	NA	heavy_drinker_vs_light_drinker	NA	0.69	1.688	0.489	0	0	0
