ID	Average_inactive	Average_modInact	Average_modAct	Average_active	Median_inactive	Median_modInact	Median_modAct	Median_active	log2FoldChange	pvalue	padj	comparison	treshold
hsa-miR-670-5p	5.16832410243743	6.53207294505693	5.97109569305527	4.8431369029842	3.28104714489259	3.86284631137443	4.18503930686493	4.09747791468454	-0.156683462800949	0.636998499600919	0.910236992078596	inactive_vs_active	FALSE
hsa-miR-671-3p	9.98645621609412	13.5332099425319	12.5667541600394	14.3791743711719	6.54703104272364	5.6302023174677	7.38387520077015	7.99093336714651	0.0853325346431804	0.834288659621727	0.972004446172225	inactive_vs_active	FALSE
hsa-miR-671-5p	18.766319675851	11.2297188228317	22.0304172889431	9.93547433694578	7.29752035664632	7.26704765403293	8.40199189051468	7.12030600337658	0.273238064585338	0.470948617851098	0.858687799978285	inactive_vs_active	FALSE
hsa-miR-6715a-3p	0.575463190217462	0.714006317777093	0.953855849219109	0.454639954418834	0	0	0	0	0.126892519431989	0.821263941873554	NA	inactive_vs_active	NA
hsa-miR-6715a-5p:Novel	6.3022729691383	4.79387542842669	4.91306736404194	0.825510561347525	0.416481922127185	0.607480080757075	0.443462049651585	0	1.92154792920429	0.0135194254569484	0.297678821198406	inactive_vs_active	FALSE
hsa-miR-6715b-3p	6.65032125191957	16.4208793798791	8.23842866612487	11.5035760641303	1.89921180175289	3.00640378006634	2.13305921849455	2.37280713861	-1.06986194251391	0.0248185697263182	0.359198488876849	inactive_vs_active	FALSE
hsa-miR-6715b-5p	11.4897719227503	9.43938602422933	8.96178478283206	0.924945506472348	0.544546514922802	0.614580595313447	0.385871055450573	0	2.17812523397337	NA	NA	inactive_vs_active	NA
hsa-miR-6716-3p	1.43133161566081	1.14418312776298	1.01359049542736	1.32780139103155	0.376488681910602	0	0	0	0.461896673339892	0.442456751264384	NA	inactive_vs_active	NA
hsa-miR-6716-5p	2.8817985158888	2.89361124614476	3.54413242298363	2.77438383641052	1.66162982659571	2.14008534371894	2.03618403223508	1.39444590287513	-0.195184967737476	0.584208493428807	0.893171158088608	inactive_vs_active	FALSE
hsa-miR-6717-3p:Novel	65.9853681554726	120.792489790917	66.6042580648566	61.4648284743324	43.7668189725394	49.278059074792	47.1171298176566	47.4111606977543	-0.0428023206387744	0.881606398663453	0.978953294938889	inactive_vs_active	FALSE
hsa-miR-6717-5p	47.7911409887705	101.585064906868	47.3450945875777	49.7572216306163	34.0023710899056	36.8591474095921	35.0000901446664	34.362388548099	-0.286781341468059	0.345506021622845	0.802482019217351	inactive_vs_active	FALSE
hsa-miR-6718-3p:Novel	3.39726174504711	4.99789136263981	2.89228925325463	2.75226302793781	1.76073736733546	1.86911453264983	1.23443189972023	1.58319382921435	-0.116236033334742	0.787049605690075	0.957469251345062	inactive_vs_active	FALSE
hsa-miR-6718-5p	2.26434318318537	4.40027862646765	2.22684094554841	1.8826833787372	0.991653310408139	1.33643467916399	0.810442340752262	0.997989095032873	-0.281577110808532	0.546479699917746	0.883863004651454	inactive_vs_active	FALSE
hsa-miR-6719-3p	0.539916554199113	0.771072861882401	0.841426351232576	0.425878425682715	0	0	0	0	0.329201893427268	0.593843199757792	NA	inactive_vs_active	NA
hsa-miR-6719-5p:Novel	1.05904874717806	1.38381793727447	1.28547458446852	0.588708936154983	0.455597169045752	0.668217339581997	0.363269977166716	0	0.852640912566385	0.102311754258653	NA	inactive_vs_active	NA
hsa-miR-6720-3p	18.4140778661841	16.6060039520277	17.4814678009578	14.6163324131502	9.79246754921549	10.9533183405366	9.94133913444153	11.0812914955291	0.224976873063971	0.459983601136978	0.858687799978285	inactive_vs_active	FALSE
hsa-miR-6720-5p	11.0663293118401	9.7979941898488	11.5895562234904	8.48917911953285	7.90043010464519	6.98724672650421	7.86537158983907	4.88190695554965	0.218901778984469	0.513233086727472	0.877021717772346	inactive_vs_active	FALSE
hsa-miR-6721-3p:Novel	38.5570728948486	56.5968277450598	40.6382400913759	27.7146544996874	26.527184282349	31.5367578201412	23.8166417681578	16.9791912388211	0.212449826905245	0.398983475475602	0.822638967132799	inactive_vs_active	FALSE
hsa-miR-6721-5p	1.47036165628575	2.68455752117918	1.7551856514262	1.38585619171615	0.668114418888045	0.619377838941303	0.495448886073822	0.454427753981898	-0.294068710995599	0.556947621521363	NA	inactive_vs_active	NA
hsa-miR-6722-3p	6.50578713756598	6.56787480573919	6.09226935533732	5.88937063807253	4.00826989822623	4.44654349361256	5.14681412159728	3.69376383184305	0.077317629800607	0.806247504369502	0.96371772006667	inactive_vs_active	FALSE
hsa-miR-6722-5p	2.87989768549072	8.21328217429795	3.05268416741758	2.74222560582126	1.13661363485939	1.23950140690671	1.11074240863447	1.21322275532537	-0.358536816658715	0.52962361858692	0.882186247594086	inactive_vs_active	FALSE
hsa-miR-6724-3p:Novel	20.5368378238247	26.4296126408772	20.438790391394	19.8897472448341	15.0878135475545	17.7658725835504	14.5546787794267	16.6136446721294	-0.0757082182606772	0.785923869811771	0.957469251345062	inactive_vs_active	FALSE
hsa-miR-6724-5p	27.9142433074988	36.6617281251505	24.0881998719349	30.3725176701033	20.3008489984567	24.1469965746994	16.9834661819202	17.1811942740495	-0.280512443359751	0.366917283278398	0.8128098950988	inactive_vs_active	FALSE
hsa-miR-6726-3p	2.007175083137	1.98467038705774	1.31907584678365	3.12704116094954	1.05507533070376	0.79466907283701	0.51162525822506	0.413697070228753	0.480119656949753	0.28639786503888	NA	inactive_vs_active	NA
hsa-miR-6726-5p	8.03943383907797	8.6675910815616	7.20014186370331	8.72171330909459	4.18139257120454	4.92658649548898	3.27401513344594	5.04805080419077	-0.447691683545678	0.18890683945474	0.680532905446454	inactive_vs_active	FALSE
hsa-miR-6727-3p	0.245115319844134	0.513458668366514	0.742693467641335	0.154865068398847	0	0	0	0	-0.107508385664941	0.918974492364499	NA	inactive_vs_active	NA
hsa-miR-6727-5p	3.34106843445548	3.55531277325903	3.10561708221584	4.62985743800848	1.71390400204032	2.42638807790252	1.61038024147584	2.19086338565433	-0.0455975446446659	0.898422738228982	0.982518620698128	inactive_vs_active	FALSE
hsa-miR-6728-3p	0.276381203360055	0.443117221126869	0.248049932857323	0.122406856884432	0	0	0	0	0.451430941103605	0.664037385900944	NA	inactive_vs_active	NA
hsa-miR-6728-5p	366.164067730245	228.208712910683	255.056977793409	233.303390608189	106.182695067629	129.986148818165	125.952939577169	162.823967696599	0.159187950708689	0.668583869683432	0.917768810742017	inactive_vs_active	FALSE
