miRNA	SC	SC.p	SC.fdr	PC	PC.p	PC.fdr	DC
hsa-miR-6125-5p:Novel	-0.0238	0.7995	0.972860683760684	-0.0527	0.5741	0.878892164179104	0.1664
hsa-miR-6126-3p:Novel	0.0493	0.599	0.900099633699634	0.0174	0.8527	0.940148787061995	0.1366
hsa-miR-6127	0.0324	0.7299	0.956851592356688	0.0661	0.4805	0.864694166666667	0.1559
hsa-miR-6127-3p:Novel	0.1239	0.1851	0.656834523809524	0.1827	0.0497	0.710813793103448	0.1957
hsa-miR-6130	-0.1574	0.0915	0.51545205479452	-0.057	0.5434	0.869589772727273	0.1957
hsa-miR-6131	-0.2471	0.0075	0.30675	-0.2339	0.0115	0.435027272727273	0.2403
hsa-miR-6131-5p:Novel	-0.0634	0.4988	0.823277419354839	-0.0676	0.4707	0.863301793721973	0.1415
hsa-miR-6132	-0.1587	0.0888	0.51545205479452	-0.1095	0.2418	0.810624590163934	0.1799
hsa-miR-6165-3p:Novel	-0.3016	0.001	0.08998	-0.2483	0.0072	0.3681	0.2975
hsa-miR-617-3p:Novel	0.0441	0.6382	0.934126785714286	0.0214	0.8193	0.93178446866485	0.1541
hsa-miR-622	-0.1267	0.1755	0.656834523809524	-0.1007	0.2823	0.816847887323944	0.1647
hsa-miR-632	0.0197	0.8339	0.972860683760684	0.1313	0.1599	0.787940963855422	0.1564
hsa-miR-636	0.1054	0.2604	0.656834523809524	0.0801	0.3925	0.825865384615385	0.1432
hsa-miR-637	0.0404	0.667	0.934256849315068	0.0942	0.3144	0.822826708074534	0.1479
hsa-miR-638	-0.1855	0.0462	0.436886363636364	0.0037	0.9685	0.987821695760599	0.1756
hsa-miR-638-3p:Novel	-0.1457	0.1186	0.567656043956044	-0.0402	0.6682	0.899535275080906	0.2302
hsa-miR-639	0.0973	0.2988	0.679621666666667	0.1099	0.2404	0.810624590163934	0.162
hsa-miR-641-3p:Novel	0.0841	0.3692	0.743856157635468	0.009	0.9239	0.976421447028424	0.1591
hsa-miR-645	-0.0023	0.9802	0.994793548387097	1e-04	0.9989	0.9999	0.1204
hsa-miR-646	-0.1129	0.2277	0.656834523809524	-0.0357	0.7038	0.910931012658228	0.1581
hsa-miR-646-5p:Novel	-0.3197	5e-04	0.08998	-0.264	0.0042	0.3681	0.3133
hsa-miR-647-3p:Novel	0.1706	0.0672	0.470696610169492	0.1424	0.1273	0.75457536231884	0.2328
hsa-miR-650	0.1105	0.2378	0.656834523809524	0.1778	0.0562	0.741477419354839	0.1754
hsa-miR-6509-5p	-0.2508	0.0066	0.30675	-0.1891	0.042	0.710813793103448	0.2491
hsa-miR-6511a-3p	0.0338	0.7186	0.956851592356688	0.145	0.1204	0.75457536231884	0.1985
hsa-miR-6511b-5p	-0.0558	0.5519	0.858277946768061	-0.0024	0.9795	0.992051105651106	0.1692
hsa-miR-654-5p	-0.091	0.3315	0.699473469387755	0.0143	0.8791	0.948685751978892	0.1748
hsa-miR-655-5p	-0.0935	0.3181	0.699473469387755	-0.0525	0.5757	0.878892164179104	0.1563
hsa-miR-657-5p:Novel	-0.2072	0.0257	0.350376666666667	-0.0547	0.5596	0.869589772727273	0.234
hsa-miR-663a-3p:Novel	-0.1045	0.2644	0.656834523809524	-0.1266	0.1756	0.79899595959596	0.1643
hsa-miR-6717-3p:Novel	-0.1807	0.0522	0.458420833333333	-0.1638	0.0789	0.75457536231884	0.2408
hsa-miR-6717-5p	-0.282	0.0022	0.149966666666667	-0.1532	0.1005	0.75457536231884	0.2921
hsa-miR-6721-3p:Novel	-0.1122	0.2306	0.656834523809524	-0.029	0.7571	0.93178446866485	0.1992
hsa-miR-6724-3p:Novel	-0.1754	0.0597	0.460703773584906	-0.0811	0.3866	0.825865384615385	0.1798
hsa-miR-6724-5p	-0.1772	0.0571	0.460703773584906	-0.1425	0.127	0.75457536231884	0.2579
hsa-miR-6728-5p	-0.2006	0.0308	0.381733333333333	-0.0225	0.8102	0.93178446866485	0.208
hsa-miR-6731-5p	-0.1201	0.1992	0.656834523809524	-0.0932	0.3197	0.822826708074534	0.172
hsa-miR-6738-5p	-0.1234	0.1871	0.656834523809524	-0.0222	0.8133	0.93178446866485	0.1535
hsa-miR-6743-3p	-0.0019	0.9838	0.995975742574257	0.2124	0.0221	0.529655	0.2203
