miRNA	SC	SC.p	SC.fdr	PC	PC.p	PC.fdr	DC
hsa-miR-4274	-0.0564	0.413	0.81859631147541	-0.0774	0.2604	0.7184375	0.1161
hsa-miR-4276-3p:Novel	-0.1419	0.0385	0.423369565217391	-0.1598	0.0196	0.6175	0.1895
hsa-miR-4277	-0.0667	0.3328	0.746332547169811	-0.0212	0.7578	0.891751824817518	0.0961
hsa-miR-4281	-0.1801	0.0084	0.4085	-0.1636	0.0169	0.6175	0.2035
hsa-miR-4283	0.1029	0.1343	0.552136752136752	0.0416	0.5458	0.820427215189873	0.1138
hsa-miR-4283-3p:Novel	0.1403	0.0408	0.423369565217391	0.0834	0.2252	0.717566666666667	0.1513
hsa-miR-4284-3p:Novel	-0.1646	0.0162	0.418306451612903	-0.0758	0.2707	0.7184375	0.1687
hsa-miR-4285-3p:Novel	-0.0325	0.6374	0.901510416666667	0.0418	0.5445	0.820427215189873	0.1123
hsa-miR-4286-3p:Novel	-0.0501	0.4672	0.824677121771218	-0.0497	0.4708	0.800033444816054	0.1035
hsa-miR-4290	0.0394	0.5673	0.882099358974359	0.1145	0.0955	0.701538461538462	0.1212
hsa-miR-4290-5p:Novel	-0.0722	0.2941	0.709124365482233	-0.1318	0.0548	0.701538461538462	0.1273
hsa-miR-4302-3p:Novel	-0.0628	0.3614	0.783534090909091	-0.1111	0.1059	0.701538461538462	0.1244
hsa-miR-4306-5p:Novel	-1e-04	0.9987	0.9987	-0.0584	0.3963	0.776830708661417	0.1132
hsa-miR-4309	0.0027	0.9683	0.991255387931035	-0.0474	0.4911	0.800033444816054	0.0876
hsa-miR-4309-3p:Novel	0.0951	0.1667	0.600962962962963	-0.0072	0.9168	0.957934065934066	0.1015
hsa-miR-4311	-0.0748	0.2773	0.703656914893617	-0.0813	0.2376	0.7184375	0.1098
hsa-miR-4311-3p:Novel	-0.073	0.2886	0.709124365482233	0.0082	0.9053	0.957934065934066	0.1182
hsa-miR-4313	-0.0204	0.7677	0.946857506361323	-0.0324	0.6382	0.873616714697406	0.0975
hsa-miR-4313-3p:Novel	-0.0085	0.9022	0.979420045045045	0.0201	0.7709	0.891751824817518	0.0888
hsa-miR-4323	-0.1296	0.059	0.482464285714286	-0.0674	0.3276	0.748690476190476	0.1143
hsa-miR-4326	-0.1564	0.0224	0.418306451612903	0.0122	0.8594	0.938233944954128	0.1381
hsa-miR-4326-5p:Novel	-0.0888	0.1966	0.621274834437086	-0.1029	0.1345	0.701538461538462	0.1305
hsa-miR-4327-3p:Novel	-0.0028	0.9674	0.991255387931035	-0.0276	0.6891	0.890047297297297	0.0945
hsa-miR-4330	0.0176	0.7987	0.948345771144279	0.0312	0.6511	0.879424715909091	0.1117
hsa-miR-4418	-0.0317	0.645	0.9016642228739	0.129	0.0602	0.701538461538462	0.1398
hsa-miR-4421	0.0334	0.6277	0.892687125748503	0.0213	0.7568	0.891751824817518	0.0859
hsa-miR-4429-3p:Novel	-0.0154	0.8234	0.948389830508475	-0.0097	0.888	0.954298642533937	0.1141
hsa-miR-4430-3p:Novel	-0.1061	0.1228	0.54712962962963	-0.0728	0.2904	0.7184375	0.128
hsa-miR-4431	0.1073	0.1184	0.540769230769231	0.0446	0.5169	0.809052287581699	0.1188
hsa-miR-4436b-3p	0.0113	0.8701	0.971742957746479	-0.085	0.2166	0.717566666666667	0.1104
hsa-miR-4436b-5p	0.0442	0.5216	0.868286713286713	0.0129	0.8516	0.934203233256351	0.095
hsa-miR-4437	0.0336	0.6263	0.892687125748503	0.0625	0.3639	0.766756465517241	0.109
hsa-miR-4441	-0.1387	0.0432	0.430408163265306	-0.1126	0.1013	0.701538461538462	0.1533
hsa-miR-4443-3p:Novel	-0.1797	0.0086	0.4085	-0.1845	0.0069	0.6175	0.2289
hsa-miR-4449	0.0176	0.7982	0.948345771144279	0.009	0.8966	0.957934065934066	0.0917
hsa-miR-4451-5p:Novel	0.0058	0.9333	0.985309734513274	0.0705	0.306	0.72675	0.1047
hsa-miR-4452	-0.0268	0.6978	0.915630081300813	0.0564	0.4125	0.776830708661417	0.1006
hsa-miR-4453-3p:Novel	-0.0862	0.2102	0.640032051282051	-0.0467	0.4975	0.800033444816054	0.1193
hsa-miR-4466-3p:Novel	-0.2117	0.0019	0.2375	-0.1751	0.0105	0.6175	0.1937
hsa-miR-4472	0.0172	0.8026	0.948345771144279	0.0204	0.7667	0.891751824817518	0.0885
hsa-miR-4487	-0.0566	0.4116	0.81859631147541	0.0856	0.2132	0.717566666666667	0.1551
hsa-miR-4488-3p:Novel	0.0297	0.6662	0.91025787965616	-0.0547	0.4274	0.779655172413793	0.1117
hsa-miR-4489	-0.1664	0.0151	0.418306451612903	-0.1618	0.0181	0.6175	0.1849
