miRNA	SC	SC.p	SC.fdr	PC	PC.p	PC.fdr	DC
hsa-miR-4285-3p:Novel	0.0217	0.7552	0.97922181372549	-0.0704	0.312	0.739408866995074	0.1274
hsa-miR-4286-3p:Novel	-0.0319	0.647	0.97922181372549	-0.0632	0.3648	0.773995535714286	0.1224
hsa-miR-4290	0.0479	0.4922	0.969370567375887	0.0405	0.5616	0.884097682119205	0.1254
hsa-miR-4290-5p:Novel	0.0815	0.2419	0.969370567375887	0.0284	0.6834	0.916643258426966	0.1368
hsa-miR-4302-3p:Novel	-0.0756	0.2775	0.969370567375887	-0.0746	0.2845	0.707526178010471	0.1495
hsa-miR-4306-5p:Novel	-0.0212	0.7614	0.97922181372549	-0.0496	0.4766	0.851071428571429	0.1021
hsa-miR-4309	-0.0323	0.6429	0.97922181372549	-0.1216	0.0802	0.60525390625	0.1376
hsa-miR-4309-3p:Novel	-0.062	0.3739	0.969370567375887	-0.1082	0.1197	0.60525390625	0.1269
hsa-miR-4311	-0.1077	0.1216	0.969370567375887	-0.1238	0.0748	0.60525390625	0.1864
hsa-miR-4311-3p:Novel	0.0213	0.7597	0.97922181372549	-0.0755	0.2782	0.69925	0.1302
hsa-miR-4313	-0.0344	0.6223	0.97922181372549	-0.0303	0.6641	0.916643258426966	0.1168
hsa-miR-4313-3p:Novel	1e-04	0.9992	0.9992	0.1113	0.1095	0.60525390625	0.1247
hsa-miR-4323	-0.0434	0.5336	0.969370567375887	-0.0332	0.6342	0.910138888888889	0.1144
hsa-miR-4326	-0.0798	0.252	0.969370567375887	0.0606	0.3844	0.78263829787234	0.1359
hsa-miR-4326-5p:Novel	-0.0462	0.5073	0.969370567375887	-0.0283	0.6854	0.916643258426966	0.1443
hsa-miR-4327-3p:Novel	0.0868	0.2125	0.969370567375887	0.0753	0.2797	0.69925	0.1453
hsa-miR-4330	0.0631	0.365	0.969370567375887	0.0876	0.2086	0.640077160493827	0.1416
hsa-miR-4418	-0.1356	0.0508	0.898981481481481	-0.0656	0.3465	0.762364253393665	0.1353
hsa-miR-4421	0.1148	0.0987	0.969351851851852	0.0808	0.2457	0.679329608938548	0.1778
hsa-miR-4429-3p:Novel	0.0321	0.6458	0.97922181372549	-0.056	0.4219	0.819655511811024	0.1159
hsa-miR-4430-3p:Novel	-0.1114	0.1091	0.969351851851852	-0.128	0.0654	0.60525390625	0.1595
hsa-miR-4431	-0.0186	0.7901	0.97922181372549	0.0058	0.9337	0.9796875	0.1302
hsa-miR-4436b-3p	-0.0092	0.8956	0.989656976744186	-0.0943	0.1753	0.635629770992366	0.1354
hsa-miR-4436b-5p	0.0534	0.4434	0.969370567375887	0.0737	0.29	0.710051546391753	0.1287
hsa-miR-4437	0.0037	0.9581	0.995847826086956	-0.0413	0.5536	0.884097682119205	0.1187
hsa-miR-4441	0.0393	0.5728	0.969370567375887	0.0182	0.7939	0.94489375	0.1061
hsa-miR-4443-3p:Novel	-0.1158	0.0957	0.969351851851852	-0.0889	0.2017	0.640077160493827	0.1729
hsa-miR-4449	0.0445	0.523	0.969370567375887	-0.0354	0.6118	0.899705882352941	0.1003
hsa-miR-4451-5p:Novel	-0.0439	0.5291	0.969370567375887	0.0448	0.5205	0.870554577464789	0.1537
hsa-miR-4452	0.0822	0.2377	0.969370567375887	0.2254	0.0011	0.114	0.2416
hsa-miR-4453-3p:Novel	-0.0149	0.8304	0.97922181372549	-0.0131	0.8505	0.966477272727273	0.1088
hsa-miR-4466-3p:Novel	-0.1289	0.0635	0.903897058823529	-0.1014	0.1451	0.60525390625	0.1449
hsa-miR-4472	0.0563	0.4189	0.969370567375887	0.0292	0.6758	0.916643258426966	0.1059
hsa-miR-4487	0.0929	0.1819	0.969370567375887	0.2646	1e-04	0.02375	0.2288
hsa-miR-4488-3p:Novel	-0.0374	0.5914	0.978797909407666	-0.0834	0.2309	0.657035928143713	0.136
hsa-miR-4489	0.0013	0.9854	0.996598101265823	0.0469	0.5009	0.859271582733813	0.1413
hsa-miR-4489-3p:Novel	0.0149	0.831	0.97922181372549	0.0045	0.9487	0.9796875	0.1017
hsa-miR-4492-5p:Novel	-0.0618	0.3753	0.969370567375887	-0.0321	0.645	0.910138888888889	0.1014
hsa-miR-4494	0.0692	0.3208	0.969370567375887	0.1739	0.012	0.407142857142857	0.1709
hsa-miR-4497	-0.0657	0.3454	0.969370567375887	0.02	0.7749	0.938517811704835	0.1474
hsa-miR-4497-3p:Novel	-0.1029	0.1392	0.969370567375887	-0.1029	0.1391	0.60525390625	0.1282
hsa-miR-4504	-0.0207	0.7664	0.97922181372549	-0.0301	0.6658	0.916643258426966	0.1267
hsa-miR-4505	0.0404	0.5624	0.969370567375887	-0.0594	0.3937	0.792404661016949	0.1953
hsa-miR-4505-3p:Novel	0.0855	0.2192	0.969370567375887	-0.0027	0.9695	0.98732869379015	0.103
hsa-miR-4506	0.0229	0.743	0.97922181372549	-0.0605	0.3855	0.78263829787234	0.1158
hsa-miR-4508-3p:Novel	-0.0169	0.8087	0.97922181372549	-0.1044	0.1335	0.60525390625	0.1356
hsa-miR-4513	0.0074	0.9158	0.993162100456621	-0.026	0.709	0.920248655913979	0.1273
hsa-miR-4513-3p:Novel	0.006	0.9313	0.995847826086956	-0.0316	0.6506	0.910138888888889	0.1409
hsa-miR-4515	-0.0721	0.3006	0.969370567375887	-0.081	0.2449	0.679329608938548	0.1404
hsa-miR-4516-3p:Novel	0.0298	0.669	0.97922181372549	-0.0992	0.154	0.60525390625	0.1505
