miRNA	SC	SC.p	SC.fdr	PC	PC.p	PC.fdr	DC
hsa-miR-3180-4-3p:Novel, hsa-miR-3180-5-3p:Novel	-0.0262	0.7749	0.969217431192661	0.0103	0.9105	0.982571240105541	0.1533
hsa-miR-3180-5p	0.0185	0.8401	0.986683615819209	0.1033	0.2576	0.720062585034014	0.1394
hsa-miR-3185-3p:Novel	-0.207	0.0221	0.5726	-0.1605	0.0774	0.389289156626506	0.1918
hsa-miR-3190-3p	-0.0174	0.8493	0.986683615819209	-0.0012	0.9895	0.996372235872236	0.1248
hsa-miR-3195	0.1589	0.0804	0.750742222222222	0.2048	0.0237	0.301172727272727	0.1998
hsa-miR-3195-3p:Novel	0.1581	0.082	0.750742222222222	0.1731	0.0565	0.389289156626506	0.2051
hsa-miR-3196-3p:Novel	0.1385	0.1281	0.826404109589041	0.1838	0.0427	0.369804166666667	0.1965
hsa-miR-320a-3p	-0.0458	0.6164	0.937202973977695	0.022	0.8101	0.968803801169591	0.1505
hsa-miR-320c	-0.0729	0.4251	0.909207	-0.0614	0.5014	0.811905098039216	0.1333
hsa-miR-320d	0.0126	0.8901	0.991420316622691	-0.0946	0.3002	0.739830177514793	0.154
hsa-miR-320d-1-5p:Novel	0.1712	0.0594	0.696468571428571	0.133	0.1442	0.536161818181818	0.1721
hsa-miR-320e-5p:Novel	0.0582	0.5246	0.913433333333333	0.0266	0.7708	0.955324848484849	0.1347
hsa-miR-323a-5p	5e-04	0.9957	0.9957	-0.0117	0.8984	0.977368965517241	0.1166
hsa-miR-324-3p	-0.002	0.9829	0.995032843137255	-0.0636	0.4864	0.811758232931727	0.1288
hsa-miR-324-5p	0.0047	0.9586	0.995032843137255	-0.0514	0.5742	0.860697802197802	0.1264
hsa-miR-3619-3p	-0.2443	0.0067	0.5726	-0.2086	0.0211	0.29758275862069	0.2321
hsa-miR-3621-3p:Novel	-0.054	0.5548	0.918676923076923	0.0617	0.4999	0.811905098039216	0.1372
hsa-miR-3622a-5p	0.0597	0.5133	0.913433333333333	0.099	0.2781	0.739830177514793	0.2006
hsa-miR-3648	0.1378	0.1301	0.826404109589041	0.209	0.0209	0.29758275862069	0.2095
hsa-miR-3648-3p:Novel	0.1234	0.1757	0.845427058823529	0.0256	0.7799	0.957304179104478	0.1425
hsa-miR-3652-3p:Novel	-0.0294	0.7475	0.966168404907976	0.028	0.7597	0.950925	0.1304
hsa-miR-3665-3p:Novel	0.0959	0.2931	0.849175524475524	0.1697	0.0617	0.389289156626506	0.2117
hsa-miR-3668-3p:Novel	-0.0348	0.7035	0.947783986928105	0.0682	0.4555	0.811758232931727	0.1366
hsa-miR-3689d-3p:Novel	-0.099	0.278	0.849175524475524	-0.0357	0.6966	0.922036893203883	0.2121
hsa-miR-3714-3p:Novel	-0.0156	0.8647	0.98776301369863	0.1381	0.1293	0.513433980582524	0.1532
hsa-miR-371a-3p	-0.0338	0.7115	0.947894136807818	0.0463	0.613	0.889067375886525	0.1247
hsa-miR-371a-5p	-0.0976	0.2851	0.849175524475524	-0.165	0.0693	0.389289156626506	0.2147
hsa-miR-378a-3p	-0.0388	0.6712	0.947783986928105	0.0826	0.3657	0.764788265306122	0.1411
hsa-miR-378h	-0.1711	0.0596	0.696468571428571	-0.2067	0.0224	0.301172727272727	0.197
hsa-miR-378h-3p:Novel	-0.0447	0.6249	0.942782181818182	0.0154	0.866	0.97652884097035	0.1411
hsa-miR-378i	-0.1158	0.2039	0.849161904761905	-0.046	0.6153	0.889249823321555	0.1555
hsa-miR-378i-3p:Novel	-0.0792	0.3861	0.877429281767956	-0.1177	0.1968	0.637653543307087	0.1538
hsa-miR-378j-3p:Novel	-0.0823	0.3677	0.871520571428571	0.0212	0.8166	0.969529226361032	0.1361
hsa-miR-3907	0.017	0.8525	0.986683615819209	0.0361	0.6931	0.922036893203883	0.1467
hsa-miR-3907-5p:Novel	0.0095	0.9177	0.991420316622691	0.0715	0.4336	0.806101818181818	0.1434
hsa-miR-3911-3p:Novel	0.0483	0.5975	0.923607462686567	0.0888	0.3306	0.745655376344086	0.1375
hsa-miR-3916-3p:Novel	-0.0093	0.9187	0.991420316622691	0.112	0.2196	0.679178832116788	0.1552
hsa-miR-3920	-0.0699	0.4442	0.909207	-0.0378	0.6796	0.922036893203883	0.1249
hsa-miR-3928-3p	-0.0552	0.5457	0.914718442622951	-0.066	0.47	0.811758232931727	0.1207
hsa-miR-3935	-0.1413	0.1206	0.826404109589041	-0.0845	0.3548	0.763753684210526	0.1397
hsa-miR-3960	0.0674	0.461	0.91252009569378	0.1743	0.0548	0.389289156626506	0.1755
hsa-miR-3960-5p:Novel	0.0721	0.4297	0.909207	0.163	0.0729	0.389289156626506	0.1837
hsa-miR-3972	0.1786	0.0491	0.63650625	-0.0659	0.4711	0.811758232931727	0.1909
hsa-miR-3976	0.044	0.6306	0.942782181818182	0.0255	0.7803	0.957304179104478	0.1041
hsa-miR-3976-3p:Novel	-0.09	0.3243	0.855997419354839	4e-04	0.9969	0.9969	0.1439
hsa-miR-411-5p	-0.0111	0.9031	0.991420316622691	0.0967	0.2895	0.739830177514793	0.1504
hsa-miR-422a	8e-04	0.9926	0.995032843137255	0.0628	0.492	0.811758232931727	0.1233
hsa-miR-423-5p	0.0411	0.6531	0.946625441696113	0.0873	0.3391	0.745655376344086	0.157
hsa-miR-425-3p	0.0331	0.7176	0.949833009708738	-0.0804	0.3787	0.775472139303483	0.1608
hsa-miR-4254	0.0439	0.6308	0.942782181818182	0.0873	0.339	0.745655376344086	0.1301
hsa-miR-4254-5p:Novel	-0.0023	0.9798	0.995032843137255	0.0875	0.3378	0.745655376344086	0.1589
hsa-miR-4258	0.0668	0.4647	0.91252009569378	-0.0336	0.713	0.928716560509554	0.1306
hsa-miR-4258-3p:Novel	0.1377	0.1305	0.826404109589041	0.1898	0.0363	0.369804166666667	0.1946
hsa-miR-4259	-0.0294	0.7476	0.966168404907976	-0.0959	0.2935	0.739830177514793	0.1491
hsa-miR-4259-5p:Novel	0.0136	0.8814	0.98776301369863	0.133	0.1441	0.536161818181818	0.1521
hsa-miR-4263	-0.0032	0.9724	0.995032843137255	0.0948	0.2988	0.739830177514793	0.1349
hsa-miR-4274	-0.0803	0.3791	0.877429281767956	-0.0568	0.534	0.833610687022901	0.1645
hsa-miR-4276-3p:Novel	-0.3339	2e-04	0.0818	-0.3097	5e-04	0.112475	0.3266
hsa-miR-4277	0.0078	0.9318	0.993529166666667	-0.0297	0.7451	0.950925	0.1157
hsa-miR-4281	-0.1298	0.154	0.84411686746988	-0.0499	0.5851	0.863920216606498	0.1553
