miRNA	SC	SC.p	SC.fdr	PC	PC.p	PC.fdr	DC
hsa-miR-6778-5p	0.0719	0.1968	0.439617910447761	0.0853	0.1254	0.397949315068493	0.1006
hsa-miR-6787-5p	-0.0773	0.1651	0.402879891304348	-0.0139	0.8033	0.918564885496183	0.1033
hsa-miR-6788-3p	0.1361	0.0142	0.119189090909091	0.1737	0.0017	0.0954125	0.1801
hsa-miR-6790-5p	-0.0732	0.1885	0.429271212121212	-0.1244	0.0252	0.276709302325581	0.1335
hsa-miR-6793-5p	-0.078	0.1612	0.400875138121547	-0.0197	0.7241	0.869307219251337	0.1182
hsa-miR-6794-5p	-0.1437	0.0096	0.0957866666666667	-0.1234	0.0263	0.276709302325581	0.1627
hsa-miR-6802-5p	-0.1222	0.0278	0.17098904109589	-0.0972	0.0806	0.391203191489362	0.1558
hsa-miR-6805-5p	-0.0621	0.2651	0.504464705882353	-0.0524	0.347	0.654634453781513	0.1228
hsa-miR-6826-5p	-0.1181	0.0336	0.183980487804878	-0.1457	0.0086	0.218377272727273	0.1615
hsa-miR-6829-5p	0.0271	0.6269	0.795046197183099	0.0415	0.4561	0.722811228070175	0.1056
hsa-miR-6832-5p	-0.053	0.3414	0.59878359375	-0.0361	0.5178	0.755136363636364	0.107
hsa-miR-6838-5p	-0.0781	0.1607	0.400875138121547	-0.039	0.4845	0.742459044368601	0.1172
hsa-miR-6849-5p	-0.1157	0.0374	0.199911904761905	-0.0185	0.7401	0.880748947368421	0.152
hsa-miR-6861-5p	-0.0905	0.1039	0.323965972222222	-0.1163	0.0364	0.3143	0.128
hsa-miR-6867-5p	0.0062	0.9117	0.954386046511628	-0.0345	0.5365	0.763441640378549	0.0965
hsa-miR-6869-5p	-0.1429	0.01	0.0964872340425532	0.0306	0.5836	0.789266265060241	0.1794
hsa-miR-6871-5p	0.0172	0.7575	0.872047570332481	0.0723	0.1944	0.462066137566138	0.0967
hsa-miR-6874-5p	0.0508	0.3624	0.618698098859316	-0.0039	0.9445	0.979815473441108	0.0922
hsa-miR-6879-5p	-0.1144	0.0396	0.204888505747126	-0.078	0.1612	0.432195321637427	0.137
hsa-miR-6880-5p	-0.0526	0.3449	0.602568482490272	-0.0446	0.4236	0.708255925925926	0.0997
hsa-miR-6895-3p	0.0779	0.1616	0.400875138121547	0.0444	0.4259	0.708255925925926	0.0983
hsa-miR-7108-5p	0.1	0.0723	0.277753488372093	0.0757	0.1739	0.438464804469274	0.1133
hsa-miR-711	-0.0468	0.4016	0.643407446808511	-0.0459	0.4105	0.69595	0.0876
hsa-miR-7113-5p	0.0038	0.9458	0.973004576659039	-0.0881	0.1134	0.397949315068493	0.106
hsa-miR-7161-3p	-0.0132	0.8131	0.906033578431373	-0.0114	0.8377	0.941553	0.0784
hsa-miR-718	0.0472	0.3966	0.643407446808511	0.052	0.3512	0.659094583333333	0.1078
hsa-miR-7515-5p:Novel	0.0083	0.8817	0.944828878281623	0.044	0.4297	0.711492307692308	0.1247
hsa-miR-760	-0.1061	0.0565	0.254017592592593	-0.112	0.044	0.337891525423729	0.1443
hsa-miR-765-5p:Novel	0.1229	0.027	0.170245833333333	0.1868	7e-04	0.06286	0.1714
hsa-miR-770-3p:Novel	0.0024	0.9658	0.976676126126126	-0.0678	0.2235	0.498345544554456	0.0957
hsa-miR-7704-3p:Novel	-0.0038	0.9464	0.973004576659039	-0.0675	0.2258	0.499429556650246	0.0935
hsa-miR-7706	-0.0875	0.1161	0.339340384615385	0.0058	0.9172	0.975883412322275	0.1216
hsa-miR-7844-3p:Novel	-0.0356	0.5226	0.733273125	0.0084	0.8804	0.95746803874092	0.1213
hsa-miR-7845-3p:Novel	-0.1581	0.0043	0.0577285714285714	-0.0671	0.2283	0.502483823529412	0.1484
hsa-miR-7847-5p:Novel	-0.1	0.0721	0.277753488372093	-0.111	0.0458	0.342736666666667	0.1294
hsa-miR-7851-3p	0.1147	0.0391	0.204888505747126	-0.0113	0.8388	0.941553	0.1259
hsa-miR-7851-5p:Novel	0.0641	0.2497	0.498290222222222	-0.0075	0.8929	0.960966904761905	0.0956
hsa-miR-8053	-0.0412	0.4595	0.680909240924092	-0.0031	0.9557	0.982923981900452	0.0932
hsa-miR-8057-3p:Novel	-0.0903	0.1049	0.324828275862069	-0.0995	0.0736	0.391203191489362	0.1232
hsa-miR-8072	0.0136	0.8076	0.906033578431373	-0.0494	0.3757	0.667666535433071	0.093
