ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	abstemious.x	light.x	heavy.x	abstemious.y	light.y	heavy.y
hsa-miR-4511	2.84472417973776	0.183286573314484	0.261868264598202	0.699918997804906	0.483977892388343	0.756127313527246	heavy_vs_light	FALSE	1.81	2.492	3.686	1.14	1.586	2.094
hsa-miR-4511-3p:Novel	8.56680320337521	0.072940313059894	0.228490036971733	0.319227542813683	0.749553972581004	0.897332411547088	heavy_vs_light	FALSE	10.645	7.696	9.233	4.183	4.204	3.804
hsa-miR-4512	6.84273906184232	-0.0272702021313488	0.293665632176171	-0.0928614013470578	0.926013670462826	0.9705743413352	heavy_vs_light	FALSE	10.553	6.406	6.247	1.825	1.195	1.104
hsa-miR-4512-5p:Novel	1.94899670540874	-0.0167187051292318	0.239105433451168	-0.0699218954915393	0.944255825697111	NA	heavy_vs_light	NA	3.202	1.687	2.012	1.665	1.267	1.379
hsa-miR-4513	9.18235530594349	0.0757322944903163	0.221351150296137	0.342136439720313	0.732248215455595	0.888389635549319	heavy_vs_light	FALSE	13.336	7.877	10.135	8.701	4.203	7.075
hsa-miR-4513-3p:Novel	16.5292952169653	-0.0585049238473418	0.160327482337911	-0.364908891440302	0.715179416911156	0.880671445807321	heavy_vs_light	FALSE	20.811	15.246	17.166	14.237	11.265	13.057
hsa-miR-4514	2.68158786000853	0.19387442108105	0.294066245449112	0.659288252498876	0.509710684621423	0.773354142184227	heavy_vs_light	FALSE	2.85	2.397	3.036	0.449	0	0.619
hsa-miR-4514-3p:Novel	7.69315065081506	0.311002116725545	0.186467649866508	1.6678609772161	0.0953433277392432	0.391798093944407	heavy_vs_light	FALSE	11.385	6.225	9.407	6.017	4.261	4.949
hsa-miR-4515	15.812142906063	-0.24185756444393	0.225543534284653	-1.07233206755858	0.283570908302346	0.62007505282113	heavy_vs_light	FALSE	37.859	12.526	15.489	7.96	5.953	4.352
hsa-miR-4515-3p:Novel	9.69544986641157	0.102505782569669	0.279695706007805	0.366490369240094	0.713999197723484	0.88042006335828	heavy_vs_light	FALSE	2.864	12.916	4.195	2.652	2.253	1.918
hsa-miR-4516	2.10027554214578	0.101243475291798	0.250410749691919	0.404309620958198	0.685985051518913	NA	heavy_vs_light	NA	1.948	1.982	2.294	1.665	1.258	1.208
hsa-miR-4516-3p:Novel	163.133801192771	0.720259289632056	0.251725969379192	2.86128320970762	0.00421929955622859	0.114684814085326	heavy_vs_light	FALSE	291.378	102.718	244.323	83.933	37.928	75.001
hsa-miR-4517	3.71297036317343	-0.0238758858169736	0.291350314121672	-0.0819490649562255	0.934687217423561	0.974422175278665	heavy_vs_light	FALSE	15.657	2.501	2.696	2.509	1.003	1.239
hsa-miR-4517-3p:Novel	1.98403841572814	0.0502980240632093	0.275332358291089	0.182681121737362	0.855048229155526	NA	heavy_vs_light	NA	3.538	1.813	1.77	1.14	0.549	0.505
