ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	never.x	former.x	_16.x	16_.x	never.y	former.y	_16.y	16_.y
hsa-miR-4660-3p:Novel	15.66645928722	-0.281126711944708	0.370581409556633	-0.758609861949228	0.448085971519392	0.800489142638076	former_vs_never	FALSE	20.073	10.048	13.41	8.355	3.369	2.717	4.339	3.649
hsa-miR-4661-3p	0.354618671388846	0.235969054335327	0.505933782414661	0.466403040352676	0.640927035658023	NA	former_vs_never	NA	0.194	0.485	0.432	0.81	0	0	0	0
hsa-miR-4661-5p	0.635974140188769	0.108265628092036	0.326387712176826	0.331708652173099	0.740109266769755	NA	former_vs_never	NA	0.702	0.548	0.533	0.606	0	0	0.289	0
hsa-miR-4662a-3p	0.362215350531593	0.0982343194618778	0.579247537678196	0.169589533096043	0.865332954686773	NA	former_vs_never	NA	0.315	0.399	0.553	0.105	0	0	0	0
hsa-miR-4662a-5p	0.217853669644204	-0.0657684795247523	0.909407145911625	-0.0723201701464788	0.942347113269039	NA	former_vs_never	NA	0.127	0.242	0.251	0.743	0	0	0	0
hsa-miR-4662b	0.346389564100231	-0.161712791121374	0.55049597815648	-0.293758351628515	0.768942562175608	NA	former_vs_never	NA	0.372	0.29	0.332	0.377	0	0	0	0
hsa-miR-4662b-5p:Novel	0.742079081831866	-0.0357310155910236	0.366627764540092	-0.0974585643720835	0.922362238376262	NA	former_vs_never	NA	0.617	0.876	0.688	1.083	0	0	0	0.43
hsa-miR-4663	3.0464296825888	-0.0590211212952745	0.291502470253621	-0.202472113680283	0.839547656984325	0.94777849951122	former_vs_never	FALSE	3.465	2.556	2.609	2.283	1.374	1.819	1.16	1.213
hsa-miR-4663-3p:Novel	3.13721492598496	-0.107526233544739	0.247173265861993	-0.435023719777104	0.663545210388151	0.886921093730444	former_vs_never	FALSE	3.275	2.563	3.074	4.34	1.781	1.769	2.181	1.612
hsa-miR-4664-3p	13.7718730817881	-0.456167386389583	0.315423547253244	-1.44620587258611	0.148119467064588	0.572321404699047	former_vs_never	FALSE	15.263	11.634	14.147	8.498	4.586	5.188	3.636	2.934
hsa-miR-4664-5p	1.40780390932733	-1.03905017435206	0.331350291897386	-3.13580582169469	0.00171382636656149	NA	former_vs_never	NA	1.648	1.029	1.182	1.479	0.658	0	0.504	0.858
hsa-miR-4665-3p	0.536411251360092	0.157708113644533	0.387956789650205	0.406509482117141	0.684368291310603	NA	former_vs_never	NA	0.585	0.524	0.451	0.261	0	0	0	0
hsa-miR-4665-5p	7.32778949871881	-0.19841289004572	0.215873486653237	-0.919116530342771	0.35803462388122	0.749672497378108	former_vs_never	FALSE	7.635	6.894	5.536	9.161	4.73	4.046	4.534	5.402
