ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Averagea.drinker	Averagea.no_drinker	Mediana.drinker	Mediana.no_drinker
hsa-miR-5089-5p	1.66460011684977	-0.880699085597799	1.15087606979383	-0.765242330354098	0.444127257484567	NA	a.no_drinker_vs_a.drinker	NA	1.55142562379769	6.1828073316879	0	0
hsa-miR-509-3-5p	0.288726185188769	0.104827026800544	2.13145298837542	0.0491810175369818	0.960775038769217	NA	a.no_drinker_vs_a.drinker	NA	0.329828726220529	0.427349279235365	0	0
hsa-miR-509-3p	2.56171942133436	0.0882960327531124	0.64580756538387	0.136721892845323	0.891250624045856	NA	a.no_drinker_vs_a.drinker	NA	2.6562923394196	3.09142636804876	1.70188829108247	1.61434634180992
hsa-miR-509-5p	8.11674672147576	0.109642308565442	0.74127488497948	0.147910459111909	0.882413433824684	0.97380290082577	a.no_drinker_vs_a.drinker	FALSE	8.46731992735351	10.3943042553095	5.56400847831685	8.36524150991151
hsa-miR-5090	6.72779196786753	1.79369082686945	0.566298593219627	3.16739410682909	0.0015381171553596	0.131101868124474	a.no_drinker_vs_a.drinker	FALSE	6.56662107031852	20.321641836039	4.49546442874468	23.0044141522567
hsa-miR-5090-3p:Novel	20.0616749396138	0.953403895360712	0.923301366846111	1.03260314518696	0.301789655702529	0.709891576482086	a.no_drinker_vs_a.drinker	FALSE	20.2898244612214	46.0810597554225	9.02149433764543	6.31062660889332
hsa-miR-5091	15.5297248671341	-1.63307721725657	0.709630108078064	-2.30130767940432	0.0213742459970218	0.297800792785428	a.no_drinker_vs_a.drinker	FALSE	18.5349102537136	6.76683567319169	12.3312780029832	5.99518798248963
hsa-miR-5091-3p:Novel	16.0158347112738	0.204983068400808	0.622306319185282	0.329392554890283	0.741858994443836	0.92460314783625	a.no_drinker_vs_a.drinker	FALSE	17.3267712790597	18.0503681957588	11.740142554993	13.2665842522031
hsa-miR-5092	11.4673115401038	-0.113010362766045	0.606833130626695	-0.186229717961074	0.852264620022748	0.967625868420648	a.no_drinker_vs_a.drinker	FALSE	11.9802432062332	18.5844562119397	8.48560998144625	10.6132674017625
hsa-miR-5092-5p:Novel	20.1672822536841	-1.0675031809011	1.30331796210049	-0.819065808914853	0.412748867975345	0.784466869674682	a.no_drinker_vs_a.drinker	FALSE	17.234287081117	3.33454878494791	2.80289180618453	1.32665842522031
hsa-miR-5093	10.4758793966239	-0.0619586978003622	0.512828759486195	-0.120817517844434	0.90383557451372	0.97380290082577	a.no_drinker_vs_a.drinker	FALSE	10.5656200572093	17.2592133457413	8.94722010125588	9.09904301747409
hsa-miR-5093-5p:Novel	2.84024966070756	0.0967000548643276	0.831256992964788	0.116329914434084	0.907391078262152	0.97380290082577	a.no_drinker_vs_a.drinker	FALSE	3.72451433686026	3.90864495329652	1.1373670589051	3.97997527566093
hsa-miR-5094	5.21188459032028	-0.844113528195839	0.713647541537883	-1.18281571653257	0.236882190415155	0.660081334445308	a.no_drinker_vs_a.drinker	FALSE	6.35739936999691	3.700269541239	4.43874195640949	2.09131037747788
hsa-miR-5094-3p:Novel	2.0063224621109	0.169484415571066	0.91045874079553	0.186152768903044	0.852324961437298	NA	a.no_drinker_vs_a.drinker	NA	2.10286747449605	2.02916466368181	0.843484398465191	2.09131037747788
hsa-miR-510-3p	1.31218581682703	-0.828622413247296	1.13283446494776	-0.731459395778099	0.464498597229237	NA	a.no_drinker_vs_a.drinker	NA	1.36603336765242	1.73023380921206	0	0.333065999027202
hsa-miR-510-5p	0.382718418858606	-0.887481044525006	2.27846645849057	-0.389508057587532	0.696900351269305	NA	a.no_drinker_vs_a.drinker	NA	0.341845593356651	0.958195534557629	0	0
hsa-miR-5100	18.9979853680859	-0.195888632354664	0.738371177505124	-0.265298319222794	0.790779659201899	0.943319500097577	a.no_drinker_vs_a.drinker	FALSE	21.2971830275133	15.1117375557086	11.4644046494998	14.3218379581697
hsa-miR-5100-5p:Novel	7.2592202089332	1.40296257989122	0.706309217286063	1.98632913963942	0.0469967890873226	0.405347305878157	a.no_drinker_vs_a.drinker	FALSE	6.84939834491181	19.7519976229961	3.33432327169853	5.21390016361335
hsa-miR-511-3p	3.6341442082755	0.161454805443945	0.832292030774843	0.193988166982249	0.846185147289281	0.967326955259188	a.no_drinker_vs_a.drinker	FALSE	3.92390246312254	3.62457180633162	1.88216061980758	2.65331685044062
hsa-miR-511-5p	0.211307655744203	-0.309379228854381	2.58246264920552	-0.119800078792837	0.90464151952563	NA	a.no_drinker_vs_a.drinker	NA	0.211636334457996	0.90296278806186	0	0
hsa-miR-512-3p	3.75485576190016	-0.483147033737023	0.708785847270985	-0.681654459661219	0.495457470055083	0.820994808526915	a.no_drinker_vs_a.drinker	FALSE	3.91174313668926	4.7181213459497	2.6874817486821	6.51737520451669
hsa-miR-512-5p	2.25361426586408	0.0736635560341787	0.747446694307504	0.0985535913065033	0.921492719327026	NA	a.no_drinker_vs_a.drinker	NA	2.76237764464381	4.48237265038567	1.49017557365856	3.13696556621682
hsa-miR-513a-3p	2.32948755545537	0.264184921515174	0.700242765697919	0.377276188282882	0.705968365967251	NA	a.no_drinker_vs_a.drinker	NA	2.94361826788813	5.50037766847357	1.38544350900047	2.33146199319041
