ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	no.x	yes.x	no.y	yes.y
hsa-miR-4804-5p	4.05240072754221	0.355941862539439	0.386341915903926	0.921313085344728	0.356886991300405	NA	yes_vs_no	NA	3.326	4.135	2.357	2.448
hsa-miR-483-3p	0.832828225221971	-0.221819690474234	0.759178697538096	-0.292183765421188	0.770146123635544	NA	yes_vs_no	NA	0.843	0.721	0	0
hsa-miR-483-5p	16.7946983855372	0.732415529627922	0.411144028367561	1.78140865267085	0.0748457157217828	0.296313480223462	yes_vs_no	FALSE	18.826	14.52	7.114	8.614
hsa-miR-484	2.19780857024455	1.93155434872273	0.643084940860638	3.00357577357936	0.00266827095001637	NA	yes_vs_no	NA	0.792	2.946	0.271	1.016
hsa-miR-484-3p:Novel	29.094660827352	0.316155275304935	0.290410041167213	1.08865132222786	0.27630767540148	0.527802332768428	yes_vs_no	FALSE	23.397	32.194	17.722	23.675
hsa-miR-485-3p	0.372478756508167	0.340282756983074	1.35714025880272	0.250735143089244	0.802018888136636	NA	yes_vs_no	NA	0.536	0.224	0	0
hsa-miR-485-5p	3.64835311577288	-0.0554262243203715	0.478937866860464	-0.115727379594564	0.907868606262461	NA	yes_vs_no	NA	3.906	3.324	1.939	1.419
hsa-miR-486-3p	98.9588442195358	0.849639954308228	0.623256903259713	1.36322590229567	0.17281132627715	0.427767681415825	yes_vs_no	FALSE	29.253	176.575	6.514	5.845
hsa-miR-486-5p	81.3558965328009	1.28499118143401	0.596656408350527	2.1536535323343	NA	NA	yes_vs_no	NA	12.625	144.62	2.011	1.352
hsa-miR-487a-3p	0.105598845423609	0.840025520839056	2.54877325135681	0.329580326689272	0.741717089790161	NA	yes_vs_no	NA	0.105	0.092	0	0
hsa-miR-487a-5p	1.34049247640646	0.443353814383827	0.630409015503387	0.703279622404836	0.481881507327159	NA	yes_vs_no	NA	1.079	1.42	0.406	0
hsa-miR-487b-3p	0.323396680441446	0.82803055647977	1.11588554512493	0.742038966359282	0.458063726996134	NA	yes_vs_no	NA	0.381	0.25	0	0
hsa-miR-487b-5p	1.14756758846843	1.80714313351651	0.921335794630879	1.96143810329275	0.0498279387965536	NA	yes_vs_no	NA	0.736	1.358	0	0
hsa-miR-488-3p	0.492284684023327	0.98503970643622	0.897283980858108	1.09780150704818	0.272291173261961	NA	yes_vs_no	NA	0.37	0.528	0	0
hsa-miR-488-5p	0.185669106807338	0.122041886401831	1.71183984310254	0.0712928180130698	0.943164711081784	NA	yes_vs_no	NA	0.137	0.196	0	0
