ID	Average_F	Average_M	Median_F	Median_M	log2FoldChange	pvalue	padj	comparison	treshold
hsa-miR-4796-3p	5.25839620462641	3.73582023521585	2.48873554270513	0.673445093049784	-0.367662627254961	0.0944663889160085	0.37854354410123	M_vs_F	FALSE
hsa-miR-4796-5p	0.31155264694216	0.294614455971317	0	0	0.241779322252938	0.649240327263262	NA	M_vs_F	NA
hsa-miR-4797-3p	0.311783634249841	0.177583443262556	0	0	-0.0886542651551141	0.823682739613583	NA	M_vs_F	NA
hsa-miR-4797-5p	0.703430144983779	0.636495581925527	0.422547012433348	0	-0.147754639439322	0.536108956389811	NA	M_vs_F	NA
hsa-miR-4798-3p	0.482628542555603	0.268826194222044	0	0	-0.532519353931753	0.147443073964884	NA	M_vs_F	NA
hsa-miR-4798-5p	1.02904732055569	1.11936190408916	0.233151683982712	0	-0.0323974124003375	0.912624052402769	NA	M_vs_F	NA
hsa-miR-4799-3p	1.50327456144693	1.43843070938013	0.651706492606642	0.563179860441549	0.0897135661618366	0.72095627787957	NA	M_vs_F	NA
hsa-miR-4799-5p	0.282796069951721	0.208795494088219	0	0	0.0890499189598833	0.843716005475186	NA	M_vs_F	NA
hsa-miR-4800-3p	26.1498208037106	20.9942190436023	11.7641192161033	7.90000262901625	-0.522338055787933	0.0157649786436271	0.173690155492671	M_vs_F	FALSE
hsa-miR-4800-5p	8.37187907877924	5.83672478856853	4.98994547516437	3.94446013663433	-0.217705848756229	0.207546519406324	0.547465228355264	M_vs_F	FALSE
hsa-miR-4801	0.297643631124167	0.328962488278105	0	0	0.0201508705166615	0.961059409013628	NA	M_vs_F	NA
hsa-miR-4801-5p:Novel	0.575459070836483	0.56640472980364	0	0	0.259796793052601	0.457596084977748	NA	M_vs_F	NA
hsa-miR-4802-3p	16.154380052694	14.4830017562258	9.30471411127808	8.21520040441629	-0.112376384024986	0.555865985665644	0.828038104180539	M_vs_F	FALSE
hsa-miR-4802-5p	1.11978843849925	0.826797725574694	0.307238879812238	0	-0.46340012720415	0.102207911838277	NA	M_vs_F	NA
hsa-miR-4803	3.78245922040951	3.25521535613115	2.00243837514009	1.2620054067384	-0.378192227754391	0.0925738363758285	NA	M_vs_F	NA
hsa-miR-4803-3p:Novel	1.50276018138478	1.14248190245464	0.827394140457506	0.552813886618443	0.0150187255821843	0.947286448311868	NA	M_vs_F	NA
hsa-miR-4804-3p	0.273967767959505	0.265000714665537	0	0	-0.147150887325632	0.860936366165378	NA	M_vs_F	NA
hsa-miR-4804-5p	4.46596969200736	4.09454768582844	3.10263033676923	2.28889405401027	-0.103496540627363	0.559217463947384	0.829565083952986	M_vs_F	FALSE
hsa-miR-483-3p	0.85731586907715	0.982951269320849	0	0	0.0855758501471194	0.789572548534979	NA	M_vs_F	NA
hsa-miR-483-5p	21.8939143499515	17.5571120874389	12.5996181611298	8.96236484401335	0.0779895042807653	0.662667807104356	0.869617873993077	M_vs_F	FALSE
hsa-miR-484	1.8383892096212	1.08761582541165	0.535099014888236	0.436171354631786	-0.349696731241406	0.184039000897064	NA	M_vs_F	NA
hsa-miR-484-3p:Novel	33.230880476156	28.5714538446968	26.2543790228424	19.620364669829	-0.193497796377765	0.12532406206857	0.440079253595084	M_vs_F	FALSE
hsa-miR-485-3p	0.608082253822819	0.598076124369288	0	0	-0.364548431765771	0.426369803414848	NA	M_vs_F	NA
hsa-miR-485-5p	7.32835050914379	5.80965199966403	2.63832809083642	2.71985395480636	0.430592208608082	0.0521240347534163	0.293519546574881	M_vs_F	FALSE
hsa-miR-486-3p	102.319239093521	49.2455243027873	7.82190099475225	6.29571697341904	-0.156398772797012	0.591968890097462	0.848201788634088	M_vs_F	FALSE
hsa-miR-486-5p	69.8967703763429	22.5446574169252	2.56788722852156	2.40775953618009	-0.481782504110875	0.0697923456062231	0.334125135274967	M_vs_F	FALSE
hsa-miR-487a-3p	0.150954829479706	0.300337469882665	0	0	0.186567744329529	0.768265046545572	NA	M_vs_F	NA
hsa-miR-487a-5p	1.43372678861304	1.12099209868583	0.466303367965423	0	-0.068075815758672	0.824023906855959	NA	M_vs_F	NA
hsa-miR-487b-3p	0.53625407499445	0.527889811760052	0	0	-0.0277899052564543	0.934805143443435	NA	M_vs_F	NA
hsa-miR-487b-5p	1.57864356474737	1.13367505259544	0	0	-0.471095732893973	0.140346647445814	NA	M_vs_F	NA
hsa-miR-488-3p	0.767879071002324	0.702384870416721	0	0	-0.0109748248959209	0.973344260572825	NA	M_vs_F	NA
hsa-miR-488-5p	0.274161880413523	0.191774536450205	0	0	-0.0119115672540823	0.98291904366871	NA	M_vs_F	NA
hsa-miR-489-3p	3.37346654006214	4.24814203264919	1.67163333816585	1.19581822112825	0.525172904306078	0.0353711256724952	NA	M_vs_F	NA
hsa-miR-489-5p	2.45279482721617	1.57191486756589	0	0	-0.0751903068066104	0.819590279076719	NA	M_vs_F	NA
hsa-miR-490-3p	3.54710970129211	2.6810044295019	2.01922032167631	0.931795726598611	0.0632002329791667	0.779006415836183	NA	M_vs_F	NA
hsa-miR-490-5p	0.30795540451344	0.169843323465706	0	0	-0.153028473437828	0.735809480036513	NA	M_vs_F	NA
hsa-miR-491-3p	0.445907238992379	0.245026712201981	0	0	-0.419253788473676	0.396701551087288	NA	M_vs_F	NA
hsa-miR-491-5p	10.7949151651476	13.5665183867074	3.73621088905785	3.56690935906551	0.428644692848845	0.115481436511417	0.426901514958146	M_vs_F	FALSE
hsa-miR-492	2.57571922171389	3.59239698217708	1.54064844936905	1.28995666148464	0.269453972151577	0.203572857492137	NA	M_vs_F	NA
hsa-miR-492-3p:Novel	10.0345253329656	6.94896508967124	5.89962097897921	4.78732858773622	-0.217739500926572	0.215458408804612	0.557794180444708	M_vs_F	FALSE
hsa-miR-493-3p	5.13088934863557	2.91793047816003	0.411129752522568	0	-0.297518413412777	0.411225306096851	0.732741293683718	M_vs_F	FALSE
hsa-miR-493-5p	3.72856426302079	3.26149899073518	1.76313983533259	1.29011115457715	0.283509695366548	0.203843167458851	NA	M_vs_F	NA
hsa-miR-494-3p	11.0975163847859	8.46404502733636	5.97709376995534	6.00284360032672	-0.359683469673449	0.0503116091475342	0.291421159515035	M_vs_F	FALSE
hsa-miR-494-5p	3.26856142343944	2.50424849576483	1.78011873666681	0.94868238402606	-0.171365039256383	0.397305183396035	NA	M_vs_F	NA
hsa-miR-495-3p	0.44945061184919	0.41236743911387	0	0	0.185557078387682	0.636558963892406	NA	M_vs_F	NA
hsa-miR-495-5p	2.07109984197793	1.24914887352645	0.411129752522568	0	-0.0528438685021612	0.824991996287064	NA	M_vs_F	NA
hsa-miR-496	10.5634025614211	19.0742342886775	2.58354083222894	2.42358850579476	0.267668970939	0.305620541067606	0.667424258524434	M_vs_F	FALSE
hsa-miR-496-5p:Novel	6.72189339709106	5.88237236597073	4.19419287796714	3.65811662578062	0.104943465159366	0.512664642932489	0.80029196357122	M_vs_F	FALSE
hsa-miR-497-3p	5.07951028835906	2.79912235075552	1.78011873666681	0.943334732670278	-0.268182562401779	0.149436599794102	0.481358278182926	M_vs_F	FALSE
hsa-miR-497-5p	1.20433766765191	0.734890141497762	0.412837054888422	0	-0.276458647391605	0.318460629273227	NA	M_vs_F	NA
hsa-miR-498-3p	2.61161721044368	3.67262232681481	1.61482944176125	1.94700237201155	0.515797430112451	0.0133067953814587	NA	M_vs_F	NA
hsa-miR-498-5p	4.4826694314628	5.88982428741835	1.53450386866349	1.59866998555481	0.555389864771469	0.0364179860276465	0.245771134301685	M_vs_F	FALSE
