ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Averageabstemious	Averageall	Averagenowine	Medianabstemious	Medianall	Mediannowine
hsa-miR-3064-5p	53.0757303318798	0.289893230557817	0.515303852345622	0.562567559388982	0.57372938742997	1	nowine_vs_abstemious	FALSE	29.1168269054862	53.9358681223454	40.5848050470331	21.3614352009866	32.476149968237	26.3049936719261
hsa-miR-3065-3p	0.622389624515314	0.435032294174088	1.03335524540886	0.420990067168973	0.673762335011214	1	nowine_vs_abstemious	FALSE	0.521896607495731	0.621999287780212	0.53903597746552	0	0	0.129619539366525
hsa-miR-3065-5p	1.29258499799096	0.414968169775946	0.993564544906403	0.417655976054416	0.676198664211121	1	nowine_vs_abstemious	FALSE	1.61332690136412	1.33379557603656	0.786425073368643	0.224566383081499	0.24703718270208	0
hsa-miR-3074-3p	2.26434502851488	-0.975157072914337	0.776658026991827	-1.25558101381034	0.209267918595038	1	nowine_vs_abstemious	FALSE	3.23733583781749	2.15207330052302	1.35276826741446	0.95937840005431	0.831485644608289	0.424907548659351
hsa-miR-3074-5p	11.3375849600827	0.606749938430605	0.704277741936582	0.861520820979233	0.388951258792229	1	nowine_vs_abstemious	FALSE	16.1191308254481	8.52519316223974	13.2593782266269	3.98841078242442	3.58733691078856	3.87201522563733
hsa-miR-3085-3p	0.62365226661947	-0.656029239342009	1.16000694200868	-0.565539063245622	0.571707162205862	1	nowine_vs_abstemious	FALSE	1.70063909640195	0.551345231183966	0.246830560706805	0	0	0
hsa-miR-3085-5p	20.5494823202145	-0.0585560234321639	0.613156232955266	-0.0954993528320471	0.923918204277269	1	nowine_vs_abstemious	FALSE	16.4386549720538	20.6141642541588	18.4745153400224	10.4965027188844	10.3071128073022	9.26284024114867
hsa-miR-30a-3p	4.65863521160258	1.14929170365882	0.924670138734471	1.24292075142793	0.213897037966015	1	nowine_vs_abstemious	FALSE	14.4319902437523	2.79180684677571	5.80610811407799	2.22390253160849	0.839633231189878	1.02206792836237
hsa-miR-30a-5p	16.4755687363796	1.01418181508615	0.68004469233192	1.49134582847555	0.135870722692865	1	nowine_vs_abstemious	FALSE	15.0438210972535	16.8947232184841	4.43022240226767	3.30644670390805	4.09131862165145	3.24890166648767
hsa-miR-30b-3p	2.52192994909207	-0.345033700940802	0.662430798152881	-0.520859993078361	0.602464306875425	1	nowine_vs_abstemious	FALSE	2.61185695027972	2.62341585429603	1.62775318261164	1.57355842304425	1.35200515223898	1.1113133228773
hsa-miR-30b-5p	7.35296025395321	0.58827234743063	0.941205941473288	0.625019798015507	NA	NA	nowine_vs_abstemious	NA	12.4911687255976	8.7529812120522	1.93354242691185	0.859057882223037	0.934171760022429	0.541406536851271
hsa-miR-30c-1-3p	7.16767100618826	0.985273248771027	0.679379770093132	1.45025402895933	0.146987693461524	1	nowine_vs_abstemious	FALSE	11.1244475379448	6.99653207477848	4.44961476436199	2.56012737058766	1.51119692139651	2.04418658945895
hsa-miR-30c-2-3p	3.68249319235233	-0.493544175153806	0.646415565096379	-0.763509113646141	0.445159829223156	1	nowine_vs_abstemious	FALSE	6.62895145794382	3.07334347199564	3.15377643422794	3.94283038783851	2.04565931082573	1.55494845918993
hsa-miR-30c-5p	10.9615698874655	-0.00942129606976429	0.542794925117333	-0.0173570083908352	0.986151806317771	1	nowine_vs_abstemious	FALSE	17.8885325551527	10.0500691730378	8.04912400154782	10.0943558336725	4.52377270613413	4.4046616468836
hsa-miR-30d-3p	0.57034638430592	1.10229266191184	1.04541436385427	1.05440741970281	0.291696426730317	1	nowine_vs_abstemious	FALSE	0.37785937373736	0.533034071954454	0.656065606820098	0	0	0
hsa-miR-30d-5p	57.9402984615987	1.14485778184952	0.70179573997035	1.63132620596684	NA	NA	nowine_vs_abstemious	NA	288.596846279968	43.5536293003593	14.347931150593	7.12849396847169	4.63078620848287	5.33654131376175
hsa-miR-30e-3p	14.428349812247	0.802520423130673	0.809788709640298	0.991024465489457	0.321673633992383	1	nowine_vs_abstemious	FALSE	69.9288909205989	9.05360502054105	7.16508769653575	1.02192077602881	1.99655477703136	1.33274775256174
hsa-miR-30e-5p	14.7393528400758	0.985749749133102	0.707336543269333	1.39360783563781	0.163436061051545	1	nowine_vs_abstemious	FALSE	54.2145821387954	13.1361779272553	4.47750111964223	2.89802372254612	3.08522419326977	1.7331433049352
hsa-miR-31-3p	1.42393769471956	1.84462801351288	1.00520847750473	1.83507009221797	0.066495304652555	1	nowine_vs_abstemious	FALSE	1.01688871917871	0.693461796461553	3.86876336794555	0	0	0.132364991839094
hsa-miR-31-5p	6.28808663811393	1.05562800427152	0.730315278971527	1.44544148899379	0.148333916797024	1	nowine_vs_abstemious	FALSE	26.5030991652906	3.66174969508659	5.10558393982852	1.14291880244172	1.95418923508419	2.79787244844855
hsa-miR-3115	0.630998433871342	-1.25386613081214	1.12435918600389	-1.11518289388335	0.264772054932078	1	nowine_vs_abstemious	FALSE	0.851230073658666	0.68200380322136	0.15125260672916	0.397475426219998	0	0
hsa-miR-3115-3p:Novel	7.33863990143315	0.511376882502674	0.683036916227945	0.748681177185474	0.454049391309339	1	nowine_vs_abstemious	FALSE	51.7779210729813	2.75836212014485	2.48142609357012	1.47524264534649	1.51119692139651	0.740875548584865
hsa-miR-3116	1.79850992247835	0.330260619250849	0.737888848908228	0.447575023988367	0.654459931715743	1	nowine_vs_abstemious	FALSE	1.34458847937702	1.31206872937716	3.59092431700974	0	0.741111548106239	0.927215439826235
hsa-miR-3116-5p:Novel	1.21150892246005	-0.87099682598508	1.47770472628683	-0.58942548568124	0.5555758843382	1	nowine_vs_abstemious	FALSE	1.16704636180235	0.339071502426676	5.02006733629689	0	0	0
hsa-miR-3117-3p	1.02277674972856	1.12301295130883	1.00815952573573	1.11392386089819	0.265311852006606	1	nowine_vs_abstemious	FALSE	1.0153876800206	0.796676373205863	1.65920513074666	0	0	0
hsa-miR-3117-5p	0.741261913007861	0.912036720545336	1.12102298805265	0.813575395210812	0.415888238073936	1	nowine_vs_abstemious	FALSE	0.474552777317511	0.568447011140029	1.23076042043056	0	0	0
hsa-miR-3118	5.06379913218428	-0.244719280134232	1.02861700593088	-0.237910980202749	0.811950139033884	1	nowine_vs_abstemious	FALSE	1.99520341064358	6.27693988280075	1.21841909866215	0.342138565080746	0.699354391422023	0.606659795485968
hsa-miR-3118-2-5p:Novel, hsa-miR-3118-3-5p:Novel, hsa-miR-3118-4-5p:Novel	1.59184862648266	0.633429597011195	0.766506128440756	0.826385561064895	0.408585411479316	1	nowine_vs_abstemious	FALSE	0.878889991022457	1.54656827239482	1.72108646465377	0	0.807968909892622	0.493368715870388
