miRNA	age	age.p	age.fdr	bmi	bmi.p	bmi.fdr
hsa-miR-3201	0.021	0.789	0.93704476607203	0.145	0.074	0.748725212464589
hsa-miR-3201-3p:Novel	-0.188	0.011	0.28192	-0.145	0.054	0.720818181818182
hsa-miR-3202	-0.016	0.82	0.948063760572544	-0.05	0.485	0.904292379471229
hsa-miR-3202-3p:Novel	-0.123	0.077	0.452246666666667	-0.038	0.595	0.932686369651522
hsa-miR-320a-3p	-0.045	0.512	0.816789497510186	-0.035	0.623	0.939034424139396
hsa-miR-320a-5p	0.004	0.957	0.990026979472141	-0.013	0.85	0.978249510124102
hsa-miR-320b	-0.163	0.019	0.327813953488372	-0.082	0.247	0.844389036251105
hsa-miR-320b-1-5p:Novel	-0.061	0.385	0.741393185505679	-0.048	0.512	0.909532635774788
hsa-miR-320b-2-5p:Novel	0.031	0.667	0.886315233785822	0.014	0.843	0.978056881333769
hsa-miR-320c	-0.101	0.144	0.557031833150384	0.007	0.918	0.994515994020927
hsa-miR-320c-1-5p:Novel	0.044	0.528	0.822214759169244	0.064	0.368	0.879212981744422
hsa-miR-320c-2-5p:Novel	-0.004	0.956	0.990026979472141	0.014	0.848	0.978056881333769
hsa-miR-320d	-0.014	0.837	0.950686816720257	0.016	0.821	0.974799191374663
hsa-miR-320d-1-5p:Novel	0.121	0.079	0.454153344208809	0.031	0.659	0.944489068825911
hsa-miR-320d-2-5p:Novel	-0.069	0.334	0.707766686710764	-0.115	0.118	0.808864429530201
hsa-miR-320e	-0.057	0.412	0.757770354906054	-0.113	0.109	0.808864429530201
hsa-miR-320e-5p:Novel	0.026	0.703	0.898849493487699	-0.036	0.607	0.933275741710297
hsa-miR-323a-3p	-0.186	0.022	0.334172413793103	-0.03	0.72	0.96
hsa-miR-323a-5p	-0.007	0.92	0.979480362537764	-0.041	0.564	0.922991207774179
hsa-miR-323b-3p	-0.001	0.991	0.997529076396807	0.059	0.477	0.904292379471229
hsa-miR-323b-5p	0.023	0.737	0.918383309759547	-0.03	0.678	0.947162055335968
hsa-miR-324-3p	0.025	0.714	0.902487804878049	0.061	0.388	0.893084258654474
hsa-miR-324-5p	0.091	0.189	0.603840435176791	0.04	0.57	0.924381040036815
hsa-miR-325	-0.023	0.765	0.930248447204969	0.056	0.467	0.901263964950712
hsa-miR-325-3p:Novel	-0.113	0.11	0.50738219895288	-0.111	0.128	0.808864429530201
hsa-miR-326	0.017	0.811	0.944469266358229	0.06	0.401	0.896943374197315
hsa-miR-326-5p:Novel	-0.141	0.042	0.380483290488432	-0.162	0.023	0.591440559440559
hsa-miR-328-3p	0.121	0.127	0.53356338028169	0.092	0.257	0.844389036251105
hsa-miR-328-5p	0.011	0.868	0.960688442211055	0.021	0.768	0.967635734072022
hsa-miR-329-3p	-0.07	0.317	0.696451371571072	-0.041	0.563	0.922991207774179
