miRNA	kendall_correlation	pvalue
hsa-miR-10394-3p	-0.0250686048360069	0.623918897289208
hsa-miR-10394-5p	-0.0634966778855536	0.243158841333981
hsa-miR-10395-3p	0.0146056153131066	0.78640850132709
hsa-miR-10395-5p	-0.0774848126596222	0.123067874531927
hsa-miR-10396a-3p	-0.0020813652563125	0.968194200027252
hsa-miR-10396a-5p	0.0776386357489395	0.115029461087784
hsa-miR-10396b-3p	0.0104271331935916	0.840734675048354
hsa-miR-10396b-5p	0.0651617341704105	0.194591931352508
hsa-miR-10397-3p	-0.0353323922054703	0.458603305065211
hsa-miR-10397-5p	-0.127661398539727	0.0121701945197901
hsa-miR-10398-3p	0.0229180707126343	0.658067951456031
hsa-miR-10398-5p	0.049221414336158	0.362815994265367
hsa-miR-10399-3p	-0.0166601724123141	0.764907020715167
hsa-miR-10399-5p	0.034169944325901	0.535262678005261
hsa-miR-103a-1-5p	0.074373380888167	0.174011178683078
hsa-miR-103a-2-5p	-0.0155061127461857	0.781552092544567
hsa-miR-103a-3p	0.109898296009078	0.0317806688599749
hsa-miR-103b-3p:Novel	0.0191857635374684	0.709341776350455
hsa-miR-103b-5p	-0.0203985003486667	0.716730748619232
hsa-miR-10400-3p	0.0675843293872485	0.183480832727283
hsa-miR-10400-5p	0.0612972143939045	0.195690271237752
hsa-miR-10401-3p	-0.00621424156837469	0.907190929155402
hsa-miR-10401-5p	-0.00558416289613131	0.906069804253245
hsa-miR-105-3p	-0.061126147045978	0.211489631531001
hsa-miR-105-5p	-0.00436560848250922	0.930348597474975
hsa-miR-10522-3p:Novel	0.0740386632056073	0.126874529168364
hsa-miR-10522-5p	-0.041647825063714	0.441203283548214
hsa-miR-10523-3p:Novel	-0.0242385794425519	0.61324424019976
hsa-miR-10523-5p	0.0471402654902953	0.360171943107665
hsa-miR-10524-3p:Novel	-0.106269748923562	0.0391558388942886
hsa-miR-10524-5p	-0.104831021471906	0.0498071277722955
hsa-miR-10525-3p	0.0891636569230891	0.103140313409406
hsa-miR-10525-5p:Novel	0.0527059867445934	0.337726446762692
hsa-miR-10526-3p	0.0266209021961447	0.58874822906651
hsa-miR-10526-5p:Novel	0.0420008439304504	0.395320396768289
hsa-miR-10527-3p:Novel	0.0552200449668986	0.254476956272293
hsa-miR-10527-5p	0.0560989722636638	0.24942241360484
hsa-miR-106a-3p	-0.00471722062320007	0.932458535850578
hsa-miR-106a-5p	0.00333175712007874	0.95016307296749
hsa-miR-106b-3p	-0.0325641010394952	0.540994080965167
hsa-miR-106b-5p	0.017325545596327	0.721970176323853
hsa-miR-107	-0.00523381685495067	0.914602763932602
hsa-miR-107-5p:Novel	-0.00881997995286402	0.868483531211691
hsa-miR-10a-3p	-0.0127719247328695	0.805405099121472
hsa-miR-10a-5p	-0.0409761636593113	0.396664560953029
hsa-miR-10b-3p	-0.0542666890898922	0.286992118300037
hsa-miR-10b-5p	0.018479828149585	0.70320828209443
hsa-miR-11181-3p	0.0374151618522537	0.469413191811109
hsa-miR-11181-5p	0.088273457563048	0.121274965743184
hsa-miR-11399	0.0293704904487351	0.55143867756736
hsa-miR-11399-3p:Novel	0.0119142768765669	0.800742990876449
hsa-miR-11400	0.0135093765291795	0.792070333986305
hsa-miR-11400-3p:Novel	-0.13835892570619	0.0051791850862088
hsa-miR-11401	0.0273273181003911	0.597415672551386
hsa-miR-11401-3p:Novel	-0.0269902153528598	0.585126440745255
hsa-miR-1178-3p	0.042045786727516	0.452650057671264
hsa-miR-1178-5p	-0.0887607654165595	0.0958135747450751
hsa-miR-1179	0.0747549206370987	0.1493873308172
hsa-miR-1179-3p:Novel	0.008283328767768	0.864941076915311
hsa-miR-1180-3p	-0.0611352769631442	0.227599048102104
hsa-miR-1180-5p	-0.0405536019819789	0.44513045372601
hsa-miR-1181	-0.0711850874723604	0.143380820691945
hsa-miR-1181-3p:Novel	-0.0210914242717982	0.655375946878651
hsa-miR-1182	0.0658343035325606	0.173621906359578
hsa-miR-1182-5p:Novel	0.00267212618953118	0.956394888445067
hsa-miR-1183	-0.00123569629123331	0.98014958035664
hsa-miR-1183-5p:Novel	0.0440156747218157	0.363983873728556
