miRNA	kendall_correlation	pvalue
hsa-miR-10400-5p	0.0372297768501027	0.405209038613334
hsa-miR-10401-3p	-0.0421874349551311	0.40223116407266
hsa-miR-10401-5p	-0.0263441742794356	0.555644120628313
hsa-miR-105-3p	-0.0912120809085609	0.0483207105048763
hsa-miR-105-5p	-0.0751961170953134	0.110432524911747
hsa-miR-10522-3p:Novel	0.0231480048521363	0.613293669444743
hsa-miR-10522-5p	-0.0309526147676359	0.545125303232605
hsa-miR-10523-3p:Novel	0.0172613351744533	0.702888526817551
hsa-miR-10523-5p	-0.049626054024835	0.307728933885189
hsa-miR-10524-3p:Novel	-0.0540052650507003	0.268179716444157
hsa-miR-10524-5p	-0.0862486290809512	0.0890618330388509
hsa-miR-10525-3p	-0.0182545320815166	0.723576381091101
hsa-miR-10525-5p:Novel	-0.0254822033963667	0.62369995971457
hsa-miR-10526-3p	0.0294949377142834	0.52575180523163
hsa-miR-10526-5p:Novel	0.0250865712374991	0.590626541196172
hsa-miR-10527-3p:Novel	0.0464064629890969	0.31047143374035
hsa-miR-10527-5p	0.0638325199758485	0.165040484755256
hsa-miR-106a-3p	-0.0646598216303101	0.219156231353651
hsa-miR-106a-5p	-0.0817217395501102	0.105689358128999
hsa-miR-106b-3p	0.0247384470370698	0.622103536961708
hsa-miR-106b-5p	-0.0400506892521919	0.383182390348091
hsa-miR-107	-0.0288828497656362	0.530214139928226
hsa-miR-107-5p:Novel	0.0553296481395989	0.271959075082435
hsa-miR-10a-3p	-0.0125994703117231	0.796230026343443
hsa-miR-10a-5p	-0.0336390635580289	0.460819388789605
hsa-miR-10b-3p	-0.0154646652770337	0.747880087626893
hsa-miR-10b-5p	-0.0266486338111919	0.5610299806894
hsa-miR-11181-3p	-0.0287253111968987	0.556125565327161
hsa-miR-11181-5p	-0.00524667787485896	0.922065741853708
hsa-miR-11399	-0.0269514006716528	0.562879008943137
hsa-miR-11399-3p:Novel	-0.0127208416804453	0.775400719427764
hsa-miR-11400	-0.069207675272312	0.153283870895966
hsa-miR-11400-3p:Novel	-0.0583447359660071	0.210612788653983
hsa-miR-11401	-0.0158497538525884	0.745846243192316
hsa-miR-11401-3p:Novel	-0.0464217387544087	0.320129635708074
hsa-miR-1178-3p	-0.0353199990553815	0.504341555084774
hsa-miR-1178-5p	-0.0244743401068927	0.626702281716959
hsa-miR-1179	0.00990360238709751	0.839719714098305
hsa-miR-1179-3p:Novel	-0.0902812430427223	0.0495467807403993
hsa-miR-1180-3p	-0.0570869775503398	0.230897209606815
hsa-miR-1180-5p	0.0412551636277743	0.410601212757229
hsa-miR-1181	-0.0979373802751273	0.0332068385308316
hsa-miR-1181-3p:Novel	-0.0562961651817065	0.207118863184696
hsa-miR-1182	0.00112318923161759	0.980368469242374
hsa-miR-1182-5p:Novel	-0.029066384275892	0.528343096776104
hsa-miR-1183	-0.0662184609958537	0.157118284141766
hsa-miR-1183-5p:Novel	-0.0557200311402797	0.223299496170235
hsa-miR-1184	-0.0606730021222778	0.177233147686312
hsa-miR-1184-5p:Novel	-0.0625790249986945	0.181662154187883
hsa-miR-1185-3p	-0.00513071786087259	0.919789875697966
hsa-miR-1185-5p	-0.00296778402483488	0.95325555136357
hsa-miR-1193	-0.0686094834048661	0.140775135116428
hsa-miR-1193-3p:Novel	-0.0208479901538507	0.645723882716494
hsa-miR-1197	-0.0819950449777365	0.0851640812516441
hsa-miR-1197-5p:Novel	-0.0361368407743427	0.45677841791751
hsa-miR-1199-3p	-0.0909543703639737	0.0513024651909737
hsa-miR-1199-5p	-0.0377982833108687	0.423366669920853
