miRNA	age	age.p	age.fdr	bmi	bmi.p	bmi.fdr
hsa-miR-5194-5p:Novel	-0.041	0.359	0.747704491725768	0.035	0.44	0.902859780727063
hsa-miR-5195-3p	0.035	0.456	0.799077076081552	-0.041	0.384	0.886178967994775
hsa-miR-5195-5p	0.05	0.263	0.655917905166313	0.009	0.85	0.978888888888889
hsa-miR-5196-3p	-0.12	0.012	0.261782857142857	-0.053	0.279	0.836154351395731
hsa-miR-5196-5p	-0.016	0.714	0.913298003629764	0.031	0.491	0.908704402515723
hsa-miR-5197-3p	-0.112	0.015	0.26969387755102	-0.1	0.032	0.547417475728155
hsa-miR-5197-5p	-0.058	0.263	0.655917905166313	-0.051	0.332	0.863496688741722
hsa-miR-519a-2-5p, hsa-miR-520b-5p	-0.039	0.449	0.792723446893788	0.055	0.293	0.838774979691308
hsa-miR-519a-3p	-0.067	0.147	0.541870292887029	-0.003	0.95	0.990766498964191
hsa-miR-519a-5p, hsa-miR-519c-5p, hsa-miR-519b-5p, hsa-miR-523-5p, hsa-miR-518e-5p, hsa-miR-522-5p	-0.07	0.13	0.519410430839002	-0.01	0.826	0.977468337730871
hsa-miR-519b-3p	-0.106	0.032	0.3524	-0.028	0.569	0.928051565377532
hsa-miR-519c-3p	-0.048	0.333	0.728424581005587	-0.038	0.445	0.903850144092219
hsa-miR-519d-3p	-0.091	0.083	0.469489566613162	-0.044	0.408	0.893531230674088
hsa-miR-519d-5p	0.014	0.788	0.935858633456749	-0.017	0.749	0.966133235724744
hsa-miR-519e-3p	0.011	0.835	0.948251908396947	0.048	0.373	0.878656914893617
hsa-miR-519e-5p	0.028	0.591	0.857501846532622	0.106	0.044	0.587333333333333
hsa-miR-520a-3p	-0.098	0.039	0.372455284552846	0.017	0.725	0.958686679174484
hsa-miR-520a-5p	-0.049	0.341	0.733181208053691	0.043	0.405	0.892541484716157
hsa-miR-520b-3p	-0.022	0.667	0.890681318681319	0.026	0.619	0.938739957716702
hsa-miR-520c-3p	-0.005	0.919	0.978888888888889	0.052	0.329	0.860724573125464
hsa-miR-520d-3p	-0.044	0.372	0.759517960602549	-0.069	0.17	0.761467336683417
hsa-miR-520d-5p	-0.011	0.802	0.940828229027963	0.041	0.375	0.878656914893617
hsa-miR-520e-3p	-0.038	0.439	0.790230303030303	0.053	0.288	0.836154351395731
hsa-miR-520e-5p	-0.075	0.125	0.512805587892899	-0.007	0.894	0.988057545148454
hsa-miR-520f-3p	-0.01	0.84	0.948251908396947	0.103	0.036	0.579287671232877
hsa-miR-520f-5p	-0.143	0.005	0.183541666666667	0.031	0.558	0.924166122258516
hsa-miR-520g-3p	-0.056	0.291	0.688244295302013	0.012	0.827	0.977468337730871
hsa-miR-520g-5p	0.081	0.1	0.484731774415406	-0.002	0.963	0.993605147704007
hsa-miR-520h	0.035	0.462	0.801618906942393	0.076	0.12	0.721638225255973
hsa-miR-520h-5p:Novel	-0.005	0.91	0.975316301703163	0.011	0.81	0.976617064846417
hsa-miR-521	0.028	0.531	0.833600711427301	0.056	0.216	0.793726798748697
hsa-miR-521-1-5p:Novel	-0.072	0.153	0.545168857431749	-0.032	0.527	0.919682289097188
hsa-miR-521-2-5p:Novel	-0.064	0.21	0.605102207686018	0.067	0.193	0.772877272727273
hsa-miR-522-3p	-0.039	0.404	0.774820846905538	-0.04	0.392	0.89046114971573
hsa-miR-523-3p	-0.063	0.212	0.608873675631622	0.028	0.582	0.932682128240109
hsa-miR-524-3p	0.019	0.682	0.899127572016461	-0.045	0.344	0.869000716845878
hsa-miR-524-5p	-0.039	0.427	0.783314940135346	-0.012	0.805	0.97606323024055
hsa-miR-525-3p	-0.059	0.215	0.612993527508091	0.038	0.428	0.898599294947121
hsa-miR-525-5p	-0.073	0.15	0.544650972364381	-0.021	0.678	0.945123417721519
hsa-miR-526a-2-3p:Novel	-0.03	0.528	0.832888093106535	0.008	0.874	0.985277031349968
hsa-miR-526a-3p	0.038	0.428	0.783925155925156	0.12	0.014	0.407735537190083
hsa-miR-526a-5p	-0.1	0.047	0.387887587822014	-0.023	0.656	0.940880748880749
hsa-miR-526a-5p, hsa-miR-520c-5p, hsa-miR-518d-5p	0.03	0.507	0.818821264894592	0.048	0.305	0.84498427672956
hsa-miR-526b-3p	-0.086	0.066	0.434736448598131	0.054	0.253	0.823242843951985
hsa-miR-526b-5p	-0.005	0.918	0.97882965204236	0.095	0.07	0.657813333333333
hsa-miR-527	-0.022	0.641	0.879627725856698	-0.031	0.526	0.919682289097188
hsa-miR-527-3p:Novel	0.006	0.906	0.972508071885471	0.025	0.611	0.938739957716702
hsa-miR-532-3p	-0.02	0.691	0.901821270310192	-0.055	0.27	0.83277845351868
hsa-miR-532-5p	0.037	0.41	0.775770755222282	-0.033	0.479	0.907443917851501
hsa-miR-539-3p	0.011	0.826	0.948151140065146	-0.015	0.782	0.972520461699895
hsa-miR-539-5p	-0.014	0.774	0.931867441065938	0.032	0.514	0.917059120768065
hsa-miR-541-3p	-0.078	0.091	0.479597633136095	-0.042	0.369	0.876250673854448
hsa-miR-541-5p	0.037	0.411	0.775770755222282	0.036	0.441	0.902859780727063
hsa-miR-542-3p	0.036	0.424	0.781881737310309	-0.061	0.18	0.76752224824356
hsa-miR-542-5p	0.043	0.405	0.774820846905538	-0.032	0.534	0.920499025341131
hsa-miR-543	-0.066	0.175	0.572690674053555	-0.004	0.934	0.988710123160108
hsa-miR-543-5p:Novel	-0.087	0.081	0.466077419354839	-0.068	0.18	0.76752224824356
hsa-miR-544a	-0.032	0.499	0.818331344653511	0.004	0.932	0.988710123160108
hsa-miR-544a-5p:Novel	-0.046	0.355	0.745098272781417	0.029	0.567	0.928051565377532
hsa-miR-544b	0.014	0.749	0.921491643454039	-0.012	0.795	0.974671299513551
hsa-miR-544b-5p:Novel	0.022	0.654	0.884041426927503	0.029	0.561	0.924166122258516
hsa-miR-545-3p	0	0.995	0.99698038100654	0.042	0.394	0.89046114971573
hsa-miR-545-5p	0.007	0.894	0.969967980295567	0.082	0.109	0.70608378870674
hsa-miR-548a-1-5p:Novel	-0.041	0.405	0.774820846905538	0.085	0.095	0.681167652859961
hsa-miR-548a-2-5p:Novel	-0.018	0.708	0.910913472070098	0.011	0.828	0.977468337730871
hsa-miR-548a-3p	-0.074	0.104	0.493929919137466	-0.127	0.006	0.293666666666667
hsa-miR-548a-5p	-0.043	0.367	0.755436915887851	0.012	0.806	0.97606323024055
hsa-miR-548aa-5p:Novel	0.044	0.385	0.766953080836631	-0.137	0.008	0.313244444444444
hsa-miR-548aa, hsa-miR-548t-3p	-0.009	0.84	0.948251908396947	-0.071	0.115	0.719307032590051
hsa-miR-548ab	-0.063	0.232	0.630353122590594	-0.011	0.83	0.977468337730871
hsa-miR-548ab-3p:Novel	-0.034	0.494	0.818331344653511	0.001	0.988	0.999
hsa-miR-548ac	-0.071	0.166	0.563025986525505	0.122	0.018	0.446704225352113
hsa-miR-548ac-5p:Novel	-0.015	0.751	0.921491643454039	-0.022	0.65	0.940698151950719
hsa-miR-548ad-3p	-0.01	0.839	0.948251908396947	0.014	0.784	0.972520461699895
hsa-miR-548ad-5p	-0.032	0.508	0.819684981684982	-0.014	0.77	0.972520461699895
hsa-miR-548ae-1-5p:Novel	0.032	0.537	0.836019366197183	0.025	0.633	0.939634372367313
hsa-miR-548ae-3p	-0.016	0.755	0.923826388888889	-0.064	0.207	0.779346153846154
hsa-miR-548ae-5p	-0.037	0.488	0.818331344653511	0.007	0.892	0.988057545148454
hsa-miR-548ag-1-3p:Novel	0.007	0.895	0.970047311827957	0.089	0.08	0.662228187919463
hsa-miR-548ag-2-3p:Novel	-0.032	0.506	0.818331344653511	0.005	0.92	0.988710123160108
hsa-miR-548ag-5p	-0.016	0.726	0.914981428571429	-0.098	0.036	0.579287671232877
hsa-miR-548ah-3p	0.045	0.386	0.768076792772445	-0.03	0.571	0.928051565377532
hsa-miR-548ah-5p	0.015	0.769	0.929340192043896	0.082	0.103	0.695348659003831
hsa-miR-548ai-3p:Novel	-0.035	0.48	0.814013474494706	-0.023	0.647	0.940217731958763
hsa-miR-548aj-1-5p:Novel	-0.109	0.038	0.368903581267218	-0.015	0.786	0.972520461699895
hsa-miR-548aj-3p	-0.071	0.154	0.546521651560926	-0.076	0.132	0.73578021978022
hsa-miR-548aj-5p, hsa-miR-548g-5p, hsa-miR-548x-5p	0.034	0.499	0.818331344653511	0.112	0.028	0.545149171270718
hsa-miR-548ak	-0.107	0.045	0.387808612440191	0.059	0.276	0.836154351395731
hsa-miR-548ak-3p:Novel	-0.017	0.727	0.914981428571429	0.012	0.82	0.977468337730871
hsa-miR-548al	-0.028	0.587	0.856203642384106	0.029	0.58	0.932351548269581
hsa-miR-548al-5p:Novel	-0.025	0.606	0.865644102148358	0.045	0.36	0.870804628999319
hsa-miR-548am-3p	-0.047	0.378	0.761891614375357	0.041	0.447	0.90472893982808
hsa-miR-548an	-0.052	0.301	0.69419109947644	-0.049	0.329	0.860724573125464
