miRNA	baseMean	log2FoldChange	pvalue	padj	comparison	size	sig
hsa-miR-4649-5p	5.24767652698459	-0.845536855086868	0.000282296485059105	0.0202420689797276	M_F	99_133	FALSE
hsa-miR-27b-3p	20.9155190705001	-1.20535906582091	0.000323968702062528	0.0210949906285857	M_F	99_133	TRUE
hsa-miR-3132	6.57114143181608	-1.04871525271573	0.000314030292348048	0.0210949906285857	M_F	99_133	FALSE
hsa-miR-378a-3p	141.402018220342	-1.03229410668659	0.000323902386940991	0.0210949906285857	M_F	99_133	TRUE
hsa-let-7g-5p	355.953910745183	-1.14246521557428	0.000355649520801871	0.0219060880515531	M_F	99_133	TRUE
hsa-miR-3935	32.9184875882447	0.690753996633675	0.000349067328700167	0.0219060880515531	M_F	99_133	TRUE
hsa-miR-27a-3p	25.7409873937353	-0.990221375471731	0.000367643699109894	0.0220489471124066	M_F	99_133	TRUE
hsa-miR-196b-5p	4.55488076314797	-1.13420363637815	0.000379146392716163	0.0221557597179522	M_F	99_133	FALSE
hsa-miR-675-3p	1.94549173813377	1.57534458885494	0.000390985204107418	0.0222763820040202	M_F	99_133	FALSE
hsa-miR-4257-5p:Novel	5.70818450130876	-0.940925011874066	0.000428479567631568	0.0238171935276181	M_F	99_133	FALSE
hsa-miR-194-1-3p:Novel	157.231022357852	-0.934525166721087	0.000454139299140773	0.0246424633986148	M_F	99_133	TRUE
hsa-miR-30b-5p	5.0692850619443	-1.24744562728582	0.000488257135247645	0.0252895002552133	M_F	99_133	FALSE
hsa-miR-665-5p:Novel	2.41598749662985	-0.971535218193278	0.000484499060510368	0.0252895002552133	M_F	99_133	FALSE
hsa-miR-4648	5.77670537366463	-0.900859237917051	0.000573207353537254	0.0283986860589435	M_F	99_133	FALSE
hsa-miR-4693-3p	189.070431029577	-0.714847871743888	0.00057012566315359	0.0283986860589435	M_F	99_133	TRUE
hsa-miR-22-3p	42.7239627643641	-1.00727805848833	0.000600201056123939	0.0291033661043927	M_F	99_133	TRUE
hsa-miR-3920	33.1548344059348	-0.670819013025608	0.000648234108705247	0.0307776152862345	M_F	99_133	TRUE
hsa-miR-6720-5p	6.94436697072328	-0.71753786603019	0.000724108027332949	0.0336784121284039	M_F	99_133	FALSE
hsa-let-7b-5p	319.033725136674	-0.977412795579747	0.00075072346889947	0.0342179757124378	M_F	99_133	TRUE
hsa-miR-203a-3p	12.6215031280467	-0.915390043825072	0.000780443698336085	0.0348751213432929	M_F	99_133	FALSE
hsa-miR-1268b-3p:Novel	8.80378561310489	-0.809060253973583	0.000813189469541496	0.035639592328559	M_F	99_133	FALSE
hsa-miR-200b-3p	167.235143518842	-0.923093245598892	0.000903679501465223	0.0378471985414797	M_F	99_133	TRUE
hsa-miR-3196	6.2039126905379	0.98254582018802	0.000915650297418161	0.0378471985414797	M_F	99_133	FALSE
hsa-miR-4326	45.1018873286661	-0.904731059751012	0.000929988204617316	0.0378471985414797	M_F	99_133	TRUE
hsa-miR-4715-5p	2.01915614223948	-0.814769186270162	0.000897147759860994	0.0378471985414797	M_F	99_133	FALSE
hsa-miR-27a-5p	2.68302329790726	-0.867585724459362	0.00122051687693759	0.0475409950415961	M_F	99_133	FALSE
hsa-miR-4274-5p:Novel	7.8699785477557	-0.670205481422368	0.00123076731349459	0.0475409950415961	M_F	99_133	FALSE
hsa-miR-429-5p:Novel	7.7659698563222	-0.792131064012163	0.00122218595156643	0.0475409950415961	M_F	99_133	FALSE
hsa-miR-30d-5p	45.6476519081401	-0.89427145493734	0.00126505735500978	0.0480510952011216	M_F	99_133	TRUE
hsa-miR-4700-5p	183.56663075976	-0.85304368035036	0.00153100113526068	0.0571992063485096	M_F	99_133	FALSE
hsa-miR-340-5p	2.60138263611879	-1.02158182960707	0.0016540829323262	0.0579946923503294	M_F	99_133	FALSE
hsa-miR-342-5p	7.17632392126542	-0.89625027342843	0.00163020117470461	0.0579946923503294	M_F	99_133	FALSE
hsa-miR-6781-5p	10.7644110577269	-0.573392493280019	0.00159726097230174	0.0579946923503294	M_F	99_133	FALSE
hsa-miR-6857-5p	1.65673002747571	-0.938235995019861	0.00163749831074198	0.0579946923503294	M_F	99_133	FALSE
