miRNA	baseMean	log2FoldChange	pvalue	padj	comparison	size	sig
hsa-miR-631	2.28940225791018	-0.973002515101423	0.00669879787731697	0.111658766792017	All_NoWine	177_36	FALSE
hsa-miR-921-3p:Novel	7.41870259752718	-0.60531972008095	0.00688668543501094	0.114170076914479	All_NoWine	177_36	FALSE
hsa-miR-7843-5p	12.7503924461438	-0.897609394352633	0.00717742208425989	0.117717398569118	All_NoWine	177_36	FALSE
hsa-miR-7978-3p:Novel	12.1669937034467	1.08996620400864	0.00715314016286468	0.117717398569118	All_NoWine	177_36	FALSE
hsa-miR-106b-5p	25.7810400312431	1.01894642569336	0.00724624115380587	0.118213944780439	All_NoWine	177_36	FALSE
hsa-miR-3196-3p:Novel	16.6770923762959	0.732311014060496	0.00746086070192571	0.120851374937549	All_NoWine	177_36	FALSE
hsa-miR-6846-5p	28.8107086052074	1.08709900572871	0.00748671706492804	0.120851374937549	All_NoWine	177_36	FALSE
hsa-miR-1295a	4.06150039156737	-0.628117675273472	0.00763988208612216	0.122678106587103	All_NoWine	177_36	FALSE
hsa-miR-4519	34.8995990884883	1.92101913882342	0.00771722070937013	0.123053237133718	All_NoWine	177_36	FALSE
hsa-miR-920-5p:Novel	5.72368190983481	-0.710759777864678	0.00774348704493237	0.123053237133718	All_NoWine	177_36	FALSE
hsa-miR-3614-5p	3.84812673761002	-0.883161473763206	0.00794734291551473	0.12564175629837	All_NoWine	177_36	FALSE
hsa-miR-6855-3p	3.70746399140393	-0.846495477127369	0.00806935423783826	0.126916458704872	All_NoWine	177_36	FALSE
hsa-miR-3130-3p	17.491993178588	-0.747365971255057	0.00821814481840415	0.128597194683906	All_NoWine	177_36	FALSE
hsa-miR-4516-3p:Novel	163.133801192771	0.797649751929415	0.00829337163070524	0.128957551540678	All_NoWine	177_36	FALSE
hsa-miR-5698-3p:Novel	2.31907861367036	-0.897577893706418	0.00832526742910149	0.128957551540678	All_NoWine	177_36	FALSE
hsa-miR-1912-5p	3.39278610809809	-0.825869306239033	0.00839562747525974	0.129028791551489	All_NoWine	177_36	FALSE
hsa-miR-4666b-3p:Novel	7.44126396046258	-0.807914074115454	0.00845607665531444	0.129028791551489	All_NoWine	177_36	FALSE
hsa-miR-550a-3-5p	66.9061944570331	-0.935404051005907	0.00842306460262127	0.129028791551489	All_NoWine	177_36	FALSE
hsa-miR-181a-2-3p	1.19180220614987	-1.13654665526408	0.00850065389549894	0.129066858898491	All_NoWine	177_36	FALSE
hsa-miR-1208	3.01027830705712	-0.857958906832263	0.00866226619921343	0.130738874079796	All_NoWine	177_36	FALSE
hsa-miR-135b-5p	0.807849775020933	-1.10625739079982	0.00878922786273795	0.130738874079796	All_NoWine	177_36	FALSE
hsa-miR-3124-5p	4.42553968415432	-0.851848570578687	0.00882391487920371	0.130738874079796	All_NoWine	177_36	FALSE
hsa-miR-3185-3p:Novel	24.6589771313098	-0.767933960629177	0.00881930925174964	0.130738874079796	All_NoWine	177_36	FALSE
hsa-miR-638	53.4623102167455	-0.934237730977052	0.00869680967483898	0.130738874079796	All_NoWine	177_36	FALSE
