miRNA...1	baseMean...2	log2FoldChange...3	pvalue...6	padj...7	comparison...8	size...9	sig...10	miRNA...11	baseMean...12	log2FoldChange...13	pvalue...16	padj...17	comparison...18	size...19	sig...20	miRNA...21	baseMean...22	log2FoldChange...23	pvalue...26	padj...27	comparison...28	size...29	sig...30
hsa-miR-3649-5p:Novel	2.83395187541708	-1.01727652503249	0.00138243460542406	0.123395088854518	light_no	82_76	FALSE	hsa-miR-30c-1-3p	4.76341288573059	-0.984713768384542	0.000211361767309313	0.0178891227622895	heavy_no	74_76	FALSE	hsa-miR-3613-5p	2.12341065186033	-1.1204917387529	0.00101932164818058	0.0753789324538091	heavy_light	74_82	FALSE
hsa-miR-6731-5p	41.3183315311111	0.77391646060934	0.0016712908635212	0.143850392181646	light_no	82_76	FALSE	hsa-miR-4483-5p:Novel	8.94929456491198	-1.6928755146722	0.000216471806037485	0.0178891227622895	heavy_no	74_76	FALSE	hsa-miR-4290-5p:Novel	13.438291417118	-0.69344924375493	0.00104388469018363	0.0753789324538091	heavy_light	74_82	FALSE
hsa-miR-6808-5p	8.75014640802867	0.954714529090315	0.00190313325576418	0.158156936082472	light_no	82_76	FALSE	hsa-miR-4767	19.9489481568439	-1.04938089521918	0.000221649257277707	0.0178891227622895	heavy_no	74_76	TRUE	hsa-miR-556-5p	4.36290091782353	-0.939897037955223	0.00105770251338366	0.0753789324538091	heavy_light	74_82	FALSE
hsa-miR-4539-5p:Novel	7.58910254684977	-0.985137570873997	0.00207888090599266	0.161616225272333	light_no	82_76	FALSE	hsa-miR-548a-3p	2.71437958300228	-1.00153861799376	0.000229054068659277	0.0178891227622895	heavy_no	74_76	FALSE	hsa-miR-6756-5p	29.3149253580346	0.735944461475124	0.00104149439032407	0.0753789324538091	heavy_light	74_82	FALSE
hsa-miR-92b-5p	18.6054115793165	-0.680625227608279	0.00201611021880983	0.161616225272333	light_no	82_76	FALSE	hsa-miR-3612	11.0318301968658	-1.15514062347938	0.000247234808768907	0.0181022236545484	heavy_no	74_76	FALSE	hsa-miR-4648-3p:Novel	2.32613014134083	-0.690040701094665	0.00115248034705845	0.0770000931878427	heavy_light	74_82	FALSE
hsa-miR-1204	15.6218964454091	1.16738787753051	0.00226187659410668	0.163938759885952	light_no	82_76	FALSE	hsa-miR-4737	15.3327714000776	-1.04162844324801	0.000244601777851524	0.0181022236545484	heavy_no	74_76	TRUE	hsa-miR-4682	5.45265345404068	-0.759857871972055	0.00112158738687229	0.0770000931878427	heavy_light	74_82	FALSE
hsa-miR-147a-5p:Novel	8.1390355271867	0.693312996658847	0.00272097526781663	0.163938759885952	light_no	82_76	FALSE	hsa-miR-7856-3p:Novel	7.20891240527897	-0.807097834451789	0.000297468160062567	0.0211202393644422	heavy_no	74_76	FALSE	hsa-miR-4674	71.2124985826924	-0.706604276599841	0.00124508828408615	0.0782940809228292	heavy_light	74_82	FALSE
hsa-miR-3189-5p	3.58565178867494	1.88483253835093	0.00249985052047696	0.163938759885952	light_no	82_76	FALSE	hsa-miR-6849-3p	2.70597380456121	-1.41244196632288	0.000326853679534648	0.0225240638573435	heavy_no	74_76	FALSE	hsa-miR-6799-5p	8.1625110759184	-0.848922431511063	0.00121265439407775	0.0782940809228292	heavy_light	74_82	FALSE
hsa-miR-4428	8.12722265804689	0.859901540504328	0.00269989791823648	0.163938759885952	light_no	82_76	FALSE	hsa-miR-7977-3p:Novel	4.46847812630821	-1.38998901696841	0.000379679487576341	0.0254168296968962	heavy_no	74_76	FALSE	hsa-miR-6811-5p	11.0986543196963	-0.852102320628722	0.00132532438200952	0.0809583865353246	heavy_light	74_82	FALSE
hsa-miR-5047	4.05111410353599	-1.17395567971968	0.00231286546117072	0.163938759885952	light_no	82_76	FALSE	hsa-miR-346-3p:Novel	5.22047950041507	-1.09262275769661	0.000426759027845159	0.0277749000622558	heavy_no	74_76	FALSE	hsa-miR-6784-5p	17.2840398456311	-0.850361232880742	0.00150176051947938	0.089187888629081	heavy_light	74_82	FALSE
hsa-miR-548d-5p	63.4114892550132	1.06250105984656	0.00262326620847122	0.163938759885952	light_no	82_76	FALSE	hsa-miR-12128	13.5447183016749	-0.724111990373581	0.000539137602516012	0.0303985373946251	heavy_no	74_76	FALSE	hsa-miR-638	52.0162714117931	-0.939766810767269	0.00158546878931409	0.0916143857176627	heavy_light	74_82	FALSE
hsa-miR-6509-5p	32.9136269184756	0.815413384658687	0.00268134126957946	0.163938759885952	light_no	82_76	FALSE	hsa-miR-2909-3p:Novel	12.81274725475	1.1410582835896	0.000526487986287924	0.0303985373946251	heavy_no	74_76	FALSE	hsa-miR-3652	4.49107771218747	-0.60049562775319	0.00164088870017835	0.0923215800258241	heavy_light	74_82	FALSE
hsa-miR-6864-3p	4.66155753301892	1.59158532211214	0.00242747462063217	0.163938759885952	light_no	82_76	FALSE	hsa-miR-4479	5.41676827267833	-0.948413982319153	0.000535411793933469	0.0303985373946251	heavy_no	74_76	FALSE	hsa-miR-4270	29.0363016684306	-1.11347488657555	0.00186239956784362	0.0987487877574368	heavy_light	74_82	FALSE
