miRNA	min	max	mean	median	sd
hsa-miR-1204-3p:Novel	0	35	2.09	1	3.65322440348967
hsa-miR-1205	0	20	1.14	0	2.4491423113551
hsa-miR-1205-3p:Novel	0	31	2.64	1	4.4077877184215
hsa-miR-1206	0	4	0.15	0	0.529470403138192
hsa-miR-1206-3p:Novel	0	18	1.57	1	2.45758755072602
hsa-miR-1207-3p	0	5	0.35	0	0.843692701506014
hsa-miR-1207-5p	0	86	6.05	3	9.97766486024369
hsa-miR-1208	0	86	4.62	2	10.3417892410468
hsa-miR-1208-3p:Novel	0	382	12.98	6	29.7044298428116
hsa-miR-12113	0	10	1.1	0	1.76352885963757
hsa-miR-12113-3p:Novel	0	98	3.52	1	9.10573973261597
hsa-miR-12114	0	92	2.39	1	8.06044943223256
hsa-miR-12114-3p:Novel	0	750	28.5	2	84.050688958156
hsa-miR-12115	0	70	3.38	1	7.69705607305813
hsa-miR-12115-3p:Novel	0	225	11.61	3	26.4426395491315
hsa-miR-12116	0	78	4.55	2	8.03486004090105
hsa-miR-12116-3p:Novel	0	66	3.73	2	6.2427551616484
hsa-miR-12117	0	568	5.86	1	37.9138273259389
hsa-miR-12117-3p:Novel	0	861	25.57	8	75.8868605137836
hsa-miR-12118	0	662	21.94	4	64.3784618866529
hsa-miR-12118-3p:Novel	0	1977	100.97	61	174.62421216098
hsa-miR-12119	0	260	17	7	29.0447039507413
hsa-miR-12119-3p:Novel	0	731	22.78	2	78.388246690305
hsa-miR-12120	0	265	5.46	1	22.2735675179088
hsa-miR-12120-3p:Novel	0	840	45.55	10	111.822939183737
hsa-miR-12121	0	6731	197.87	57	636.242704976594
hsa-miR-12121-3p:Novel	0	284	14.74	8	24.451132655074
hsa-miR-12122	0	53	3.36	2	5.27670414464951
hsa-miR-12122-3p:Novel	0	52	5.18	2	8.07162558342345
hsa-miR-12123	0	399	42.08	14	69.0782480310797
hsa-miR-12123-3p:Novel	0	152	2.21	0	10.7150987732124
hsa-miR-12124	0	131	9.54	4	17.6691166695843
hsa-miR-12124-5p:Novel	0	231	13.82	4	29.2020152681789
hsa-miR-12125	0	98	7.63	3	12.764868784774
hsa-miR-12125-5p:Novel	0	571	5.37	1	38.0802384214687
hsa-miR-12126	0	71	6.11	3	8.62442341815065
hsa-miR-12126-5p:Novel	0	7673	201.14	36	649.638598486027
hsa-miR-12127	0	2479	87.04	21	245.845739154478
hsa-miR-12127-5p:Novel	0	314	9.61	2	26.6756911188842
hsa-miR-12128	0	223	20.51	10	29.3739433541407
hsa-miR-12128-5p:Novel	0	57	3.97	2	7.19398386691689
hsa-miR-12129	0	38	2.36	1	5.3375029178684
hsa-miR-12129-5p:Novel	0	43	2.82	0	6.75656270295598
hsa-miR-12130	0	27	1.9	1	3.61195907162027
hsa-miR-12130-5p:Novel	0	34	1.78	0	4.11883651856764
hsa-miR-12131	0	58	3.48	1	6.670870856294
hsa-miR-12131-5p:Novel	0	159	2.12	0	10.9621980865004
hsa-miR-12132	0	283	6.39	1	25.0626519962493
hsa-miR-12132-5p:Novel	0	39	2.48	1	4.33619361967338
hsa-miR-12133	0	15	1.03	0	2.06655395689799
hsa-miR-12133-5p:Novel	0	7	0.32	0	0.768053880503522
hsa-miR-12135	0	49	3.2	1	5.82537495275967
hsa-miR-12135-5p:Novel	0	30	1.5	0	3.37986490180848
hsa-miR-12136	0	1621	116.97	65	187.001934406987
hsa-miR-12136-3p:Novel	0	368	30.79	18	42.7597171042718
hsa-miR-122-3p	0	2	0.15	0	0.410207194332422
hsa-miR-122-5p	0	113	17.3	10	22.1770468599706
hsa-miR-1224-3p	0	16	0.94	0	1.86884008618243
hsa-miR-1224-5p	0	91	6.6	3	10.8214500536608
hsa-miR-1225-3p	0	77	2.39	1	7.44150639745551
hsa-miR-1225-5p	0	29	2.34	1	3.91846567454192
hsa-miR-1226-3p	0	44	0.7	0	3.83909382653111
hsa-miR-1226-5p	0	28	2.53	1	4.01616811577553
hsa-miR-1227-3p	0	4	0.21	0	0.627221521755954
hsa-miR-1227-5p	0	105	3.64	1	9.18903880807825
hsa-miR-1228-3p	0	53	2.76	1	5.96325572358945
hsa-miR-1228-5p	0	135	7.29	3	13.961111923652
hsa-miR-1229-3p	0	3	0.14	0	0.462401668086421
hsa-miR-1229-5p	0	842	43	18	95.5162695048407
hsa-miR-122b-3p	0	29	0.71	0	2.94177250226519
hsa-miR-122b-5p	0	56	1.21	0	4.50539446121502
hsa-miR-1231	0	353	29.85	15	44.3173819049343
hsa-miR-1231-3p:Novel	0	852	43.65	17	83.2391869647892
hsa-miR-1233-3p	0	695	18.7	9	49.9338599844492
hsa-miR-1233-5p	0	336	9.51	4	26.2031374121732
hsa-miR-1234-3p	0	21	0.33	0	1.53627635364825
hsa-miR-1234-5p:Novel	0	102	5.73	2	10.062395983797
hsa-miR-1236-3p	0	4	0.17	0	0.496249065013887
hsa-miR-1236-5p	0	182	10.52	5	17.5430747492856
hsa-miR-1237-5p	0	79	7.12	3	11.0362628290785
hsa-miR-1238-3p	0	5	0.25	0	0.687205208772487
hsa-miR-1238-5p	0	25	1.35	1	2.29771363281724
hsa-miR-124-3p	0	279	16.09	7	28.8014238225732
hsa-miR-124-5p	0	495	43.48	21	62.0405930478853
hsa-miR-1243	0	25	0.52	0	2.10307674003022
hsa-miR-1243-3p:Novel	0	77	7.56	4	11.1821647962663
hsa-miR-1244	0	121	5.65	2	11.8421990966011
hsa-miR-1244-5p:Novel	0	24	1	0	2.20207162274538
hsa-miR-1245a	0	39	0.94	0	2.93777029432274
hsa-miR-1245a-5p:Novel	0	4	0.24	0	0.696483694551908
hsa-miR-1245b-3p	0	81	0.62	0	5.3582856769573
hsa-miR-1245b-5p	0	9	0.49	0	1.31670823877536
hsa-miR-1246	0	64	1.58	0	4.88346132010885
hsa-miR-1246-3p:Novel	2	30269	2103.34	781	3853.8949110027
hsa-miR-1247-3p	0	111	6.45	2	13.0845530149488
hsa-miR-1247-5p	0	13	0.96	0	1.86696826953789
hsa-miR-1248	0	14	0.79	0	1.50755337622966
hsa-miR-1248-3p:Novel	0	21	2.07	1	3.24229942321807
hsa-miR-1249-3p	0	68	2.67	1	7.40094170617679
hsa-miR-1249-5p	0	66	4.9	2	8.69341999906561
hsa-miR-1250-3p	0	11	0.22	0	0.983473019512745
hsa-miR-1250-5p	0	525	27.69	10	62.0691268928887
hsa-miR-1251-3p	0	78	3.92	1	8.12919669966207
hsa-miR-1251-5p	0	27	1.13	0	3.05279503012078
hsa-miR-1252-3p	0	32	2.48	1	4.29825416889225
hsa-miR-1252-5p	0	25	1.96	1	3.86940408818103
hsa-miR-1253	0	764	13.94	4	53.4596673138072
hsa-miR-1253-3p:Novel	0	229	12.67	5	21.6075785328157
hsa-miR-1255a	0	289	4.65	2	19.8844551573321
hsa-miR-1255a-3p:Novel	0	200	7.28	2	16.6696224748108
hsa-miR-1255b-1-3p:Novel	0	9	0.4	0	0.918863213353449
hsa-miR-1255b-2-3p	0	5	0.1	0	0.497960915391321
hsa-miR-1255b-5p	0	2390	40.81	11	166.433070178956
hsa-miR-1256	0	66	3.39	2	6.45523685677113
hsa-miR-1256-3p:Novel	0	110	5.06	3	9.58318271003581
hsa-miR-1257	0	315	22.32	8	44.6962380952447
hsa-miR-1257-3p:Novel	0	235	22.5	10	34.7323664592254
hsa-miR-1258	0	116	7.54	3	13.7965419071422
hsa-miR-1258-5p:Novel	0	28	1.14	0	2.95973421763526
hsa-miR-125a-3p	0	57	2.19	1	4.5579085244129
hsa-miR-125a-5p	0	38	1.58	0	3.90656941494128
hsa-miR-125b-1-3p	0	251	4.84	1	18.2083017461517
hsa-miR-125b-2-3p	0	40	3.79	2	5.89683959271248
hsa-miR-125b-5p	0	294	20.3	9	33.5760183529211
hsa-miR-126-3p	0	370	5.59	1	31.2146535337904
hsa-miR-126-5p	0	217	5.48	1	18.0807769766164
hsa-miR-1260a	0	147	3.82	1	12.0637290168471
hsa-miR-1260a-3p:Novel	0	303	27.48	14	39.208226187115
hsa-miR-1260b	0	643	68.18	31	103.609229992258
hsa-miR-1260b-3p:Novel	0	103	8.89	4	13.5103885176732
hsa-miR-1261	0	74	5.06	2	10.9091615006394
hsa-miR-1261-3p:Novel	0	58	7.61	4	10.344429164544
hsa-miR-1262	0	27	1.55	0	3.43516450657218
hsa-miR-1262-3p:Novel	0	406	15.38	7	32.3254439623683
hsa-miR-1263	0	39	4.18	2	6.05712227098914
hsa-miR-1263-3p:Novel	0	32	2.36	1	3.95744250638681
hsa-miR-1264	0	14	0.68	0	1.64591690995351
hsa-miR-1264-5p:Novel	0	8	0.7	0	1.35342789109209
hsa-miR-1265	0	89	1.15	0	6.04738393433986
hsa-miR-1265-3p:Novel	0	320	12.54	6	25.8124819373873
hsa-miR-1266-3p	0	27	1.19	0	2.84944866651826
hsa-miR-1266-5p	0	55	1.36	1	4.00430340508217
hsa-miR-1267	0	185	11.39	4	19.9951757168105
hsa-miR-1267-3p:Novel	0	1033	63.14	25	117.984467219028
hsa-miR-1268a	0	66	2.27	1	4.90180324000259
hsa-miR-1268a-3p:Novel	0	230	11.09	6	19.0899760770222
hsa-miR-1268b	0	6	0.51	0	0.98747146612129
hsa-miR-1268b-3p:Novel	0	582	11.62	4	40.583832153857
hsa-miR-1269a	0	134	11.66	5	19.7901198996256
hsa-miR-1269a-5p:Novel	0	133	5.4	2	12.6726145910865
hsa-miR-1269b	0	8	0.5	0	1.00483513624304
hsa-miR-1269b-3p:Novel	0	76	6.15	2	10.9648809738122
hsa-miR-127-3p	0	118	4.47	2	9.98966463088828
hsa-miR-127-5p	0	67	4.45	2	9.05247556730753
hsa-miR-1270	0	55	5.06	1	9.45184589664523
hsa-miR-1270-3p:Novel	0	394	17.93	4	48.7090633288856
hsa-miR-1271-3p	0	326	4.66	1	24.6975264178176
hsa-miR-1271-5p	0	2	0.09	0	0.315595333275196
hsa-miR-1272	0	716	81.01	45	100.550273953514
hsa-miR-1272-3p:Novel	0	992	29	12	74.7069849625209
hsa-miR-1273c	0	247	17.06	8	29.0737141915021
hsa-miR-1273c-3p:Novel	0	48	3.64	2	5.65608895896067
hsa-miR-1273h-3p	0	29	1.02	0	3.03350024287884
hsa-miR-1273h-5p	0	75	6.79	4	10.1129974380587
hsa-miR-1275	0	6	0.52	0	1.07101340117227
hsa-miR-1275-3p:Novel	0	263	24.2	13	33.0256900599618
hsa-miR-1276	0	23	1.66	1	2.88890161703511
hsa-miR-1276-3p:Novel	0	379	16.07	4	43.7886656556164
hsa-miR-1277-3p	0	20	0.72	0	1.93125910446469
hsa-miR-1277-5p	0	5	0.15	0	0.507455150347037
hsa-miR-1278	0	111	3.09	0	10.7735153283053
hsa-miR-1278-5p:Novel	0	6	0.43	0	0.87858022484255
hsa-miR-1279	0	9	0.7	0	1.27470408513577
hsa-miR-1279-3p:Novel	0	18	0.89	0	1.92568572265619
hsa-miR-128-1-5p	0	502	13.5	6	35.677570040515
hsa-miR-128-2-5p	0	297	13.29	5	30.5310563977965
hsa-miR-128-3p	0	515	29.29	17	49.5330668857709
hsa-miR-1281	0	4115	98.54	7	388.412085312586
hsa-miR-1281-5p:Novel	0	24744	572.88	7	2356.60929883934
hsa-miR-1282	0	96	14.32	9	17.9362493982011
hsa-miR-1282-3p:Novel	0	186	15.69	8	26.5658038517634
hsa-miR-1283	0	792	20.44	4	70.3447590026131
hsa-miR-1283-1-3p:Novel	0	72	1.99	0	6.3537875049325
hsa-miR-1283-2-3p:Novel	0	55	1.72	1	4.5300086362813
hsa-miR-1284	0	591	35.43	16	64.6190834310271
hsa-miR-1284-3p:Novel	0	15	1.21	0	2.1668250910687
hsa-miR-1285-2:Novel	0	84	7.32	3	12.3146356661877
hsa-miR-1285-3p	0	315	32.36	19	39.5489652539293
hsa-miR-1285-5p	0	739	22.17	8	59.9213253245601
hsa-miR-1286	0	891	35.37	5	102.099818362107
hsa-miR-1286-5p:Novel	0	154	5.99	1	16.3862303990979
hsa-miR-1287-3p	0	18	0.67	0	2.14946706708612
hsa-miR-1287-5p	0	818	60.37	30	99.1730518508345
hsa-miR-1288-3p	0	210	18.49	8	29.0389321886158
hsa-miR-1288-5p	0	891	60.85	26	106.139744873276
hsa-miR-1289	0	125	10.12	5	15.8044884717345
hsa-miR-1289-1-5p:Novel	0	48	6.81	4	8.66033093779041
hsa-miR-1289-2-5p:Novel	0	57	4.82	2	7.65597275980784
hsa-miR-129-3p	0	26	1.52	1	2.90525491855343
hsa-miR-129-5p	0	55	7.16	4	8.99132785615349
hsa-miR-1290	0	37	2.3	1	4.00676503553954
hsa-miR-1290-5p:Novel	0	1807	87.52	34	179.672068619803
hsa-miR-1291	0	802	7.2	1	53.119478184159
hsa-miR-1291-3p:Novel	0	641	37.12	16	67.5605689696493
hsa-miR-1292-3p	0	6	0.27	0	0.654895839055219
hsa-miR-1292-5p	0	524	18.3	4	43.3497884498908
hsa-miR-1293	0	460	34.57	16	61.3219042713616
hsa-miR-1293-3p:Novel	0	447	6.44	2	29.7874270377765
hsa-miR-1294	0	875	28.85	10	70.8038129236182
hsa-miR-1294-3p:Novel	0	509	18.71	4	47.9954080914922
hsa-miR-1295a	0	93	6.51	3	10.5185059298927
hsa-miR-1295a-5p:Novel	0	68	3.28	1	6.43229558716367
hsa-miR-1295b-3p	0	99	7.46	4	12.1001322771596
hsa-miR-1295b-5p	0	41	1.15	0	3.86130149724506
hsa-miR-1296-3p	0	90	4.85	2	10.640366731154
hsa-miR-1296-5p	0	127	1.67	0	11.4774053988674
hsa-miR-1297	0	26	1.39	0	3.50827791252335
hsa-miR-1297-5p:Novel	0	43	1.67	0	4.31394773204066
hsa-miR-1298-3p	0	289	5.18	1	21.4795842508316
hsa-miR-1298-5p	0	73	1.64	0	5.52167885685628
hsa-miR-1299	0	23	1.74	1	2.91475884946089
hsa-miR-1299-5p:Novel	0	105	4.99	2	9.93577682379192
hsa-miR-1301-3p	0	40	4.3	2	5.62574382959526
hsa-miR-1301-5p	0	39	3.21	1	5.99644707592828
hsa-miR-1302	0	1973	168.64	96	237.07428262096
hsa-miR-1302-3-5p:Novel	0	17	0.86	0	2.02817033675751
hsa-miR-1302-4-5p:Novel	0	483	16.39	2	52.5030063199793
hsa-miR-1302-5-5p:Novel	0	86	1.52	0	6.4018442335045
hsa-miR-1302-6-5p:Novel	0	12	0.4	0	1.22804833304822
hsa-miR-1302-7-5p:Novel	0	9	0.4	0	1.18153871827599
hsa-miR-1302-8-5p:Novel	0	149	4.43	1	12.1213723482107
hsa-miR-1302:Novel	0	97	4.44	1	10.5869690175769
hsa-miR-1303	0	260	7.82	2	24.9910143685932
hsa-miR-1303-5p:Novel	0	49	4.67	3	6.47115959217258
hsa-miR-1304-3p	0	57	3.58	1	7.86659667198241
hsa-miR-1304-5p	0	66	3.13	1	6.40072582646064
hsa-miR-1305	0	54	1.73	0	4.7034564513671
hsa-miR-1305-5p:Novel	0	152	7.02	1	21.1704832061781
hsa-miR-1306-3p	0	803	76.69	26	125.957774654859
hsa-miR-1306-5p	0	96	5.95	3	9.92067285465074
hsa-miR-1307-3p	0	277	21.27	11	32.3623055038199
hsa-miR-1307-5p	0	69	2.15	1	5.87797704809143
hsa-miR-130a-3p	0	17	0.92	0	1.99509165351735
hsa-miR-130a-5p	0	55	1.97	1	5.07478116547506
hsa-miR-130b-3p	0	143	7.67	4	13.0552355087807
hsa-miR-130b-5p	0	146	1.59	0	10.6844324296863
hsa-miR-132-3p	0	51	1.41	0	4.09080463373994
hsa-miR-132-5p	0	39	1.7	0	4.07397465606968
hsa-miR-1321	0	14	0.63	0	1.70730871944406
hsa-miR-1321-5p:Novel	0	149	2.48	0	12.0330221237073
hsa-miR-1322	0	51	1.41	0	4.21627905002444
hsa-miR-1322-5p:Novel	0	140	3.63	1	12.0823784322761
hsa-miR-1323	0	15	0.98	0	1.84055291832057
hsa-miR-1323-3p:Novel	0	51	2.22	1	4.54118834600621
hsa-miR-1324	0	6418	69.17	15	434.492591858313
hsa-miR-1324-5p:Novel	0	417	10.69	1	44.3041871159391
hsa-miR-133a-3p	0	66	2.87	1	6.38724332653898
hsa-miR-133a-5p	0	150	14	6	22.441590440534
hsa-miR-133b	0	267	19.46	8	34.6518360409564
hsa-miR-133b-5p:Novel	0	136	12.36	7	18.0191458780306
hsa-miR-134-3p	0	13	0.48	0	1.24947820987455
hsa-miR-134-5p	0	294	17.36	5	35.6625704137906
hsa-miR-1343-3p	0	11	0.34	0	0.97938269800069
hsa-miR-1343-5p	0	75	4.06	2	6.89023380506148
hsa-miR-135a-2-3p	0	48	2.46	1	4.6469956526266
hsa-miR-135a-3p	0	28	1.45	0	3.27324736166724
hsa-miR-135a-5p	0	235	5.91	2	17.0571962196035
hsa-miR-135b-3p	0	23	1.3	1	2.47797759202417
hsa-miR-135b-5p	0	9	0.83	0	1.37476032864838
hsa-miR-136-3p	0	17	0.27	0	1.24215758002102
hsa-miR-136-5p	0	83	2.64	1	6.90746518842391
hsa-miR-137-3p	0	1011	61.89	25	107.322996169888
hsa-miR-137-5p	0	338	11.51	3	35.1797247136882
hsa-miR-138-1-3p	0	7	0.46	0	0.960115521390359
hsa-miR-138-2-3p	0	18	0.6	0	1.93657764833028
hsa-miR-138-5p	0	95	9.1	5	12.3209118584914
hsa-miR-139-3p	0	617	8.71	1	56.932723981361
hsa-miR-139-5p	0	467	7.15	0	42.4855828735928
hsa-miR-140-3p	0	200	3.93	1	15.4608656814153
hsa-miR-140-5p	0	9	0.53	0	1.0907301091846
hsa-miR-141-3p	0	128	11.58	5	19.3166597319424
hsa-miR-141-5p	0	62	2.45	1	5.43364455207071
hsa-miR-142-3p	0	53	2.58	1	5.82538130405005
hsa-miR-142-5p	0	109	4.54	1	13.9922796848809
hsa-miR-143-3p	0	2184	54.33	23	154.448679592263
hsa-miR-143-5p	0	14	1.11	0	2.06397423442565
hsa-miR-144-3p	0	605	7.27	1	41.5679492614369
hsa-miR-144-5p	0	144	2.76	0	10.9978555499806
hsa-miR-145-3p	0	88	3.97	1	9.57273550551032
hsa-miR-145-5p	0	13	0.38	0	1.27137634462768
hsa-miR-1468-3p	0	18	0.3	0	1.334820159117
hsa-miR-1468-5p	0	8	0.61	0	1.24857473873228
hsa-miR-1469	0	57	1.81	0	5.47656016696562
hsa-miR-1469-3p:Novel	0	495	31.44	13	52.8039423411949
hsa-miR-146a-3p	0	16	1.07	0	2.20086156391118
hsa-miR-146a-5p	0	507	9.25	4	35.8679067378846
hsa-miR-146b-3p	0	488	19.06	2	56.5150374663191
hsa-miR-146b-5p	0	284	9.77	4	25.5483773867317
hsa-miR-1470	0	55	3.97	2	7.01099054744874
hsa-miR-1470-3p:Novel	0	63	6.69	3	9.68248702452117
hsa-miR-1471	0	16	0.67	0	1.77045958920907
hsa-miR-1471-3p:Novel	0	553	19.45	5	60.2721477687275
hsa-miR-147a	0	167	3.64	1	11.8219534634081
hsa-miR-147a-5p:Novel	0	149	13.17	6	20.5928441127438
hsa-miR-147b-3p	0	13	1.54	1	2.19515523974161
hsa-miR-147b-5p	0	131	2.23	0	9.41465406238593
hsa-miR-148a-3p	0	2234	63.52	17	198.04410123814
hsa-miR-148a-5p	0	207	7.73	2	20.9339583619043
hsa-miR-148b-3p	0	49	2.48	1	6.25126300691224
hsa-miR-148b-5p	0	33	3.28	1	5.50286160706489
hsa-miR-149-3p	0	614	52.29	23	79.6358672686573
hsa-miR-149-5p	0	41	1.27	0	3.55132664941498
hsa-miR-150-3p	0	77	8.73	5	10.2879872503547
hsa-miR-150-5p	0	42	6.92	4	8.04498415264315
hsa-miR-151a-3p	0	2190	162.8	93	242.479246520893
hsa-miR-151a-5p	0	14	0.49	0	1.28022146411787
hsa-miR-151b	0	215	11.39	4	25.5571923903432
hsa-miR-151b-5p:Novel	0	27	1.6	1	2.95795233542519
hsa-miR-152-3p	0	1009	26.62	5	84.0138793000958
hsa-miR-152-5p	0	225	7.82	3	17.9060991111444
hsa-miR-153-1-5p:Novel	0	32	1.94	1	3.89643663366109
hsa-miR-153-2-5p	0	68	5.72	2	9.52114360366869
hsa-miR-153-3p	0	890	26.93	9	76.1207327462477
hsa-miR-1537-3p	0	13	0.25	0	1.03403312708913
hsa-miR-1537-5p	0	3	0.12	0	0.414558576177998
hsa-miR-1538	0	590	20.7	7	52.1297521824317
hsa-miR-1538-5p:Novel	0	66	3.89	2	6.90423992434782
hsa-miR-1539	0	90	4.26	1	10.3705131641805
