ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Average_inactive	Average_active	Median_inactive	Median_active
hsa-miR-3689e-3p:Novel	1.17079166620119	-0.237310213784414	0.304791234188074	-0.7785992087882	0.436215845306562	NA	active_vs_inactive	NA	1.6085356632195	0.96172189763454	0	0
hsa-miR-3689f	0.35145827442031	-0.0578175595565876	0.441948825394649	-0.130824105041931	0.895914453809767	NA	active_vs_inactive	NA	0.335416861162895	0.371419030212608	0	0
hsa-miR-3689f-3p:Novel	3.63462657383184	-0.401325152300018	0.227698450026929	-1.76252913558505	0.0779799381944749	NA	active_vs_inactive	NA	5.01336886615535	2.57300189516317	2.02873781006554	1.49894073640282
hsa-miR-369-3p	1.06393521995254	-0.0643148804556264	0.304287943256775	-0.211361908616123	0.832604877800207	NA	active_vs_inactive	NA	1.36573089799862	1.00236603591851	0.262839676323892	0
hsa-miR-369-5p	1.02804395939259	0.371762478686529	0.231460441622819	1.60615989531525	0.108238782551895	NA	active_vs_inactive	NA	0.94667309872447	1.24778798627821	0.332465306610674	0.691636172553995
hsa-miR-3690	0.736900436591376	0.103287296991434	0.307287585612264	0.336125837253192	0.736775975466024	NA	active_vs_inactive	NA	0.630617661126584	0.780077817830697	0	0
hsa-miR-3690-3p:Novel	1.70405367694908	-0.236194823996657	0.228414315983028	-1.0340631364551	0.301106648300268	NA	active_vs_inactive	NA	2.01931174326862	1.58408999782574	1.19577351180431	0.946163801018295
hsa-miR-3691-3p	2.67319962417121	-0.365425405077554	0.222397762501356	-1.64311637386787	0.100358857716792	NA	active_vs_inactive	NA	3.18790262792513	2.44211398848613	1.70734667506748	1.39607936977038
hsa-miR-3691-5p	3.32950609048951	-0.103142180630976	0.245191470548209	-0.420659741549599	0.674003562575205	NA	active_vs_inactive	NA	4.05620597043127	2.98600799433701	1.91157320584743	1.74723745831458
hsa-miR-3692-3p	0.651553650706323	0.152012481105402	0.351501352097553	0.432466277009408	0.665402556978082	NA	active_vs_inactive	NA	0.696353301002356	0.68416715983923	0	0
hsa-miR-3692-5p	2.9868240489152	0.0869599978696336	0.217681867627797	0.399482046057792	0.689538050226215	NA	active_vs_inactive	NA	3.2906002181974	2.83956973553257	1.92584672186059	1.73293576963026
hsa-miR-370-3p	2.02312103469722	-0.213475625889811	0.234790741741434	-0.909216540253975	0.363235834996588	NA	active_vs_inactive	NA	2.54170778092323	1.73440765480908	1.29540970800249	1.05110197384487
hsa-miR-370-5p	1.29558717458727	-0.0799201692980868	0.252452750364176	-0.316574761743724	0.751566288711727	NA	active_vs_inactive	NA	1.33111279374007	1.32918937054249	0.666373876280869	0.699354391422023
hsa-miR-3713	0.357526732557405	-0.325354336253381	0.405929044155739	-0.801505437803942	0.422839097287479	NA	active_vs_inactive	NA	0.489664951579167	0.258496302970206	0	0
hsa-miR-3713-3p:Novel	0.945826205737031	-0.12891732814459	0.289030112815427	-0.446034244974731	0.655572509353114	NA	active_vs_inactive	NA	1.04489410498829	0.811860376705833	0.287439729394562	0
