miRNA...1	baseMean...2	log2FoldChange...3	pvalue...6	padj...7	comparison...8	size...9	sig...10	miRNA...11	baseMean...12	log2FoldChange...13	pvalue...16	padj...17	comparison...18	size...19	sig...20	miRNA...21	baseMean...22	log2FoldChange...23	pvalue...26	padj...27	comparison...28	size...29	sig...30
hsa-miR-10523-5p	2.03916687663587	-1.28403730003448	0.00038114999812645	0.0364858597195673	4060_40	101_87	FALSE	hsa-miR-4273	2.96368583017526	-1.36258216291795	0.000923690118094593	0.0703658995944323	60_40	44_87	FALSE	hsa-miR-3613-3p	1.4235172853244	-1.47675310954508	0.0022295308481805	0.188188918629754	60_4060	44_101	FALSE
hsa-miR-1231	21.5733284513886	-0.744847243769773	0.000384201137206772	0.0364858597195673	4060_40	101_87	TRUE	hsa-miR-4500	4.77203811347267	1.40324236710403	0.000881883177993142	0.0703658995944323	60_40	44_87	FALSE	hsa-miR-876-3p	2.91611133762499	-1.18111959803327	0.00236793904694782	0.192733324571217	60_4060	44_101	FALSE
hsa-miR-7113-5p	387.620180682699	-0.918230240415807	0.000379232101265864	0.0364858597195673	4060_40	101_87	TRUE	hsa-miR-6127-3p:Novel	42.0841528461571	-1.1385654601556	0.00101501834836946	0.0703658995944323	60_40	44_87	FALSE	hsa-miR-12126-5p:Novel	123.211840764641	-1.16001066493921	0.00271116297709309	0.201283329600665	60_4060	44_101	FALSE
hsa-miR-920	7.92942784321655	-0.801308753293774	0.000408676917046652	0.0375165409848826	4060_40	101_87	FALSE	hsa-miR-6726-5p	3.67404186569498	-1.12655016507124	0.00105784672257048	0.0703658995944323	60_40	44_87	FALSE	hsa-miR-5008-5p	1.36878866465449	-1.36799694048169	0.00271098947534462	0.201283329600665	60_4060	44_101	FALSE
hsa-miR-4294-3p:Novel	9.21669305020007	-1.04209251091204	0.000492612694466725	0.0427426245700329	4060_40	101_87	FALSE	hsa-miR-8061-3p:Novel	8.44930483524453	-1.56973393002384	0.000854047627409134	0.0703658995944323	60_40	44_87	FALSE	hsa-miR-6791-5p	11.6338074369216	0.966342016157261	0.00273794787960536	0.201283329600665	60_4060	44_101	FALSE
hsa-miR-652-3p	1.89035179437486	-1.35337738694337	0.000496646327611131	0.0427426245700329	4060_40	101_87	FALSE	hsa-miR-9898	11.4102099454453	-0.955155869557587	0.0010856840824599	0.0703658995944323	60_40	44_87	FALSE	hsa-miR-3934-5p	7.56773720728655	-0.985440381209245	0.00298233779953104	0.212398370160352	60_4060	44_101	FALSE
hsa-miR-3180-4-3p:Novel, hsa-miR-3180-5-3p:Novel	24.8846706576665	-0.721860043767894	0.000534584359236663	0.0446134947072052	4060_40	101_87	TRUE	hsa-miR-7113-5p	387.620180682699	-1.1740085781694	0.00125077521336518	0.078609327046042	60_40	44_87	FALSE	hsa-miR-1281	63.3966099236399	-1.43548243856338	0.00362771489265567	0.250532189101887	60_4060	44_101	FALSE
hsa-miR-675-5p	6.1161610828703	-0.958388975969932	0.00055825192867282	0.0452184062224985	4060_40	101_87	FALSE	hsa-miR-4300-5p:Novel	9.46462140753504	-1.19833527273074	0.00140980381286135	0.0859980325845423	60_40	44_87	FALSE	hsa-miR-3180-4-3p:Novel, hsa-miR-3180-5-3p:Novel	24.8846706576665	0.747801196658608	0.0038207739995164	0.254246494669955	60_4060	44_101	FALSE
hsa-miR-6784-5p	18.4560433875162	-0.92337014285226	0.000605336744698111	0.0476313541399599	4060_40	101_87	TRUE	hsa-miR-6858-5p	7.00816261395465	-1.26423402054419	0.00145461122946914	0.0861961054262571	60_40	44_87	FALSE	hsa-miR-4463	6.33174466965518	1.03643621628727	0.0039046192687356	0.254246494669955	60_4060	44_101	FALSE
hsa-miR-4300-5p:Novel	9.46462140753504	-0.896455038641201	0.000649376407251515	0.0496772951547409	4060_40	101_87	FALSE	hsa-miR-193b-5p	5.23191036699048	-1.5353003196107	0.00165076512281315	0.0895137853533778	60_40	44_87	FALSE	hsa-miR-1208	2.95263873887162	-1.01194163762924	0.00436462691280526	0.255050890622646	60_4060	44_101	FALSE
hsa-miR-105-3p	7.82155258666681	-1.00719255104817	0.000705036192397938	0.0524775587530789	4060_40	101_87	FALSE	hsa-miR-3159-3p:Novel	7.37145113659432	-1.0637810813964	0.00161581744071487	0.0895137853533778	60_40	44_87	FALSE	hsa-miR-3649-5p:Novel	2.78422164997669	1.02665883318579	0.00405382710763968	0.255050890622646	60_4060	44_101	FALSE
hsa-miR-7843-5p	12.4898051114856	-0.954516469247651	0.000839547037848579	0.0608450669009207	4060_40	101_87	FALSE	hsa-miR-3929	10.0927551907932	-0.945043267688718	0.0017695589197148	0.0895137853533778	60_40	44_87	FALSE	hsa-miR-3666-3p:Novel	6.95668565131906	0.769999172391754	0.00423626780917032	0.255050890622646	60_4060	44_101	FALSE
hsa-miR-3159-3p:Novel	7.37145113659432	-0.788340610866823	0.000899968950018882	0.0635516535474872	4060_40	101_87	FALSE	hsa-miR-4256	2.13408761778091	-1.76135036575763	0.0016427619163167	0.0895137853533778	60_40	44_87	FALSE	hsa-miR-4654	27.3818947491139	0.837649669696233	0.00433156388543341	0.255050890622646	60_4060	44_101	FALSE
