miRNA...1	baseMean...2	log2FoldChange...3	pvalue...6	padj...7	comparison...8	size...9	sig...10	miRNA...11	baseMean...12	log2FoldChange...13	pvalue...16	padj...17	comparison...18	size...19	sig...20	miRNA...21	baseMean...22	log2FoldChange...23	pvalue...26	padj...27	comparison...28	size...29	sig...30
hsa-miR-1298-3p	5.14863130132913	2.11975410715577	0.00433378619042627	0.481852604681988	Light_Abst	144_19	FALSE	hsa-miR-4478-3p:Novel	4.60400536851292	-1.17763708827342	0.00204666142592094	0.167750434650483	Heavy_Abst	69_19	FALSE	hsa-miR-1267-3p:Novel	45.7912230548283	0.68405615530635	0.00124861699705405	0.0814090862360587	Heavy_Light	69_144	FALSE
hsa-miR-1471-3p:Novel	10.636277602524	-1.24240889179952	0.00439421013104122	0.481852604681988	Light_Abst	144_19	FALSE	hsa-miR-3605-5p	13.8744182219726	-1.47818036170556	0.00212710846164803	0.168117536629539	Heavy_Abst	69_19	FALSE	hsa-miR-6088-3p:Novel	9.82279751208218	0.843239352150009	0.00126355566220047	0.0814090862360587	Heavy_Light	69_144	FALSE
hsa-miR-2113	6.42185562187651	-1.69276649980211	0.00429060164397213	0.481852604681988	Light_Abst	144_19	FALSE	hsa-miR-3934-5p	7.71508080320668	1.40568712232781	0.00250221166135689	0.190944634709752	Heavy_Abst	69_19	FALSE	hsa-miR-1208-3p:Novel	8.62917422176665	0.65812154343794	0.00140851254261042	0.0846985542289732	Heavy_Light	69_144	FALSE
hsa-miR-3916-3p:Novel	59.3821980746792	-0.852904011518099	0.00372336138999036	0.481852604681988	Light_Abst	144_19	FALSE	hsa-miR-1200	4.64863647887104	-1.4702745341238	0.00368993662432217	0.206496433347881	Heavy_Abst	69_19	FALSE	hsa-miR-4741	19.6250539724516	0.739008745085066	0.00139196083382174	0.0846985542289732	Heavy_Light	69_144	FALSE
hsa-miR-5691-3p:Novel	26.3354233450247	1.52507103575613	0.00377594282956958	0.481852604681988	Light_Abst	144_19	FALSE	hsa-miR-12120	2.46609183316176	-1.35480301872053	0.0035126080526837	0.206496433347881	Heavy_Abst	69_19	FALSE	hsa-miR-4421	14.2002047572443	-1.01437728996319	0.00153541679569663	0.0893513515947329	Heavy_Light	69_144	FALSE
hsa-miR-6876-5p	2.26784780034423	-1.27396736774613	0.00407642560985629	0.481852604681988	Light_Abst	144_19	FALSE	hsa-miR-3176	4.73922667876514	-0.958144329624259	0.00361414771101575	0.206496433347881	Heavy_Abst	69_19	FALSE	hsa-miR-4300	6.32373677776036	-0.799081755822526	0.00165943540057512	0.0907158018981065	Heavy_Light	69_144	FALSE
hsa-miR-1273h-5p	6.39586293827557	-1.12995969068957	0.00460152291988664	0.48929527048128	Light_Abst	144_19	FALSE	hsa-miR-4263	22.1048330904863	-1.27646146671502	0.00311943594599828	0.206496433347881	Heavy_Abst	69_19	FALSE	hsa-miR-4494	32.0748190121079	-0.607972954043947	0.00164900726355628	0.0907158018981065	Heavy_Light	69_144	FALSE
hsa-miR-223-3p	13.6008726100044	1.44226340375898	0.00493973014967328	0.509809208682457	Light_Abst	144_19	FALSE	hsa-miR-4306	5.7604593507244	-1.30569421021611	0.00382573599966703	0.206496433347881	Heavy_Abst	69_19	FALSE	hsa-miR-1343-5p	2.99447837731157	0.760063035045742	0.00198343370165321	0.0979130171736741	Heavy_Light	69_144	FALSE
hsa-miR-5704-3p:Novel	7.78143245393808	2.14024104071285	0.00521696167365942	0.523037671796311	Light_Abst	144_19	FALSE	hsa-miR-4737	15.5913488116203	-1.29960176015371	0.00345926690054503	0.206496433347881	Heavy_Abst	69_19	FALSE	hsa-miR-5192	3.43406559679144	-0.918179210123662	0.00200605184841215	0.0979130171736741	Heavy_Light	69_144	FALSE
hsa-miR-3171	5.92646376874714	1.83499342573651	0.00575537498903013	0.531463443065967	Light_Abst	144_19	FALSE	hsa-miR-484	1.57651026905976	-1.72740666690521	0.00308059327099875	0.206496433347881	Heavy_Abst	69_19	FALSE	hsa-miR-5691-3p:Novel	26.3354233450247	-0.949775401819154	0.00185289326070692	0.0979130171736741	Heavy_Light	69_144	FALSE
