ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	abstemious.x	all.x	nowine.x	abstemious.y	all.y	nowine.y
hsa-miR-6737-5p	4.00061615015077	-0.137180636507304	0.544627439815441	-0.251879774096198	0.801133993594729	0.999770134585052	nowine_vs_abstemious	FALSE	4.631	4.091	3.056	1.468	2.046	2.012
hsa-miR-6738-3p	0.614256845930928	0.66437927589655	0.955935847992656	0.695004039540585	0.487052770025	0.999770134585052	nowine_vs_abstemious	FALSE	1.123	0.427	1.218	0	0	0
hsa-miR-6738-5p	66.0497792305769	0.037268398911288	0.488654635860197	0.0762673597594813	0.939206393324597	0.999770134585052	nowine_vs_abstemious	FALSE	74.625	63.807	66.509	57.511	32.517	36.448
hsa-miR-6739-3p	0.094444563626947	0.0743884927281481	2.210021183558	0.033659628822375	0.973148572249076	0.999770134585052	nowine_vs_abstemious	FALSE	0.102	0.097	0.063	0	0	0
hsa-miR-6739-5p	2.18727472417221	0.50150370654635	0.550365679203792	0.911219077599223	0.362179954051056	0.999770134585052	nowine_vs_abstemious	FALSE	2.128	2.167	2.059	1.577	1.047	0.806
hsa-miR-6740-3p	29.369014384099	-2.61554382516733	1.6660535709821	-1.56990379584585	0.116437494388217	0.905432797204643	nowine_vs_abstemious	FALSE	13.221	33.944	13.254	0	0	0
hsa-miR-6740-5p	3.15804354979275	0.253448502594873	0.536432375584352	0.472470555713167	0.636590953603427	0.999770134585052	nowine_vs_abstemious	FALSE	4.076	3.261	1.742	2.373	1.132	1.007
hsa-miR-6741-3p	1.89678205078129	0.711676388363596	0.845073718969985	0.842147107865359	0.399705615610111	0.999770134585052	nowine_vs_abstemious	FALSE	0.932	1.73	3.344	0.663	0	1.289
hsa-miR-6741-5p	16.746354595404	-1.28063698257041	0.57219444518037	-2.23811502078934	0.0252135553678462	0.701729315357907	nowine_vs_abstemious	FALSE	30.131	15.802	12.116	10.779	5.921	6.401
hsa-miR-6742-3p	0.209093798905486	0.368227460645382	1.46448155892906	0.251438782824045	0.801474886213853	0.999770134585052	nowine_vs_abstemious	FALSE	0.094	0.238	0.13	0	0	0
hsa-miR-6742-5p	1.45293119954312	-0.168623618172962	0.550164471088338	-0.306496742400305	0.759226459758515	0.999770134585052	nowine_vs_abstemious	FALSE	2.975	1.345	0.984	1.332	0.619	0.132
hsa-miR-6743-3p	18.7187017634988	0.201410681328177	0.433743505807704	0.464354344517772	0.642393894480897	0.999770134585052	nowine_vs_abstemious	FALSE	17.014	19.213	14.871	7.96	8.933	9.853
hsa-miR-6743-5p	3.6478885528237	0.206643646587393	0.670448923895672	0.308216836842217	0.757917341749285	0.999770134585052	nowine_vs_abstemious	FALSE	2.752	3.978	2.002	1.577	1.027	1.769
hsa-miR-6744-3p	0.79551574120644	1.15510150554936	0.734395436341569	1.57286040787993	0.11575114443319	0.905432797204643	nowine_vs_abstemious	FALSE	0.323	0.831	1.138	0	0	0.208
hsa-miR-6744-5p	0.994101922848743	0.146464595308114	0.954665819225423	0.15341975417843	0.878067267716352	0.999770134585052	nowine_vs_abstemious	FALSE	1.402	0.99	0.7	0	0	0
hsa-miR-6745	4.19381162641686	0.41713853868441	0.507750406358493	0.82154250092297	0.411337325708979	0.999770134585052	nowine_vs_abstemious	FALSE	3.837	3.771	5.931	3.155	2.402	2.777
hsa-miR-6745-5p:Novel	28.6709222483466	-0.793776104910738	0.44901011995179	-1.76783566703567	0.0770883803095963	0.883331991672042	nowine_vs_abstemious	FALSE	30.241	29.017	23.043	15.913	16.173	13.096
hsa-miR-6746-3p	0.194515926236539	1.07136875905838	1.10933755221694	0.965773453641159	0.334157554760119	0.999770134585052	nowine_vs_abstemious	FALSE	0.034	0.159	0.429	0	0	0
hsa-miR-6746-5p	29.1817997623411	0.485093825309618	0.461609389700046	1.05087512544932	0.293315946179877	0.999770134585052	nowine_vs_abstemious	FALSE	37.816	29.718	19.807	5.032	4.179	3.063
hsa-miR-6747-3p	1.62068298687328	0.113232163816009	0.626452924006915	0.180751273522284	0.856562811110914	0.999770134585052	nowine_vs_abstemious	FALSE	1.861	1.477	1.981	1.046	0.69	0.342
hsa-miR-6747-5p	5.02825734251784	-0.843807799307832	0.493902930406896	-1.70844865936039	0.0875531249966522	0.883765666652442	nowine_vs_abstemious	FALSE	11.758	4.671	2.582	3.137	1.836	1.625
hsa-miR-6748-3p	7.12659878410311	0.786403841644733	0.604011792975454	1.30196769465508	0.192927429306678	0.947469875281524	nowine_vs_abstemious	FALSE	3.574	6.109	14.096	1.582	2.158	7.704
hsa-miR-6748-5p	2.09218931846638	0.35833095099931	0.514458745296688	0.696520283259372	0.486103059314488	0.999770134585052	nowine_vs_abstemious	FALSE	2.549	2.137	1.757	2.383	1.16	0.909
hsa-miR-6749-3p	0.448013547547926	0.0662599004211109	0.925978062127136	0.0715566633067959	0.942954729290152	0.999770134585052	nowine_vs_abstemious	FALSE	1.043	0.368	0.503	0	0	0
hsa-miR-6749-5p	11.3808086051647	-0.410157007874868	0.48669611438883	-0.842737379134254	0.399375337061425	0.999770134585052	nowine_vs_abstemious	FALSE	23.147	10.57	8.408	8.716	5.631	6.917
hsa-miR-675-3p	1.98695751849462	1.2924928547783	0.971731237175586	1.33009293653566	0.183487652516108	0.943036437756067	nowine_vs_abstemious	FALSE	1.486	2.159	1.139	0	0	0
hsa-miR-675-5p	6.23757871925712	-0.0428180226077707	0.536448822923713	-0.0798175348291513	0.936382378042061	0.999770134585052	nowine_vs_abstemious	FALSE	13.081	5.991	3.057	3.317	2.744	1.768
hsa-miR-6750-3p	0.27335144092147	-0.410014012838803	1.37004270943433	-0.299270971638607	0.764733301455851	0.999770134585052	nowine_vs_abstemious	FALSE	0.447	0.212	0.448	0	0	0
hsa-miR-6750-5p	6.27072015272151	-0.116443598332088	0.508686723726554	-0.228910236695469	0.818938684071673	0.999770134585052	nowine_vs_abstemious	FALSE	10.241	5.985	5.74	4.766	2.964	4.21
hsa-miR-6751-3p	0.596041370939756	0.103154709112624	0.723086614997357	0.142658855762391	0.886559612614432	0.999770134585052	nowine_vs_abstemious	FALSE	1.86	0.428	0.675	0	0	0
hsa-miR-6751-5p	2.52903702703496	-1.00545402173887	0.497824724787423	-2.01969482766894	0.0434150519507207	0.785948580044733	nowine_vs_abstemious	FALSE	5.786	2.095	2.6	3.144	1.308	1.462
hsa-miR-6752-3p	1.6927486021762	0.0589310667186883	0.760469306082434	0.0774930246984882	0.938231340073304	0.999770134585052	nowine_vs_abstemious	FALSE	1.812	1.637	1.841	0.912	0	0.52
hsa-miR-6752-5p	6.28786080058306	-0.402568369525565	0.393315390158741	-1.0235255970103	0.306059403658341	0.999770134585052	nowine_vs_abstemious	FALSE	10.995	5.764	5.598	4.732	4.204	4.698
hsa-miR-6753-3p	0.609176028326992	0.374921808264105	0.850075961001493	0.441045065928463	0.65918037180252	0.999770134585052	nowine_vs_abstemious	FALSE	0.44	0.675	0.325	0	0	0
hsa-miR-6753-5p	0.828361203714018	-0.176236693188148	0.674087188539706	-0.261444952795994	0.793749394801259	0.999770134585052	nowine_vs_abstemious	FALSE	1.61	0.705	0.915	0.449	0	0.118
hsa-miR-6754-3p	0.492761264740079	0.413254700175878	0.977105751024426	0.422937537459594	0.672340834465877	0.999770134585052	nowine_vs_abstemious	FALSE	0.156	0.484	0.648	0	0	0
hsa-miR-6754-5p	7.89467963748847	0.661703735690212	0.487265844667078	1.35799326575479	0.174465821015569	0.93469593169666	nowine_vs_abstemious	FALSE	7.119	7.49	9.269	3.019	4.088	4.513
hsa-miR-6755-3p	0.0973008596002169	-0.819280871460759	2.35939901604544	-0.34724133810734	0.728410017314898	0.999770134585052	nowine_vs_abstemious	FALSE	0.23	0.077	0.112	0	0	0
hsa-miR-6755-5p	0.911813980966847	-0.708374283372158	0.718631915861582	-0.985726166256997	0.324267505648156	0.999770134585052	nowine_vs_abstemious	FALSE	3.136	0.755	0.417	0.228	0	0
hsa-miR-6756-3p	0.361282135647623	0.320450482941495	0.949451792165114	0.337511062263356	0.735731674393968	0.999770134585052	nowine_vs_abstemious	FALSE	0.186	0.402	0.24	0	0	0
hsa-miR-6756-5p	30.8236259623497	-0.512600334336328	0.443345346800324	-1.1562100246136	0.24759526040951	0.989288716886341	nowine_vs_abstemious	FALSE	73.695	27.476	21.392	16.187	15.235	12.558
hsa-miR-6757-3p	0.145927677191298	0.67898838646527	2.0346884787626	0.333706311090038	0.738601186769526	0.999770134585052	nowine_vs_abstemious	FALSE	0.101	0.165	0.154	0	0	0
hsa-miR-6757-5p	54.3641632710807	-0.524897584033695	0.499372337740229	-1.05111465807052	0.293205932675057	0.999770134585052	nowine_vs_abstemious	FALSE	42.118	57.222	40.851	20.211	31.884	17.178
