miRNA baseMean log2FoldChange lfcSE stat pvalue padj comparison
hsa-miR-194-1-3p:Novel 157.231022357852 -0.934525166403731 0.26651659852423 -3.50644264401705 0.000454139299645529 0.0113185486988578 M_F
hsa-miR-4693-3p 189.070431029577 -0.714847871744041 0.207476373747428 -3.44544228739155 0.000570125696960425 0.0136830167270502 M_F
hsa-miR-22-3p 42.7239627643641 -1.00729115982653 0.293533454077102 -3.43160599187424 0.00060001860851132 0.0138861449398334 M_F
hsa-miR-3920 33.1548344059348 -0.670819012979484 0.19668731297178 -3.4105860863315 0.000648234168415873 0.0144846807287409 M_F
hsa-let-7b-5p 319.033725136674 -0.977419010817873 0.290003208731971 -3.37037309032408 0.000750664741745064 0.0162143584216934 M_F
hsa-miR-200b-3p 167.235143518842 -0.923204784370094 0.278130377056111 -3.31932381547753 0.00090235725671979 0.0182615865461041 M_F
hsa-miR-4326 45.1018873286661 -0.904731059748883 0.273258938928705 -3.31089282310699 0.000929988203736783 0.0182615865461041 M_F
hsa-miR-30d-5p 45.6476519081401 -0.894271455045995 0.277397474324515 -3.22379090589638 0.00126505733641112 0.0241105045292472 M_F
hsa-miR-4700-5p 183.56663075976 -0.853043680077667 0.269205766657485 -3.16874222521023 0.00153100115025713 0.0283453927247606 M_F
hsa-miR-146a-5p 19.7727067861518 -0.778462524092241 0.248181855066075 -3.13666171882302 0.00170883166342635 0.0299276464297372 M_F
hsa-miR-26b-5p 39.4860811351517 -1.11545197340426 0.355129878294229 -3.14096909773415 0.00168389798931388 0.0299276464297372 M_F
hsa-miR-4698 62.3178029379821 -0.748800852235195 0.239649770293292 -3.12456319619579 0.00178069266856549 0.03036549603238 M_F
hsa-miR-3141-3p:Novel 24.0856491745631 -0.475677916847396 0.15311063760231 -3.10675942766905 0.0018915025958195 0.0314280431305394 M_F
hsa-let-7i-5p 389.310207941621 -0.962622484465799 0.310940576315257 -3.09584067757633 0.00196255780939351 0.0317934365121749 M_F
hsa-miR-1281-5p:Novel 322.245891083263 -1.32373752099371 0.433757660163335 -3.05179053320982 0.00227480784356998 0.035097035300794 M_F
hsa-miR-6131-5p:Novel 104.914643858443 -0.734313957101083 0.244011800499103 -3.00933789103278 0.00261817757693017 0.037704316057258 M_F
hsa-miR-4800-3p 24.4473182193546 -0.803427895885606 0.267703529453535 -3.0011852945146 0.002689308631587 0.0378841737667038 M_F
hsa-miR-25-3p 34.4741646458865 -1.00343578897749 0.339074932459978 -2.9593334479125 0.00308305304826869 0.0416212161516273 M_F
hsa-miR-4675 36.7739397025859 0.591175342144288 0.201230009638273 2.93780904352673 0.00330540547468354 0.0428380549518987 M_F
hsa-miR-8072-3p:Novel 23.83188046433 -0.463293893420239 0.159970282448424 -2.89612474472945 0.00377802186248433 0.0465675997400177 M_F
hsa-miR-9901 20.9211710753965 -0.505131619635238 0.174924923493097 -2.88770524833285 0.00388063331166814 0.0465675997400177 M_F
