ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	abstemious.x	all.x	nowine.x	abstemious.y	all.y	nowine.y
hsa-miR-4491-5p:Novel	1.28184625571827	0.728382970107341	0.43788743666696	1.66340230185987	0.0962319326646118	0.397603893068701	nowine_vs_all	FALSE	1.182	1.215	1.493	0	0	0.852
hsa-miR-4492	4.58761085363252	-0.881940753458374	0.312172978746839	-2.82516685780673	0.00472560002577365	0.0905838454940486	nowine_vs_all	FALSE	4.744	4.966	2.095	4.866	2.849	1.062
hsa-miR-4492-5p:Novel	36.9886082418962	-0.225202315297877	0.298399630544885	-0.754700382459095	0.450428776990588	0.758501456603986	nowine_vs_all	FALSE	38.647	35.093	42.12	23.188	18.031	12.465
hsa-miR-4493	12.7488537067423	-1.02486398216134	0.330052877871591	-3.10515087391564	0.00190181989114337	0.0595192000626196	nowine_vs_all	FALSE	7.227	13.936	8.814	3.735	5.799	4.245
hsa-miR-4493-5p:Novel	7.76969967773076	-1.64098695115243	0.382888439512471	-4.2858096035542	1.82074879436997e-05	0.00372282436822181	nowine_vs_all	TRUE	4.482	8.843	3.229	1.99	2.918	2.177
hsa-miR-4494	32.0748190121079	0.52016668456639	0.231176735237255	2.25008231919422	0.0244437202288727	0.219850117131826	nowine_vs_all	FALSE	28.449	29.654	42.933	18.249	19.966	27.783
hsa-miR-4494-5p:Novel	10.2308920312539	0.463095353600093	0.385152653952301	1.20236833070724	0.229220853495506	0.575977831299473	nowine_vs_all	FALSE	7.568	10.373	9.566	3.878	2.392	2.834
hsa-miR-4495	0.112098908676749	-0.015014985553627	1.18259558064288	-0.0126966359416501	0.989869822380565	NA	nowine_vs_all	NA	0.294	0.1	0.059	0	0	0
hsa-miR-4495-3p:Novel	0.644738496970619	-0.126078090467845	0.445986891234272	-0.282694610415394	0.777410948066444	0.925589820543394	nowine_vs_all	FALSE	0.331	0.691	0.496	0	0	0
hsa-miR-4496	2.06026565506759	0.426190258577306	0.338534902136189	1.25892561117924	0.20805720214674	0.551046147654621	nowine_vs_all	FALSE	2.781	1.966	1.934	0.912	1.132	1.443
hsa-miR-4496-5p:Novel	10.6066672671211	-0.400584013536445	0.20143221387385	-1.98867899941425	0.0467366454192278	0.29483989343547	nowine_vs_all	FALSE	18.053	10.155	7.591	8.716	8.415	6.511
hsa-miR-4497	15.4320466550694	0.171283454026348	0.244191557414041	0.701430695803815	0.483034271221746	0.780887921569878	nowine_vs_all	FALSE	15.99	15.184	15.57	14.826	9.571	9.936
hsa-miR-4497-3p:Novel	56.8505900780088	-0.0946100115447364	0.265567236324134	-0.356256339653516	0.721648603006365	0.894636959205129	nowine_vs_all	FALSE	99.528	53.133	47.459	27.055	28.645	29.028
hsa-miR-4498	1.7982301779381	0.300639807557644	0.28903103161405	1.04016446219898	0.298263499043954	0.638477409895375	nowine_vs_all	FALSE	2.054	1.716	1.855	1.046	1.479	1.551
hsa-miR-4498-3p:Novel	5.09663561685488	0.154974282896276	0.31377059436586	0.493909517587152	0.621370082624933	0.853537086072003	nowine_vs_all	FALSE	3.631	5.305	4.215	2.246	2.519	2.615
hsa-miR-4499	2.74870318096068	1.17258245197442	0.358778476378971	3.26826309038629	0.00108209727162045	0.0413093313462063	nowine_vs_all	TRUE	2.054	2.32	4.853	1.174	1.082	1.235
hsa-miR-4499-3p:Novel	8.11383652127255	0.0278575817553635	0.377372031515906	0.0738199427325322	0.94115365831317	0.980808110787119	nowine_vs_all	FALSE	13.626	6.972	9.754	6.328	2.18	1.952
hsa-miR-449a	1.7682891539439	0.630253303109826	0.453695639208077	1.38915442125459	0.1647857980771	0.508960768079017	nowine_vs_all	FALSE	1.3	1.65	2.355	0.663	0	0.446
hsa-miR-449a-3p:Novel	7.71465277700594	0.271470653026189	0.295275291751218	0.919381541937192	0.357896040409326	0.688616630386362	nowine_vs_all	FALSE	11.724	7.049	8.031	3.279	4.124	3.155
hsa-miR-449b-3p	0.488121574596245	0.512643589015973	0.585868542676823	0.875014703253589	0.381565905569221	0.702017175993283	nowine_vs_all	FALSE	0.336	0.496	0.497	0	0	0
hsa-miR-449b-5p	2.42004047765412	0.153395040152832	0.337783907448289	0.454121812112423	0.649741154775849	0.865822492204416	nowine_vs_all	FALSE	1.861	2.481	2.186	1.245	1.249	1.729
hsa-miR-449c-3p	0.198540276493203	0.869904890993963	0.90365440873069	0.962652184938562	0.335722099675787	NA	nowine_vs_all	NA	0.429	0.154	0.302	0	0	0
hsa-miR-449c-5p	4.85097860719325	0.148120521987028	0.244042266941193	0.60694618126425	0.543886628975061	0.816974790710843	nowine_vs_all	FALSE	7.884	4.556	4.241	4.98	3.365	2.741
