"EntrezID","S_mrna"
"10480",0
"10481",0
"10483",0
"10484",0
"10485",0
"10489",0
"10491",0
"10492",0
"10493",0
"10494",0
"10495",0
"10497",0
"10498",0
"10499",0
"1050",0
"10505",0
"10507",0
"10509",0
"1051",0
"10513",0
"10514",0
"10516",0
"10518",0
"10521",0
"10522",0
"10523",0
"10525",0
"10526",0
"10527",0
"10529",0
"1053",0
"10531",0
"10533",0
"10534",0
"10535",0
"1054",0
"10541",0
"10542",0
"10552",0
"10553",0
"10556",0
"10557",0
"10558",0
"10560",0
"10564",0
"10565",0
"10567",0
"10569",0
"10574",0
"10575",0
"10577",0
"10579",0
"1058",0
"10587",0
"10589",0
"1059",0
"10591",0
"10592",0
"10594",0
"10597",0
"10600",0
"10602",0
"10605",0
"10606",0
"10607",0
"10608",0
"10611",0
"10614",0
"10616",0
"10617",0
"10618",1.6909636059233
"1062",0
"10620",0
"10621",0
"10622",0
"10625",0
"10628",0
"10629",0
"1063",0
"10630",0
"10632",0
"10634",0
"10635",0
"10637",0
"10638",0
"10640",0
"10642",0
"10643",0
"10644",0
"10645",0
"10652",0
"10655",4.43797914045748
"10656",0
"10657",0
"10658",0
"10659",0
"10660",0
"10664",0
"10666",0
"10671",0
"10672",0
"10673",0
"10675",0
"10678",0
"10681",0
"10682",0
"10686",0
"10687",0
"10691",1.6909636059233
"107",0
"10712",0
"10714",0
"10715",0
"10716",0
"1072",0
"10721",0
"10723",0
"10725",0
"10728",0
"1073",0
"10730",0
"10732",0
"10733",0
"10735",0
"10741",0
"10743",0
"10745",0
"10746",0
"10749",0
"10752",0
"10755",0
"10758",0
"10762",4.43797914045748
"10763",0
"10766",1.44033986107437
"10767",0
"10768",0
"10771",0
"10772",0
"10773",0
"10775",0
"10776",0
"10777",0
"10780",0
"10782",0
"10783",0
"10785",0
"10787",1.6909636059233
"10793",0
"10794",0
"10795",0
"10797",0
"10801",0
"10802",4.43797914045748
"10806",0
"10807",0
"10808",0
"10809",0
"10810",0
"10815",0
"10818",0
"10825",0
"10826",0
"10838",0
"10844",0
"10845",0
"10847",0
"10848",0
"10849",0
"10855",0
"10856",0
"10857",0
"10859",0
"10863",0
"10865",0
"10866",0
"10874",0
"10884",0
"10885",0
"10890",0
"10891",0
"10892",0
"10894",0
"10898",0
"109",0
"10904",0
"10905",0
"10906",0
"10907",0
"10908",4.43797914045748
"10910",1.6909636059233
"10914",0
"10915",0
"10921",0
"10922",0
"10924",0
"10927",0
"10928",0
"10933",0
"10935",0
"10936",0
"10938",0
"10940",0
"10942",4.43797914045748
"10943",0
"10945",0
"10946",0
"10947",0
"10948",0
"10949",0
"10950",0
"10951",0
"10952",0
"10953",0
"10955",0
"10957",0
"10959",0
"10960",0
"10963",0
"10964",0
"10965",0
"10966",0
"10969",0
"10970",0
"10971",0
"10972",0
"10973",0
"10974",0
"10975",1.44033986107437
"10979",0
"10980",0
"10981",0
"10982",0
"10983",0
"10985",0
"10988",0
"10992",0
"10994",0
"10999",0
"11001",0
"11004",0
"11006",0
"11014",0
"11018",0
"11019",0
"1102",0
"11021",0
"11022",0
"11027",0
"11030",0
"11031",0
"1104",0
"11043",0
"11044",0
"11046",0
"11047",0
"1105",0
"11051",0
"11052",0
"11054",0
"11056",0
"11057",0
"11059",0
"11060",0
"11062",0
"11063",0
"11064",0
"11067",0
"11069",0
"1107",0
"11070",0
"11073",0
"11076",0
"11078",0
"11079",0
"1108",0
"11080",0
"11083",0
"11093",0
"11094",0
"11097",0
"11098",0
"11100",0
"11101",0
"11102",0
"11104",0
"11108",4.43797914045748
"1111",4.43797914045748
"11112",0
"11113",0
"11116",0
"11118",0
"11119",0
"1112",0
"11122",0
"11124",0
"11127",1.6909636059233
"11128",1.6909636059233
"11130",0
"11131",0
"11133",0
"11138",0
"11140",0
"11141",0
"11143",0
"11145",0
"11146",0
"11147",0
"11148",0
"11149",0
"11153",0
"11156",0
"11157",0
"11158",0
"11159",0
"11160",0
"11161",0
"11163",0
"11164",1.6909636059233
"11165",0
"11167",0
"11170",0
"11176",0
"11177",0
"11179",0
"11180",0
"11182",0
"11185",0
"11186",0
"11191",0
"11193",0
"11194",0
"11196",0
"11198",0
"112",0
"11200",0
"11201",0
"1121",0
"11213",1.44033986107437
"11214",1.6909636059233
"11215",0
"11216",0
"11217",0
"11218",0
"11219",0
"1122",0
"11221",0
"11222",0
"11226",0
"11228",0
"1123",0
"11230",0
"11231",0
"11234",0
"11235",0
"11236",0
