ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	18_37.x	37_53.x	53_81.x	18_37.y	37_53.y	53_81.y
hsa-miR-206	2.64559021694267	-0.0675767885373806	0.232591140547718	-0.290538961966682	0.77140394823267	0.918786003382814	37_53_vs_18_37	FALSE	2.996	2.811	2.077	2.395	1.597	1.565
hsa-miR-206-5p:Novel	19.3666976495029	-0.0891604057802513	0.270996271476242	-0.329009714025043	0.74214834569609	0.906479058705943	37_53_vs_18_37	FALSE	16.709	17.708	24.134	6.861	5.235	7.619
hsa-miR-208a-3p	0.239985453827386	-0.654665645698332	0.601108388442861	-1.08909750435227	0.276110890330227	NA	37_53_vs_18_37	NA	0.364	0.138	0.221	0	0	0
hsa-miR-208a-5p	1.80723648641286	0.415370331694309	0.430584190393212	0.964666936133883	0.334711661097542	0.646187676730005	37_53_vs_18_37	FALSE	1.243	2.234	1.932	0.525	0	0.279
hsa-miR-208b-3p	0.861502293930625	-0.543424909479509	0.447179477625921	-1.21522774784871	0.224279240132728	NA	37_53_vs_18_37	NA	1.205	0.928	0.414	0	0	0
hsa-miR-208b-5p	0.707286442770003	-0.291042049105906	0.405987245163442	-0.716874858934887	0.473451316052419	NA	37_53_vs_18_37	NA	1.171	0.606	0.319	0.142	0	0
hsa-miR-20a-3p	0.0574096427032943	-0.33869602874067	1.73693008127809	-0.194996927274958	0.845395353129653	NA	37_53_vs_18_37	NA	0.058	0.055	0.059	0	0	0
hsa-miR-20a-5p	9.72858439320593	-0.0728232548451068	0.663881174396859	-0.109693206636364	0.912652688222758	0.974864180770201	37_53_vs_18_37	FALSE	6.103	16.199	6.288	0	0	0
hsa-miR-20b-3p	0.78585105255297	-0.734205037526148	0.521100903740476	-1.40894984494558	0.158849999181149	NA	37_53_vs_18_37	NA	0.874	0.834	0.636	0	0	0
hsa-miR-20b-5p	1.41233662237446	-0.44202655634997	0.581777002989788	-0.759786918490021	0.44738196355496	0.725216682277196	37_53_vs_18_37	FALSE	0.432	2.619	1.099	0	0	0
hsa-miR-21-3p	1.12346518847193	-0.158606428656869	0.436649206331262	-0.363235353132746	0.716429080546156	NA	37_53_vs_18_37	NA	1.136	1.01	1.239	0	0	0
hsa-miR-21-5p	320.318767078528	-0.773171546789972	0.325123719317509	-2.37808409799505	0.0174028563823582	0.184951680595151	37_53_vs_18_37	FALSE	389.431	229.757	348.587	56.488	28.063	34.635
hsa-miR-210-3p	9.47458979519564	-0.579901498016639	0.278497937467431	-2.08224701155805	0.0373199131915033	0.252826232719317	37_53_vs_18_37	FALSE	17.124	5.26	5.987	2.452	1.829	3.812
hsa-miR-210-5p	0.222776384721835	-0.24883800085685	0.643793329574369	-0.386518451536868	0.699112740012889	NA	37_53_vs_18_37	NA	0.131	0.195	0.354	0	0	0
