ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	_40.x	40_60.x	60_.x	_40.y	40_60.y	60_.y
hsa-miR-493-3p	2.11551850877213	-1.07605966694262	0.463113821342984	-2.32353174824745	0.0201506041584547	0.244959485596215	40_60_vs__40	FALSE	3.141	1.399	1.731	0.139	0	0
hsa-miR-493-5p	2.70270925023732	0.624625124115168	0.27282810799114	2.28944564661736	0.0220534725426315	0.253747810505773	40_60_vs__40	FALSE	2.641	3.341	1.359	1.14	1.616	0.827
hsa-miR-494-3p	9.37028931416791	0.29989030037797	0.235479161689855	1.27353222351347	0.202829245511809	0.546757497169469	40_60_vs__40	FALSE	8.199	11.251	7.368	5.742	5.032	4.765
hsa-miR-494-5p	1.74626762391953	-0.142953881856736	0.30274601180426	-0.472190801143113	0.636790605072794	0.868899340468031	40_60_vs__40	FALSE	1.984	1.335	2.219	0.891	0.39	0.236
hsa-miR-495-3p	0.317144578796354	-0.458227988480285	0.536216053783331	-0.854558503512171	0.392795608538483	NA	40_60_vs__40	NA	0.301	0.326	0.329	0	0	0
hsa-miR-495-5p	0.797273420415325	-0.509111944474693	0.390529884557331	-1.30364400934842	0.192354987997798	0.540831769840364	40_60_vs__40	FALSE	1.355	0.49	0.401	0	0	0
hsa-miR-496	5.64465324136412	-0.119110215949917	0.321189417624136	-0.370841034648605	0.710755935874632	0.901660551578057	40_60_vs__40	FALSE	6.342	3.665	8.811	1.479	1.332	2.401
hsa-miR-496-5p:Novel	4.81480400511687	-0.105228821127531	0.205317798883543	-0.512516799321512	0.608289366057646	0.855581672177097	40_60_vs__40	FALSE	5.809	4.493	3.588	3.419	2.79	2.729
hsa-miR-497-3p	2.01643766573294	0.243139955431909	0.271410583716608	0.895838150828273	0.370339210792984	0.709471193273637	40_60_vs__40	FALSE	2.59	1.901	1.147	0.289	0	0
hsa-miR-497-5p	0.73805947035891	-0.393470976185314	0.395561157088335	-0.994715909624681	0.319874454396988	0.667374429855533	40_60_vs__40	FALSE	0.86	0.645	0.71	0	0	0
hsa-miR-498-3p	2.17718201625905	0.151770250439707	0.260127791832194	0.583444965148562	0.559593795445638	0.830861591994578	40_60_vs__40	FALSE	2.024	2.413	1.939	1.333	1.39	1.561
hsa-miR-498-5p	4.75718907279906	-0.597186690344265	0.377090604286589	-1.58366897386391	0.113269068812777	0.443666608302447	40_60_vs__40	FALSE	4.555	3.512	8.016	1.502	1.165	0.68
hsa-miR-4999-3p	0.91828599091403	0.0200127645863166	0.541513088067223	0.0369571207553755	0.970519195045555	0.985915410001957	40_60_vs__40	FALSE	0.837	0.743	1.482	0	0	0
hsa-miR-4999-5p	0.514674484216523	-0.391821897630645	0.451736253879148	-0.867368722935105	0.385740013311098	NA	40_60_vs__40	NA	0.655	0.461	0.36	0	0	0
hsa-miR-499a-3p	1.09165027069812	0.0262364852886154	0.420899488242016	0.062334324515808	0.950296594603452	0.98374260718288	40_60_vs__40	FALSE	0.966	0.63	2.398	0	0	0.073
hsa-miR-499a-5p	1.26966191615803	-0.389935202392954	0.299177543514832	-1.30335718988756	0.192452844750747	0.540831769840364	40_60_vs__40	FALSE	1.51	1.156	1.056	0.667	0.545	0
hsa-miR-499b-3p	2.30699439918023	0.525259907451324	0.305975286427696	1.71667428956046	0.0860387003307389	0.404669250226917	40_60_vs__40	FALSE	2.252	2.33	2.364	1.18	1.006	0.55
hsa-miR-499b-5p	10.9885328313779	-0.5875208808003	0.265146713493472	-2.21583316292836	0.0267029303346834	0.27338241688371	40_60_vs__40	FALSE	13.499	6.762	15.728	5.333	2.926	4.666
hsa-miR-5000-3p	0.678792324170721	-0.835748547087663	0.473283347180652	-1.7658524265986	0.0774206102838033	NA	40_60_vs__40	NA	1	0.473	0.515	0	0	0
hsa-miR-5000-5p	0.839877336442202	-0.350444529254259	0.337827344752904	-1.0373480261362	0.299573691034598	0.650068199113799	40_60_vs__40	FALSE	1.145	0.674	0.616	0.247	0	0
hsa-miR-5001-3p	2.15691689686839	0.644488099479573	0.473593276429103	1.36084723233197	0.173561972011539	0.521822784846919	40_60_vs__40	FALSE	3.058	1.723	1.37	0	0	0
hsa-miR-5001-5p	49.1334765775395	-0.220565104533219	0.177291008738462	-1.24408511239617	0.213468239686355	0.565824381228318	40_60_vs__40	FALSE	51.063	44.356	56.285	31.825	35.259	40.856
hsa-miR-5002-3p	6.33169164097057	-0.27367929122448	0.272397846064894	-1.00470431458287	0.31503924997865	0.663824096741546	40_60_vs__40	FALSE	6.913	6.139	5.625	4.438	2.79	2.316
hsa-miR-5002-5p	0.538865067003991	-0.364072524098415	0.357232259343273	-1.01914794808206	0.308132733815602	NA	40_60_vs__40	NA	0.527	0.619	0.378	0	0	0
hsa-miR-5003-3p	5.28636451063043	0.099952403570621	0.247121168513782	0.404467185760522	0.685869203346757	0.894086922540604	40_60_vs__40	FALSE	4.404	4.411	9.041	3.038	2.839	5.394
hsa-miR-5003-5p	0.604485314153269	-0.763566076627882	0.467469333707374	-1.63340356590291	0.10238414756484	NA	40_60_vs__40	NA	0.806	0.462	0.535	0	0	0
hsa-miR-5004-3p	0.682864795549975	-0.413657962892982	0.319219043977019	-1.29584362430069	0.195029365109684	NA	40_60_vs__40	NA	0.773	0.668	0.54	0.248	0	0
hsa-miR-5004-5p	1.99364370112863	-0.441197316972779	0.300876410088713	-1.46637390695632	0.142546450871857	0.487063183251977	40_60_vs__40	FALSE	2.018	2.143	1.602	0.838	0.945	1.039
hsa-miR-5006-3p	1.52076800049479	-0.481373044188949	0.52676020119293	-0.913837156069887	0.36080241934302	0.706632629531405	40_60_vs__40	FALSE	1.768	1.163	1.852	0	0	0
hsa-miR-5006-5p	40.8018981485913	-0.356981233091519	0.187963561288436	-1.89920445561105	0.0575375991498243	0.352130106796925	40_60_vs__40	FALSE	55.072	31.686	33.512	19.316	16.353	17.767
hsa-miR-5007-3p	0.0411781772504036	-0.535639629955183	2.12926067553775	-0.251561321781283	0.801380158035832	NA	40_60_vs__40	NA	0.052	0.044	0.013	0	0	0
