ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	abstemious.28.x	light.28.x	heavy.28.x	abstemious.28.y	light.28.y	heavy.28.y
hsa-miR-192-3p	1.2058555177233	-0.799782956641427	0.523167648761047	-1.52873167623314	0.126330976223934	NA	heavy.28_vs_abstemious.28	NA	5.325	0.828	0.874	0.663	0.389	0
hsa-miR-192-5p	1150.94966966956	0.0756111903519687	0.563928829933142	0.134079313449772	NA	NA	heavy.28_vs_abstemious.28	NA	8212.331	550.112	463.521	58.387	58.269	62.188
hsa-miR-193a-3p	1.18009149316764	0.514377738168326	0.791034378013779	0.650259650484325	0.515524515906871	NA	heavy.28_vs_abstemious.28	NA	0.396	1.327	0.994	0	0	0
hsa-miR-193a-5p	8.0095842285425	-0.560836937068573	0.38295549318068	-1.46449638941194	0.143058368872528	0.841744134360685	heavy.28_vs_abstemious.28	FALSE	17.659	7.452	6.136	6.559	4.231	4.845
hsa-miR-193b-3p	0.819006915881799	0.557366614771752	1.17195947084634	0.475585230237738	0.634369899793094	NA	heavy.28_vs_abstemious.28	NA	0.118	0.967	0.596	0	0	0
hsa-miR-193b-5p	5.23191036699048	-0.131693888579629	0.632714790736825	-0.208140998926649	0.835118875587085	0.985708290399142	heavy.28_vs_abstemious.28	FALSE	1.937	6.291	2.966	1.006	1.26	1.239
hsa-miR-194-1-3p:Novel	157.231022357852	-0.483711006958188	0.521253613570968	-0.927976313956683	0.353419856273	0.95097327856861	heavy.28_vs_abstemious.28	FALSE	1279.103	58.031	54.237	31.986	16.821	12.613
hsa-miR-194-3p	131.235538653922	0.035887933292979	0.456304607619687	0.0786490705850822	0.937311755708568	0.994528992282383	heavy.28_vs_abstemious.28	FALSE	887.66	63.284	65.359	36.249	23.2	24.303
hsa-miR-194-5p	63.3927380676715	-0.341710012281153	0.312724144707303	-1.09268829434638	0.274530681004513	0.899076995110846	heavy.28_vs_abstemious.28	FALSE	88.656	62.444	56.773	48.665	41.655	38.158
hsa-miR-195-3p	6.09805789277014	0.483693340656403	0.430626769116005	1.1232310096498	0.261339395770938	0.890583762550245	heavy.28_vs_abstemious.28	FALSE	6.082	5.915	6.718	4.98	3.584	3.587
hsa-miR-195-5p	2.73783562860623	0.0231155845779987	0.496549423478488	0.0465524346319177	0.962869942561948	0.997319219773341	heavy.28_vs_abstemious.28	FALSE	3.183	2.922	1.949	1.303	1.473	1.172
hsa-miR-196a-1-3p	0.132139329120129	-0.177978948476883	1.83494930774132	-0.096993932053611	0.92273121324917	NA	heavy.28_vs_abstemious.28	NA	0.076	0.136	0.14	0	0	0
hsa-miR-196a-3p	9.33148491440455	-0.31532989438997	0.529585647521554	-0.595427568450363	0.551557702122047	0.963736681777306	heavy.28_vs_abstemious.28	FALSE	50.73	5.842	4.959	2.652	2.559	2.474
hsa-miR-196a-5p	4.54138726854448	0.136086416291419	0.450205292925817	0.302276357985518	0.762441399470618	0.974377942189973	heavy.28_vs_abstemious.28	FALSE	5.663	3.75	6.757	4.099	2.738	2.416
hsa-miR-196b-3p	0.389636420207712	-0.661927485746293	0.887792591288893	-0.74558798106809	0.455916345504083	NA	heavy.28_vs_abstemious.28	NA	0.636	0.384	0.312	0	0	0
