ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	c.drinker.x	c.no_drinker.x	c.drinker.y	c.no_drinker.y
hsa-miR-3137-3p:Novel	55.9015617363865	0.10020528012658	0.27066406993077	0.370220104028622	0.711218498306066	0.861838950382209	c.drinker_vs_c.no_drinker	FALSE	56.329	55.025	26.125	17.072
hsa-miR-3138	2.27239599959036	-0.192334301753643	0.248961627262001	-0.772545969709762	0.439791131160217	0.683977485961384	c.drinker_vs_c.no_drinker	FALSE	2.074	2.679	1.217	1.97
hsa-miR-3138-5p:Novel	219.085408561129	-0.0936241227337101	0.190101318319294	-0.492495915133313	0.622368808939296	0.805295332658674	c.drinker_vs_c.no_drinker	FALSE	198.422	261.5	135.165	162.209
hsa-miR-3139	1.81561753180147	-0.276642830203736	0.251673649484864	-1.09921253484415	0.271675372496754	0.527572864921101	c.drinker_vs_c.no_drinker	FALSE	1.648	2.16	1.166	1.277
hsa-miR-3139-3p:Novel	2.18178751385338	-0.442665722396038	0.347195907259213	-1.27497390706725	0.202318477699243	0.445433685469527	c.drinker_vs_c.no_drinker	FALSE	1.373	3.842	0.501	0.651
hsa-miR-3140-3p	1.90650040134233	0.0847346635619954	0.303415001081724	0.279269855675898	0.780037738017636	0.89622379269846	c.drinker_vs_c.no_drinker	FALSE	2.001	1.712	0.628	0.838
hsa-miR-3140-5p	0.789897693687825	0.133785785161212	0.346049123870495	0.386609229536092	0.699045524114507	NA	c.drinker_vs_c.no_drinker	NA	0.868	0.629	0	0.116
hsa-miR-3141	1.52116877685437	-0.352756788738375	0.264735613646984	-1.33248709487483	0.182700179344128	NA	c.drinker_vs_c.no_drinker	NA	1.245	2.089	0.79	0.998
hsa-miR-3141-3p:Novel	24.0856491745631	-0.250866456230949	0.165155865780901	-1.5189678855473	0.128770579749478	0.354657709992129	c.drinker_vs_c.no_drinker	FALSE	19.32	33.868	15.192	15.782
hsa-miR-3142	1.86383343373205	-0.394038848356544	0.330511828439783	-1.19220800724939	0.233179694513556	0.486969637547245	c.drinker_vs_c.no_drinker	FALSE	1.483	2.645	0.414	1.035
hsa-miR-3142-5p:Novel	0.681912832918067	-0.422832348213749	0.39989385688303	-1.05736144963444	0.290346658311557	NA	c.drinker_vs_c.no_drinker	NA	0.543	0.967	0	0
hsa-miR-3143	1.06350712462689	-0.427080822703034	0.282478240835692	-1.51190697534629	0.130557529300698	NA	c.drinker_vs_c.no_drinker	NA	1.089	1.012	0.316	0.648
hsa-miR-3143-3p:Novel	4.24060050550779	-0.463271914788283	0.25693899193176	-1.80304247053061	0.0713815449677593	0.259789976583342	c.drinker_vs_c.no_drinker	FALSE	3.494	5.773	2.152	2.525
hsa-miR-3144-3p	3.09964165337184	0.0119412125470634	0.451298654769124	0.0264596679402297	0.978890702647788	0.993941288693803	c.drinker_vs_c.no_drinker	FALSE	3.801	1.659	0	0
hsa-miR-3144-5p	0.376762078591445	-0.269894358092178	0.547812073099695	-0.492676907547929	0.622240896868342	NA	c.drinker_vs_c.no_drinker	NA	0.308	0.517	0	0
hsa-miR-3145-3p	17.1282742536922	-0.742772744486221	0.470132653366316	-1.57992162247763	0.114124816792008	0.338264692430604	c.drinker_vs_c.no_drinker	FALSE	17.612	16.135	0.949	1.442
hsa-miR-3145-5p	0.392827616821073	-0.178268012960692	0.442939483677039	-0.402465843597436	0.687341220878558	NA	c.drinker_vs_c.no_drinker	NA	0.266	0.654	0	0
hsa-miR-3146	3.61865604430312	-0.50428602930069	0.302858741137712	-1.66508659253585	0.0958954812154406	0.31140565978914	c.drinker_vs_c.no_drinker	FALSE	3.179	4.521	1.577	1.972
hsa-miR-3146-5p:Novel	1.69873677772203	-0.708262666020247	0.371850530682762	-1.90469720379259	0.0568194426962988	0.232540587450083	c.drinker_vs_c.no_drinker	FALSE	1.324	2.468	0	0.347
hsa-miR-3147	4.96967389505589	-0.707999740727088	0.244714552760917	-2.89316566072306	0.0038138008563188	0.0513722488788328	c.drinker_vs_c.no_drinker	FALSE	4.005	6.949	2.542	3.074
hsa-miR-3147-3p:Novel	6.47924951957019	-0.35615974377361	0.223399800349046	-1.59427064490271	0.11087542959149	0.331850936119985	c.drinker_vs_c.no_drinker	FALSE	6.256	6.938	3.962	4.426
hsa-miR-3148	1.90704754606525	0.0655037033876265	0.329641490426364	0.198711950073102	0.842488075634758	0.929241688040438	c.drinker_vs_c.no_drinker	FALSE	1.867	1.988	0.597	0.602
hsa-miR-3148-3p:Novel	2.7884191239267	-0.898439452461337	0.313898850613332	-2.86219414536199	0.00420719106416855	0.0529611110430629	c.drinker_vs_c.no_drinker	FALSE	1.564	5.302	0.578	1.533
hsa-miR-3149	19.9292517671036	-0.167828710795992	0.280809235388057	-0.597660937198399	0.550066195021513	0.765426855623593	c.drinker_vs_c.no_drinker	FALSE	15.377	29.273	7.293	6.13
hsa-miR-3149-5p:Novel	6.6964789295857	-0.280750980251785	0.455943893580217	-0.615757737311139	0.538054424473941	0.756031824277238	c.drinker_vs_c.no_drinker	FALSE	4.146	11.933	0.599	0.599
hsa-miR-3150a-3p	1.97314023598049	-0.398687929091969	0.301097619611179	-1.32411518100612	0.185464794495737	0.424940749701154	c.drinker_vs_c.no_drinker	FALSE	1.255	3.446	0.746	0.812
hsa-miR-3150a-5p	0.592975020279118	-0.772138940636076	0.382471020871636	-2.01881684755201	0.0435062593133904	NA	c.drinker_vs_c.no_drinker	NA	0.43	0.928	0	0
hsa-miR-3150b-3p	1.78143198731046	-0.0374177335220844	0.257089064884094	-0.145543854768595	0.88428149324883	0.953271101302717	c.drinker_vs_c.no_drinker	FALSE	1.694	1.96	0.873	1.281
hsa-miR-3150b-5p	2.06340595784191	-0.0622895853609129	0.332106049037829	-0.187559321913518	0.851222116646547	0.933204574602259	c.drinker_vs_c.no_drinker	FALSE	2.181	1.822	0.533	0.65
hsa-miR-3151-3p	0.676392634698467	-1.07185940210972	0.408222509422771	-2.62567442355232	0.00864774893519554	NA	c.drinker_vs_c.no_drinker	NA	0.556	0.924	0	0
