miRNA	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	size	sig	male	female	male_mean	female_mean
hsa-miR-3141	1.52116877685437	-0.13814970710213	0.253390119812933	-0.545205579460318	0.585612134579387	0.837272100706527	M_F	99_133	FALSE	0.624489609151907	0.878903583341618	1.40480563637507	1.55793766372119
hsa-miR-4462	4.94088196538889	-0.108036953717806	0.197572293305459	-0.546822390479489	0.584500758856924	0.837272100706527	M_F	99_133	FALSE	0	0	0.82488183415149	1.10580398346528
hsa-miR-448-5p:Novel	4.69900698269388	0.119110169990527	0.219065943073558	0.543718335764004	0.586635312824524	0.837272100706527	M_F	99_133	FALSE	0.345858928601107	0.655684552174086	0.995570522055601	1.59217861670126
hsa-miR-4648-3p:Novel	2.37783190619363	0.109146618344398	0.199210199419492	0.547896737528783	0.583762809110848	0.837272100706527	M_F	99_133	FALSE	0	0.499138694257841	0.810534095061885	1.58700156949588
hsa-miR-4752-3p:Novel	2.74189730344139	-0.165461017012287	0.303975875843743	-0.544322856387924	0.586219321161625	0.837272100706527	M_F	99_133	FALSE	2.72019080097685	2.552144678526	4.69215525114632	4.36055291624763
hsa-miR-6074-5p:Novel	8.00408968742879	-0.110131434847148	0.201334619524927	-0.54700694350041	0.58437396182701	0.837272100706527	M_F	99_133	FALSE	20.4020770233787	16.5311992518513	44.3374328283942	30.6214050866177
hsa-miR-6075-5p:Novel	3.67596268071635	-0.113827258809707	0.208480313566727	-0.545985646617299	0.585075803659863	0.837272100706527	M_F	99_133	FALSE	5.79716103189466	4.93635870923164	11.8730996685822	13.1267576101513
hsa-miR-6129	10.0559457462106	-0.106708594588075	0.195124018477421	-0.546875753281101	0.584464094664417	0.837272100706527	M_F	99_133	FALSE	2.98546670060765	2.44313889709816	6.69930837055103	8.29554040536744
hsa-miR-6740-3p	29.0366287835146	0.413616443108071	0.757631310636916	0.545933671564282	0.585111531725292	0.837272100706527	M_F	99_133	FALSE	22.7792476362068	19.9655477703136	33.6235581388107	30.1207026787672
hsa-miR-6752-3p	1.68274354860587	-0.190652619452281	0.350720633049038	-0.54360251860524	0.586715026252007	0.837272100706527	M_F	99_133	FALSE	2.79035492786149	2.37289654555498	11.4264162843814	8.96983403564275
hsa-miR-766-3p	1.81490440648881	-0.144121658036039	0.26406949730164	-0.545771698392762	0.585222879875745	0.837272100706527	M_F	99_133	FALSE	0	0	0.170923413420631	0.0641491455501016
hsa-miR-522-3p	2.55842522534625	-0.144534757875193	0.266253051219189	-0.542847329686403	0.58723492283507	0.837434111940458	M_F	99_133	FALSE	0	0	0.531561703832428	0.705343454830421
hsa-miR-6507-5p	1.72657439442297	-0.138335850705937	0.255057961313758	-0.542370251818034	0.587563468623428	0.837434111940458	M_F	99_133	FALSE	0.87277242685486	1.20001145922495	1.79955695246465	2.19708315876424
hsa-miR-3689a-5p, hsa-miR-3689b-5p, hsa-miR-3689e	7.203324908239	0.134440006564271	0.248547109422136	0.540903520772541	0.588574084043067	0.838186083908625	M_F	99_133	FALSE	7.52144969120037	8.41476427459555	9.63461220714466	10.9768993149482
hsa-miR-8057	5.61288987535024	-0.135792827971007	0.2512183042929	-0.540537156928995	0.588826643412773	0.838186083908625	M_F	99_133	FALSE	9.11340569929393	10.5245141101883	14.0100908016983	16.2780537251226
hsa-miR-3179-5p:Novel	1.47768625334105	-0.15488739620166	0.286933771016493	-0.53980190499346	0.589333653186123	0.838384142079385	M_F	99_133	FALSE	27.9035492786149	28.7894063930811	44.1049459580607	64.9448363061705
hsa-miR-4290-5p:Novel	13.7857892779802	-0.105682644650351	0.196091110858809	-0.538946636527779	0.58992367631544	0.838631618559144	M_F	99_133	FALSE	1.64839503637535	1.22293178919851	1.97062021890051	1.61260831765473
hsa-miR-4506	21.7572324808696	0.139466648919516	0.25975374737266	0.536918717555314	0.591323761209781	0.838631618559144	M_F	99_133	FALSE	2.65331685044062	2.24566383081499	5.80688295626967	4.39754383878925
hsa-miR-4718-3p:Novel	7.04256503481686	0.133385296897224	0.248443273591009	0.536884315559312	0.591347525679923	0.838631618559144	M_F	99_133	FALSE	0.93673441372786	1.17027887844911	2.34269601981256	2.95045621340933
hsa-miR-572-5p:Novel	14.4795166831212	0.119211369892896	0.221788228287678	0.537500889083567	0.590921670955197	0.838631618559144	M_F	99_133	FALSE	2.07515357160664	2.93128385262629	6.99799926880816	8.65613319423774
hsa-miR-6069-3p:Novel	18.7975927121808	0.0854088457609527	0.158785071706711	0.537889644428978	0.590653238114048	0.838631618559144	M_F	99_133	FALSE	0	0.33478450699732	1.77790418424593	1.69550778122075
hsa-miR-5739	6.08705091213473	-0.148255043015224	0.276809433402152	-0.535585226244212	0.592245241449825	0.839382403771238	M_F	99_133	FALSE	4.20116882562273	3.7055577405312	7.74881294990987	7.46159305012108
hsa-miR-10b-5p	38.0531064740927	-0.166691575664627	0.311791600409551	-0.53462497208286	0.592909212060318	0.839801177306068	M_F	99_133	FALSE	0	0	0.555157280480992	0.428929290355447
hsa-miR-877-5p	3.43691159780838	0.1177335505846	0.220502562803204	0.533932799183274	0.593388028567181	0.839957339816525	M_F	99_133	FALSE	1.32665842522031	1.24227710317512	2.12936306028491	2.57405703414803
hsa-miR-367-3p	8.03992002717779	0.10048619987671	0.188780119317703	0.532292278656735	0.594523579189644	0.840520618469726	M_F	99_133	FALSE	0	0	0.149886341295192	0.236600575378429
hsa-miR-4259	33.9576883303963	0.0710238545050428	0.133304128581687	0.532795610013835	0.594175073056648	0.840520618469726	M_F	99_133	FALSE	2.65684475052007	3.81575050052317	3.365139975893	5.83276325747975
hsa-miR-107-5p:Novel	1.99195984017287	-0.20975061071323	0.394897716646139	-0.531151743531562	0.595313630030761	0.841115786013704	M_F	99_133	FALSE	1.35797698682207	1.63970046424015	3.06462750986763	6.04296781089296
hsa-miR-6735-5p	6.59230282803736	-0.0971192249752108	0.183885995639797	-0.528149110198971	0.597395847196196	0.843534780520527	M_F	99_133	FALSE	0	0.0989767297369456	0.898308290220996	1.57584512694504
hsa-miR-431-3p	2.72525021762263	0.150618162707371	0.287996527808456	0.522986036857867	0.600983970169827	0.844415824918024	M_F	99_133	FALSE	0	0.0989767297369456	0.960207908215582	1.62477202176902
hsa-miR-4441	33.9489214593634	-0.0930769004506818	0.17757280155884	-0.524161919131745	0.600165924826897	0.844415824918024	M_F	99_133	FALSE	1.04887442159818	1.47930321316561	1.70805206830783	3.36625993402501
