ID	Average_never	Average_former	Average__16	Average_16_	Median_never	Median_former	Median__16	Median_16_	log2FoldChange	pvalue	padj	comparison	treshold
hsa-miR-7111-3p	0.602856368541327	0.476916149090164	0.807517839384698	0.482186415835429	0	0	0	0	0.401272465892189	0.603174825036964	NA	16__vs_former	NA
hsa-miR-7111-5p	0.874861889343373	1.01013037439118	1.05378206321878	0.8570846406251	0.43140369055376	0.314457055205317	0.7175291143981	0.320403265769234	0.0527163584800148	0.917172628248979	NA	16__vs_former	NA
hsa-miR-7112-3p	4.1911627870396	3.20881748216924	3.35646950494424	0.482171220111309	0.90818839222789	0.52973306152897	0.586224734200311	0	-0.725536628788467	0.253127998470539	0.627962872017346	16__vs_former	FALSE
hsa-miR-7112-5p	0.804990259104445	0.642682099837141	1.16811702358851	0.274012591141296	0	0	0.243805739922049	0	-0.462602841611748	0.524257536680258	NA	16__vs_former	NA
hsa-miR-7113-3p	0.472409797127953	0.456252038127926	0.410963997110411	0.140605424977986	0	0	0	0	-0.33389188563992	0.698994771213695	NA	16__vs_former	NA
hsa-miR-7113-5p	127.809120204644	90.2075073657884	109.079422032627	4838.76150482995	65.717212458041	60.474643569114	62.6996225946482	141.590200814397	2.50036206070762	1.27037533259662e-09	1.55332256576587e-07	16__vs_former	TRUE
hsa-miR-7114-3p	1.53890142272442	1.08226672645776	0.824170706931712	0.363062462767374	0.455822389194782	0.318783673957683	0	0	-1.01711898302125	0.14100031573356	0.49242259948993	16__vs_former	FALSE
hsa-miR-7114-5p	7.52914488911547	15.0697829969518	9.00360318560443	5.80311382202609	2.28451856293866	1.12528642880692	2.04857366316557	1.34801168305975	0.53560169165671	0.308344480857665	0.686060093885128	16__vs_former	FALSE
hsa-miR-7150	12.7833375474035	10.5354917721709	8.31848116823098	5.10010650490053	5.51602415983071	4.73812056120269	3.54220533699533	2.99735110554871	-0.811142307019734	0.108399477559143	0.439582993306983	16__vs_former	FALSE
hsa-miR-7150-3p:Novel	10.6886801192924	11.3589895835574	12.2636753111809	26.4630988656056	8.12338943350924	8.69722346890383	9.29966799965476	12.7942579056841	0.701896721832268	0.0199937569769239	0.160342799340522	16__vs_former	FALSE
hsa-miR-7151-3p	0.626141207076469	0.448808447305029	0.917462487567836	0.375838717591434	0	0	0	0	0.113212823868383	0.864953446816377	NA	16__vs_former	NA
hsa-miR-7151-5p	1.34253459845753	1.20335691536084	1.10056430620592	2.17246720466848	0.463798027839677	0	0	0.801121826762051	0.0986534586924336	0.877332685856233	0.973795182860054	16__vs_former	FALSE
hsa-miR-7152-3p	0.310495315465637	0.396918946665244	0.192172324788948	0.0950638420755661	0	0	0	0	-0.4401836232671	0.624500503399845	NA	16__vs_former	NA
hsa-miR-7152-5p	0.268758282904167	0.271878632291031	0.462773840616702	0.163637211906038	0	0	0	0	-0.304581132242993	0.770795921617415	NA	16__vs_former	NA
hsa-miR-7153-3p	0.196715418907189	0.12128572900508	0.134751451836965	2.95339706981124	0	0	0	0	0.612894394397268	0.659654635809268	NA	16__vs_former	NA
hsa-miR-7153-5p	3.70386589478594	5.4480403366934	5.13655764656831	2.04033219419937	0.613717154740156	0.35106903806825	2.04857366316557	0.511246619226749	0.344555331689586	0.632271351349451	0.881011998734784	16__vs_former	FALSE
