ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	never.x	former.x	_16.x	16_.x	never.y	former.y	_16.y	16_.y
hsa-miR-4803-3p:Novel	0.865199899388	-0.52734737158714	0.459934629669812	-1.14657026796552	0.251559270405859	1	_16_vs_former	FALSE	1.047	0.61	0.767	0.648	0.393	0	0.277	0.319
hsa-miR-4804-3p	0.15512028342082	-0.518978573385628	3.66083336346126	-0.14176514521681	0.887265516039492	1	_16_vs_former	FALSE	0.272	0.031	0.039	0.007	0	0	0	0
hsa-miR-4804-5p	3.61811027226676	-0.233789925332171	0.330086852422419	-0.70826791075273	0.478778900541677	1	_16_vs_former	FALSE	3.861	3.25	3.362	3.214	2.667	1.871	2.448	1.004
hsa-miR-483-3p	0.823819166563736	-0.37304369606211	0.615562886286264	-0.606020447906971	0.544501175022758	1	_16_vs_former	FALSE	0.825	0.894	0.758	0.425	0	0	0	0
hsa-miR-483-5p	15.2783785266968	-0.243818955957104	0.361341973592619	-0.674759573411717	0.49982852861246	1	_16_vs_former	FALSE	11.957	18.972	19.302	13.183	6.195	8.384	6.868	5.25
hsa-miR-484	1.57651026905976	0.608400241114228	0.518617145622463	1.17312018364531	0.240747613617623	1	_16_vs_former	FALSE	1.976	0.719	1.627	2.096	0.471	0	0.404	0.169
hsa-miR-484-3p:Novel	27.256091572232	-0.131820443602307	0.252302859259572	-0.522469083343556	0.601343767011831	1	_16_vs_former	FALSE	26.848	25.234	25.741	38.34	18.982	15.72	18.192	16.279
hsa-miR-485-3p	0.473044522614892	-0.837616816928663	0.945698803084672	-0.885712040870235	0.37577271822746	1	_16_vs_former	FALSE	0.478	0.592	0.145	0.414	0	0	0	0
hsa-miR-485-5p	3.89439985582757	-0.584057121017017	0.384623045561275	-1.5185182680999	0.128883797787096	0.966070342475482	_16_vs_former	FALSE	2.662	5.789	3.685	4.341	1.529	2.088	2.025	1.967
hsa-miR-486-3p	85.7773918023234	-0.140669839009859	0.546150665556428	-0.257565993930525	0.796741877273722	1	_16_vs_former	FALSE	37.413	88.81	58.649	513.786	4.792	7.67	3.636	6.149
hsa-miR-486-5p	61.5656512399584	0.119548954343902	0.525170668264251	0.227638292783991	0.819927448055251	1	_16_vs_former	FALSE	20.087	62.513	12.587	492.681	1.721	1.847	1.53	2.253
hsa-miR-487a-3p	0.189426425005142	-0.24223657735533	1.74364615890883	-0.138925306672841	0.889509173045409	1	_16_vs_former	FALSE	0.253	0.152	0.096	0	0	0	0	0
hsa-miR-487a-5p	1.15850382031023	-1.09996730218142	0.624554916281487	-1.76120189515194	0.0782042374131335	0.906987572282205	_16_vs_former	FALSE	1.427	1.007	0.578	0.639	0.147	0	0	0
hsa-miR-487b-3p	0.352226346540139	-0.365816465643546	0.831606119572234	-0.439891502760606	0.660015690466811	1	_16_vs_former	FALSE	0.422	0.274	0.27	0.264	0	0	0	0
hsa-miR-487b-5p	0.956914184138381	-1.03356001589161	0.687334361657985	-1.50372231267248	0.132652881595063	0.966070342475482	_16_vs_former	FALSE	0.88	1.173	0.769	0.725	0	0	0	0
hsa-miR-488-3p	0.50658812343103	-0.415675134261605	0.687753644892932	-0.604395392664645	0.545580798204778	1	_16_vs_former	FALSE	0.484	0.386	0.333	1.557	0	0	0	0.231
hsa-miR-488-5p	0.177095805384414	-0.0818227774711983	1.14817973030247	-0.0712630394978699	0.943188410619512	1	_16_vs_former	FALSE	0.192	0.151	0.19	0.116	0	0	0	0
hsa-miR-489-3p	3.16872237767826	-0.999384235387995	0.438656403359883	-2.27828484374837	0.0227096120794645	0.649090674477568	_16_vs_former	FALSE	3.267	3.532	2.43	1.42	1.631	1.436	1.013	0.768
hsa-miR-489-5p	0.636322231759979	-1.39881414852768	0.698101956893321	-2.00373904515704	0.0450980213890436	0.824213317990386	_16_vs_former	FALSE	0.759	0.661	0.284	0.083	0	0	0	0
hsa-miR-490-3p	1.86820823938625	-0.198034077658627	0.436830006989311	-0.453343576425768	0.650301358979052	1	_16_vs_former	FALSE	1.797	1.843	2.597	0.698	0.666	0.46	0.872	0.244
hsa-miR-490-5p	0.142746601650401	-0.243176571290789	1.3286246051858	-0.183028803125908	0.85477541871851	1	_16_vs_former	FALSE	0.159	0.135	0.11	0.082	0	0	0	0
hsa-miR-491-3p	0.361455188157659	0.127302077167379	1.05564761348873	0.120591450727264	0.90401464075364	1	_16_vs_former	FALSE	0.521	0.144	0.246	0.278	0	0	0	0
hsa-miR-491-5p	8.8711187605097	-1.08996072706611	0.56598700646639	-1.92576987565674	0.0541331144821484	0.831124150718395	_16_vs_former	FALSE	8.676	11.418	4.622	4.78	2.049	1.042	2.433	1.509
hsa-miR-492	2.23581656889723	-0.00456796704543916	0.430479448139929	-0.0106113475688027	0.99153352849427	1	_16_vs_former	FALSE	2.728	1.766	1.631	1.245	1.148	0.777	1.261	0.407
hsa-miR-492-3p:Novel	6.55167602171474	-0.0279156230515409	0.331384532060721	-0.0842393665085906	0.932866119457745	1	_16_vs_former	FALSE	6.658	4.946	4.898	15.777	3.631	3.451	3.636	3.779
hsa-miR-493-3p	2.1629240148306	1.22318623207652	0.617630802814939	1.98044888062848	0.0476531120446756	0.828996349203237	_16_vs_former	FALSE	1.432	1.716	5.529	3.058	0	0	0.349	0.656
hsa-miR-493-5p	2.75585286550055	-0.196810829552696	0.382451209246936	-0.514603758059035	0.606829938477384	1	_16_vs_former	FALSE	2.493	3.126	2.669	2.706	1.14	1.341	1.261	1.478
hsa-miR-494-3p	9.56700104307838	0.903322836704488	0.332224189867101	2.7190158460943	0.00654764712634132	0.475336399791696	_16_vs_former	FALSE	9.133	7.979	14.213	9.531	6.317	4.813	5.631	3.337
hsa-miR-494-5p	1.78375824144857	0.546755262153879	0.425260119286719	1.28569606543623	0.198549154936673	1	_16_vs_former	FALSE	1.726	1.583	2.483	1.453	0.612	0.367	1.013	0.279
hsa-miR-495-3p	0.323814094523943	-0.436874526345728	0.768194906055494	-0.568702711905472	0.569557907110998	1	_16_vs_former	FALSE	0.212	0.397	0.547	0.362	0	0	0	0
