miRNA	SC	SC.p	SC.fdr	PC	PC.p	PC.fdr	DC
hsa-miR-4754-3p:Novel	-0.0583	0.3763	0.847233802816902	-0.0328	0.619	0.858346666666667	0.111
hsa-miR-4758-5p	0.0217	0.7422	0.962962962962963	0.0514	0.4357	0.814852682926829	0.1037
hsa-miR-4767	-0.1935	0.0031	0.23712	-0.0449	0.4957	0.814852682926829	0.162
hsa-miR-4787-5p	-0.017	0.7963	0.968351291512915	0.057	0.3873	0.814852682926829	0.1387
hsa-miR-484-3p:Novel	-0.0156	0.8131	0.968351291512915	0.0383	0.5621	0.831162085308057	0.1135
hsa-miR-5001-5p	-0.062	0.3472	0.842168888888889	-0.0159	0.8099	0.908952517985611	0.1022
hsa-miR-5006-5p	-0.0053	0.9365	0.984998657718121	-0.0409	0.5352	0.814852682926829	0.086
hsa-miR-501-3p	0.0154	0.8154	0.968351291512915	-0.0892	0.1757	0.761366666666667	0.1464
hsa-miR-504-5p	-0.0511	0.4384	0.875169811320755	-0.1528	0.0199	0.288939130434783	0.1916
hsa-miR-5091	-0.0998	0.1297	0.661623529411765	-0.091	0.167	0.752365714285714	0.149
hsa-miR-5091-3p:Novel	-0.0189	0.7749	0.968351291512915	-0.0609	0.3557	0.814852682926829	0.0714
hsa-miR-5100	-0.0614	0.3517	0.842168888888889	0.0589	0.3719	0.814852682926829	0.1483
hsa-miR-5189-3p	-0.0357	0.5887	0.887315942028986	0.0678	0.3038	0.814852682926829	0.1268
hsa-miR-5191	0.0223	0.7349	0.962962962962963	0.0783	0.2346	0.787045161290323	0.1424
hsa-miR-5193	-0.0707	0.2838	0.8268	0.023	0.7276	0.88000608365019	0.129
hsa-miR-5193-5p:Novel	-0.0421	0.5235	0.880296585365854	0.1143	0.0822	0.565669565217391	0.1253
hsa-miR-548aa, hsa-miR-548t-3p	-0.0181	0.7835	0.968351291512915	-0.0223	0.7352	0.88000608365019	0.1001
hsa-miR-548d-5p	-0.026	0.6935	0.962962962962963	-0.0081	0.9018	0.957012244897959	0.0984
hsa-miR-548i	0.0054	0.9344	0.984998657718121	-0.0492	0.4557	0.814852682926829	0.111
hsa-miR-550a-3-5p	-0.1286	0.0504	0.509925	-0.087	0.1867	0.78416	0.1171
hsa-miR-550a-3p	-0.1288	0.0501	0.509925	-0.1025	0.1196	0.7176	0.1442
hsa-miR-550b-3p	-0.1005	0.127	0.661623529411765	-0.092	0.1627	0.746505882352941	0.1185
hsa-miR-551a	-0.0623	0.3449	0.842168888888889	-0.0985	0.1348	0.7368	0.1395
