ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Averageheavy_drinker	Averagelight_drinker	Averageno_coffee	Medianheavy_drinker	Medianlight_drinker	Medianno_coffee
hsa-miR-10399-5p	0.878848860504457	-0.381555630325226	1.11510627706118	-0.342169744870239	0.732223152614481	NA	light_drinker_vs_heavy_drinker	NA	2.40777402068887	0.344763522315542	0.330040709762431	0	0	0
hsa-miR-103a-1-5p	0.672563502039784	0.094073547867059	1.00978284807569	0.0931621566422247	0.925774738219899	NA	light_drinker_vs_heavy_drinker	NA	0.913366065817264	0.654551199529885	0.742961447067935	0	0	0
hsa-miR-103a-2-5p	0.271097450549769	0.481019704057503	1.07511825878895	0.447410970956201	0.654578355951747	NA	light_drinker_vs_heavy_drinker	NA	0.368576765364738	0.215387681555996	0.274025907527353	0	0	0
hsa-miR-103a-3p	1.81853878696884	-0.603755440038182	0.439651292560373	-1.37325978623223	0.169671599368936	NA	light_drinker_vs_heavy_drinker	NA	3.00295251859075	1.40459323679216	1.66085858740167	1.25786779769642	0.934685975057456	1.08811609430851
hsa-miR-103b-3p:Novel	3.420826275816	0.652810841676885	0.608439987490549	1.0729256049875	0.283304496666405	0.675164938505166	light_drinker_vs_heavy_drinker	FALSE	9.96032444414234	2.27363466738256	1.69917491615077	0.624489609151907	0.713528548824718	0.743213749998405
hsa-miR-103b-5p	0.101629749656483	0.819020982841633	3.58741928907728	0.228303668136961	0.819410173096689	NA	light_drinker_vs_heavy_drinker	NA	0.0619326607083732	0.15078697188611	0.102341858828204	0	0	0
hsa-miR-10400-3p	2.04339187758234	-0.296248920596521	0.554609363850675	-0.534157805305798	0.593232359238985	0.861763383924753	light_drinker_vs_heavy_drinker	FALSE	1.3332120328799	1.42726291998055	4.17081101816531	0.624489609151907	0.782149476256504	1.02757997467819
hsa-miR-10400-5p	68.0598091467246	-0.714780042068569	0.442014314392303	-1.61709704594358	0.105857334438274	0.507362357185419	light_drinker_vs_heavy_drinker	FALSE	57.9746637688321	64.0613763291888	105.24826221861	28.4961235685519	27.5523590957097	41.3299403403258
hsa-miR-10401-3p	0.691050681524685	0.227562390511799	0.677512702253786	0.335879149947742	0.736962000521598	NA	light_drinker_vs_heavy_drinker	NA	1.10894555930568	1.00790401780937	0.306591944163271	0	0	0
hsa-miR-10401-5p	71.1227755785168	-0.280137205081098	0.426867044061775	-0.656263370475977	0.511654681328217	0.823616798181213	light_drinker_vs_heavy_drinker	FALSE	85.5567200682544	66.8232072013064	98.1449007816108	28.924866187127	41.026495597333	35.4317102363366
hsa-miR-105-3p	7.99163431510449	0.854013355651581	0.504220206513728	1.69373092275771	0.0903164256058579	0.489975505830675	light_drinker_vs_heavy_drinker	FALSE	2.62530380391894	7.16564938397587	14.3307272520328	2.2256106553447	2.38650683327745	2.89772969555553
hsa-miR-105-5p	2.65646615057765	0.777842049984976	0.458769524584102	1.69549634032498	0.0899813039111221	0.489975505830675	light_drinker_vs_heavy_drinker	FALSE	1.3625599717435	3.1357125808597	3.90421535043276	1.26079755194288	1.8259982838814	1.80054759960413
hsa-miR-10522-3p:Novel	8.95461399540214	0.34226325184668	0.484059936168723	0.707067919224328	0.479524271074728	0.809272091313513	light_drinker_vs_heavy_drinker	FALSE	5.88510571756563	6.52467739733523	13.9696865313428	2.52159510388576	4.89437129117688	4.81649188208081
hsa-miR-10522-5p	0.489270892075583	0.856098690251597	0.636172717672349	1.3457016726274	0.178398746746079	NA	light_drinker_vs_heavy_drinker	NA	0.39783890110169	0.571503546515834	0.516908303900599	0	0	0.0722056570679275
hsa-miR-10523-3p:Novel	12.1374735546483	0.444042241492174	0.385064302812267	1.15316386964247	0.248843130204285	0.65121228518373	light_drinker_vs_heavy_drinker	FALSE	11.5746222653475	16.2573064587151	10.6709431815157	8.35477951100411	9.2226434485307	6.14391943065745
hsa-miR-10523-5p	1.81394708622204	0.016292632498453	0.560652547012675	0.0290601239310604	0.976816638848851	NA	light_drinker_vs_heavy_drinker	NA	1.3026807951804	2.94041887790759	1.37126896784535	0.831875790669184	0.818764999858145	0.854734753899843
hsa-miR-10524-3p:Novel	3.14488076617654	1.61102890262494	0.742139157322648	2.17079086412434	0.0299469848549006	0.335911668731587	light_drinker_vs_heavy_drinker	FALSE	1.28234921646218	3.64126173836645	5.44236016904484	0.522366179117236	0.52443721079909	0
hsa-miR-10524-5p	2.53027537335102	2.27073355652563	0.967738419436765	2.3464332002518	0.0189540634227926	0.305007871079193	light_drinker_vs_heavy_drinker	FALSE	0.617879008971125	2.94142561102648	5.04075954007098	0	0	0
hsa-miR-10525-3p	0.3501207361227	0.0448057078832316	0.92684642753024	0.0483421056092593	0.961443598338333	NA	light_drinker_vs_heavy_drinker	NA	0.38727059819844	0.328200275853786	0.339005054706063	0	0	0
hsa-miR-10525-5p:Novel	0.243935303300073	0.116697494415788	1.20848118084259	0.0965654213451816	0.92307151788871	NA	light_drinker_vs_heavy_drinker	NA	0.316875240632152	0.158905114603779	0.281367012240994	0	0	0
hsa-miR-10526-3p	3.14886803350504	0.537056778641836	0.388310905120077	1.38305870775317	0.166646865467867	0.576978509066695	light_drinker_vs_heavy_drinker	FALSE	2.9260032814477	3.57327001866331	3.4453033778701	2.49562737200755	2.37962032187697	2.82608012031274
hsa-miR-10526-5p:Novel	2.99780100861659	0.734717897270055	0.397226835282538	1.84961798149279	0.0643686292823801	0.427772230353288	light_drinker_vs_heavy_drinker	FALSE	2.59197836376221	3.36499661875414	3.45808968300971	2.10058441281137	1.96100204008372	2.51987841612085
hsa-miR-10527-3p:Novel	9.42257997677755	0.110895083322705	0.396396707055935	0.27975783186074	0.77966330562978	0.922404043012099	light_drinker_vs_heavy_drinker	FALSE	8.35289574414439	5.70063491984206	15.4700550315919	4.99125474401511	4.95145171391163	8.10105733227505
hsa-miR-10527-5p	8.6596657122897	0.0489506562808939	0.435388993232553	0.112429705485798	0.910482703067086	0.977662890515947	light_drinker_vs_heavy_drinker	FALSE	7.55988823616799	4.76599304227931	14.6439409099135	4.20440789537947	4.00437396667677	6.17034715302397
hsa-miR-106a-3p	0.406760736092568	0.543878058388561	1.65653079880753	0.328323541451857	0.742667046335598	NA	light_drinker_vs_heavy_drinker	NA	0.231855058877519	0.160720125214685	0.732999514488664	0	0	0
hsa-miR-106a-5p	0.589689471892411	-0.325883323930193	0.673506053601785	-0.483861016820012	0.628484508168241	NA	light_drinker_vs_heavy_drinker	NA	0.688200973901815	0.577323385516163	0.616532362937593	0	0	0
hsa-miR-106b-3p	1.15606631087463	0.00276796877600954	0.728913863045901	0.00379738802667722	0.996970130004005	NA	light_drinker_vs_heavy_drinker	NA	3.2965871651305	0.819393468307424	0.642352057800721	0	0	0
hsa-miR-106b-5p	15.6553101284904	-0.575698296490102	0.475258678369559	-1.21133673658546	NA	NA	light_drinker_vs_heavy_drinker	NA	13.4712577636595	13.939789730206	22.5092123409473	3.6744090647099	2.30540937259982	4.75533549182365
hsa-miR-107	7.367347359324	-0.968934431777058	0.463536079676215	-2.09031070991037	0.0365898978344867	0.350251185970974	light_drinker_vs_heavy_drinker	FALSE	13.4458348991568	5.81484468357441	4.96388196494579	5.43786827699313	2.38919185949777	2.91803918102062
hsa-miR-107-5p:Novel	0.971753096340496	0.6367910811829	0.771700350353686	0.825179204455519	0.40926985791318	NA	light_drinker_vs_heavy_drinker	NA	1.79504202345318	1.41047798170722	0.488016892522431	0	0	0
