ID	Average_NO	Average_YES	Median_NO	Median_YES	log2FoldChange	pvalue	padj	comparison	treshold
hsa-miR-4706-3p:Novel	18.0345724955031	14.5303848386959	8.8077215969212	9.52252729604728	0.449165427897286	0.206158559624327	0.467300438633791	NO_vs_YES	FALSE
hsa-miR-4707-3p	0.349664238856062	0.539440499861856	0	0	-0.13850807666728	0.844055704507889	NA	NO_vs_YES	NA
hsa-miR-4707-5p	12.5429740225126	9.92431514510151	5.87081494036349	6.42095729397109	-0.237938455625579	0.529631162827086	NA	NO_vs_YES	NA
hsa-miR-4708-3p	0.693775542710165	1.01832218490788	0	0.442915722267829	-0.697916205976627	0.232285311322304	NA	NO_vs_YES	NA
hsa-miR-4708-5p	9.0406504346412	11.4640541636233	3.87991539097549	5.48670789427063	-0.554934213488533	0.196736722889471	NA	NO_vs_YES	NA
hsa-miR-4709-3p	6.29852082770318	5.13185152350712	3.22049930827334	2.76774841505859	-0.311871009809066	0.447752111056844	NA	NO_vs_YES	NA
hsa-miR-4709-5p	0.430814078596601	0.210146642036753	0	0	-0.11871127882655	0.919392489322511	NA	NO_vs_YES	NA
hsa-miR-4710	4.30832739364508	3.24046007907122	0.978747910956142	1.77237199608272	-1.82287002877881	0.000245511363591413	NA	NO_vs_YES	NA
hsa-miR-4710-3p:Novel	65.9095423640141	65.732332929054	10.8965112600703	28.5836741880618	0.130450582862513	0.705900422590337	0.860372229807827	NO_vs_YES	FALSE
hsa-miR-4711-3p	1.24264149377612	4.22728606493168	0	0.400628035491896	-2.14859583015042	0.00264414498637377	NA	NO_vs_YES	NA
hsa-miR-4711-5p	0.638820736621801	0.376957025953774	0	0	-0.080476084684479	0.934276217989673	NA	NO_vs_YES	NA
hsa-miR-4712-3p	2.74657180207107	4.00562589982061	1.69070028840548	1.56035951697215	-0.00637196315695895	0.989497154591355	NA	NO_vs_YES	NA
hsa-miR-4712-5p	1.83434861460418	2.03484381575228	0.869707562521273	1.12289915778428	-0.251324341011986	0.64593877617055	NA	NO_vs_YES	NA
hsa-miR-4713-3p	202.256691587292	220.43713957763	106.936516545252	103.008472211183	-0.328546155851521	0.480602043502824	0.71195126646347	NO_vs_YES	FALSE
hsa-miR-4713-5p	0.600733291922316	0.381450297675072	0	0	-0.0702568901129092	0.946653097613274	NA	NO_vs_YES	NA
hsa-miR-4714-3p	1.02502045648703	1.06770327092672	0.591020394054489	0	-0.0724543461331972	0.901949515976542	NA	NO_vs_YES	NA
hsa-miR-4714-5p	4.70089266987208	3.83689981167231	2.9498104894896	2.67971299621692	0.459706526633946	0.231915383210929	NA	NO_vs_YES	NA
hsa-miR-4715-3p	1.25682685399936	1.29968090262936	0.525526267043778	0.373575472184206	-0.626451662454933	0.337231395640943	NA	NO_vs_YES	NA
hsa-miR-4715-5p	2.89612369532542	2.80064328980307	1.84688191592152	1.40628994784521	-0.490757726558014	0.253590269084985	NA	NO_vs_YES	NA
hsa-miR-4716-3p	10.0750524705737	13.0536264762579	6.30843826677576	7.90386011456936	-0.367398228052403	0.294121239153913	0.549093157806108	NO_vs_YES	FALSE
hsa-miR-4716-5p	0.144908913594782	0.0526203432499249	0	0	-0.140480364695544	0.953210921387405	NA	NO_vs_YES	NA
hsa-miR-4717-3p	2.40278816185165	2.54886199709221	1.57953153965778	1.20028904724354	0.596158116136906	0.218808656192251	NA	NO_vs_YES	NA
hsa-miR-4717-5p	9.02872349363161	22.3952560713087	4.46805879564233	6.36535666301484	-0.114169190493659	0.786888334103222	0.901037568344101	NO_vs_YES	FALSE
hsa-miR-4718	0.567191285077952	0.542937051834273	0	0	0.147161353447839	0.848520878932733	NA	NO_vs_YES	NA
hsa-miR-4718-3p:Novel	9.49237000227462	7.6712124387199	4.78589708184925	3.57846580407662	0.64517127978446	0.196853992272578	NA	NO_vs_YES	NA
