ID	Average__37	Average_37_53	Average__53	Median__37	Median_37_53	Median__53	log2FoldChange	pvalue	padj	comparison	treshold
hsa-miR-3120-3p	2.48369783962101	1.09270428667998	1.51867847313111	0.999702740706565	0.190311681752245	0.539658362145086	-0.22987344116713	0.449661074212293	0.763668581462608	_53_vs__37	FALSE
hsa-miR-3120-5p	2.39725513458383	2.0650937465886	2.00633665066564	1.26236368552234	0.744676465940388	1.07722791169913	-0.197477593712112	0.464973202466314	0.774170075543978	_53_vs__37	FALSE
hsa-miR-3121-3p	7.07517861111708	2.76956855229394	4.2788923667627	1.28082831294193	0.646048265757726	1.06460673883131	-0.200608984700701	0.534757496967973	0.815844203110236	_53_vs__37	FALSE
hsa-miR-3121-5p	0.202092778900762	0.263348751808765	0.224224187301364	0	0	0	-0.201221565823498	0.796442610175544	NA	_53_vs__37	NA
hsa-miR-3122	2.35778226695505	1.33420715107253	2.40112831118472	1.73909343933868	0.807414720880627	1.33043430535533	0.030533047305965	0.892152638587308	0.968753774797078	_53_vs__37	FALSE
hsa-miR-3122-3p:Novel	7.15684506590899	6.3145943634537	10.939547066528	3.70732428658958	2.82615554693004	3.24049653668478	0.479158935530855	0.0633261744270335	0.321248997659786	_53_vs__37	FALSE
hsa-miR-3123	5.87200363849311	8.73090162976593	8.94477546664078	4.97778330776039	4.85289102130149	7.01102799338623	0.416587415466642	0.036459261996101	0.264798894812343	_53_vs__37	FALSE
hsa-miR-3123-5p:Novel	4.51745560923729	4.86639175586571	4.95277424452426	2.6741743596381	1.18323820437622	1.21086412055573	0.650896545944995	0.0271722219887068	0.238689646070232	_53_vs__37	FALSE
hsa-miR-3124-3p	0.291083735930242	0.272271393305289	0.236054913894229	0	0	0	-0.0667630752882781	0.902807339804555	NA	_53_vs__37	NA
hsa-miR-3124-5p	6.99486848924368	3.0433718951773	3.30182114429327	2.04999868402128	2.08509410463309	1.92787076640014	-0.279614512241633	0.228401880406557	0.57869134979805	_53_vs__37	FALSE
hsa-miR-3125	2742.00716707812	2581.06038265246	3772.30111011513	2096.09530853691	1888.98061092819	2121.68748362901	0.062614661317165	0.6919894792743	0.895576732617043	_53_vs__37	FALSE
hsa-miR-3125-3p:Novel	14.9442100034316	10.7543421882535	25.394801712508	9.25876967675345	6.40650586191934	10.7816603609112	0.547504520039318	0.00752570754680518	0.134592415922115	_53_vs__37	FALSE
hsa-miR-3126-3p	0.376599394921905	0.293390928305161	0.185665353566454	0	0	0	-0.489108867706249	0.348092144672194	NA	_53_vs__37	NA
hsa-miR-3126-5p	2.91766047095851	1.64657796758396	2.31378651968782	1.72713844485822	1.14225928146933	0.982025921778873	0.130078202638194	0.601237725262107	0.847535645959291	_53_vs__37	FALSE
hsa-miR-3127-3p	6.15190805641011	2.97668553890753	4.41603266316649	2.043633413038	1.41272811591251	2.04592783490388	0.00404631926686673	0.988996482140863	0.99511632852603	_53_vs__37	FALSE
hsa-miR-3127-5p	29.2451146621287	22.1480201791602	25.9205757600908	16.6260360923407	15.4098274651579	19.5968732814326	-0.358098649197145	0.0598112298387699	0.313994700161943	_53_vs__37	FALSE
hsa-miR-3128	0.302202765866895	0.34148561224008	0.268763409296213	0	0	0	-0.343708024190749	0.50855912355646	NA	_53_vs__37	NA
hsa-miR-3128-3p:Novel	1.62511382018522	1.90419112434071	3.30833877124795	0.555849359653685	0	0.734562928322255	0.0349358162306744	0.924430333233075	0.978176059059045	_53_vs__37	FALSE
hsa-miR-3129-3p	0.512853204291289	0.338946523894631	0.387537805343554	0	0	0	-0.463066233817732	0.340504859672817	NA	_53_vs__37	NA
