ID	Average__37	Average_37_53	Average__53	Median__37	Median_37_53	Median__53	log2FoldChange	pvalue	padj	comparison	treshold
hsa-miR-1180-3p	9.12941112245336	4.62061233257644	5.36666353329324	4.48587280207872	1.92622843314473	2.55796371888846	-0.524737831090706	0.0247108722932212	0.247077946887172	37_53_vs__37	FALSE
hsa-miR-1180-5p	0.910783728025455	1.33179992731873	1.70190056673043	0	0.297870586376155	0.337692404592629	0.552342960419758	0.0932394293932311	NA	37_53_vs__37	NA
hsa-miR-1181	13.714147297292	8.50961850900161	6.8394299710063	5.09714104981192	4.36650114136605	3.86608063239436	-0.52351079564535	0.0222299591306062	0.241322688356334	37_53_vs__37	FALSE
hsa-miR-1181-3p:Novel	129.303119969495	112.685258901396	103.140460458804	82.3034895922629	64.4679258697151	67.5332335940065	-0.330572943174657	0.0505215595253973	0.320919987798177	37_53_vs__37	FALSE
hsa-miR-1182	12.5420230296096	9.05623469238714	12.5297518538426	9.34108209931889	6.54674790294783	7.22746158575234	-0.342878646942701	0.0212930795452813	0.237909215688624	37_53_vs__37	FALSE
hsa-miR-1182-5p:Novel	12.9789156804457	7.50934348072046	10.9081244736669	6.59191480110623	4.97895613441177	4.96003050940206	-0.104961594588301	0.622247138648934	0.863516530784309	37_53_vs__37	FALSE
hsa-miR-1183	5.38123904847483	4.13472761713774	6.1349339030053	2.9782815484626	2.8946483146062	2.43101936521473	-0.202078941109585	0.365085812831112	0.71244265793037	37_53_vs__37	FALSE
hsa-miR-1183-5p:Novel	13.0474068484232	9.32122121424452	9.43782991345361	7.8058959915446	5.93431095016372	5.98078238126486	-0.239638492177441	0.152441376682444	0.502552470388114	37_53_vs__37	FALSE
hsa-miR-1184	62.4716283375753	41.0042729988229	45.286355402022	39.3369346372091	21.6973642468873	24.1533936211464	-0.219638372184846	0.139383242254946	0.494796316192202	37_53_vs__37	FALSE
hsa-miR-1184-5p:Novel	7.75780582383897	8.38401710527478	4.79558236155477	4.36682204845271	2.81695722712358	3.25167473901975	-0.175384359499881	0.384703630973888	0.725296361402903	37_53_vs__37	FALSE
hsa-miR-1185-3p	0.899352802354314	1.0302038758079	1.00253404066436	0	0.245660821268686	0	0.526310368129087	0.0820892456153006	NA	37_53_vs__37	NA
hsa-miR-1185-5p	0.881202493458799	1.1026477586255	1.14070269551718	0	0.245660821268686	0.0571559908603856	0.517126626769023	0.0828943730415653	NA	37_53_vs__37	NA
hsa-miR-1193	7.56102163353112	5.25608629224416	5.35125845785641	5.27613525798085	3.25988539958856	3.44807548847878	-0.0603365072205976	0.71276745547317	0.905626379239946	37_53_vs__37	FALSE
hsa-miR-1193-3p:Novel	27.5057367533454	26.4235679518004	18.5242759162034	9.43108428722759	12.1995581855216	10.1030077274047	0.206060050613094	0.389321206227638	0.728097491904263	37_53_vs__37	FALSE
hsa-miR-1197	8.76915843539312	5.56511528364002	7.94735544607751	5.44873787444058	2.44167408440588	2.52378654404974	-0.069973433529669	0.711636906570733	0.905626379239946	37_53_vs__37	FALSE
hsa-miR-1197-5p:Novel	6.38158231751734	3.13506009405897	3.0240142082955	1.36317505403806	1.00961016083815	1.19581822112825	-0.995834739981204	0.000831993674680474	0.0805647208315592	37_53_vs__37	FALSE
hsa-miR-1199-3p	6.74579394698466	3.96268596485977	4.81954534499379	4.88013879226504	2.8152826581973	3.04462422068034	-0.419623245110266	0.017265879051555	0.222588150586182	37_53_vs__37	FALSE
hsa-miR-1199-5p	4.39919905399725	4.04368789795624	2.97712831574902	2.19356329922002	1.47755098513622	1.99558536173601	-0.178553941107126	0.441563323124321	0.765815793239493	37_53_vs__37	FALSE
hsa-miR-1200	6.39518090823225	4.87350812904678	3.61673996891082	2.1587358640537	2.36647640875243	2.16920400873169	-0.282319430676629	0.253970036016044	0.612268012138263	37_53_vs__37	FALSE
hsa-miR-1200-3p:Novel	9.39378506913088	8.32333199975254	7.798417711732	6.04015332017505	5.58726347555641	4.1223980810124	-0.057842246602122	0.778274936816962	0.923439901206238	37_53_vs__37	FALSE
hsa-miR-1202	32.8483402399081	38.1544037665216	34.3443723182691	21.4714587691065	22.2972641398475	21.3871257644054	0.118173938697094	0.550170606921802	0.834593009455789	37_53_vs__37	FALSE
hsa-miR-1202-3p:Novel	71.9002833944371	29.9463411089935	22.7988830210385	16.1161640903742	14.3740636673376	14.5441916731732	-0.74737487046374	0.00108104617442298	0.0843722022499442	37_53_vs__37	FALSE
hsa-miR-1203	378.91280491705	326.947357629579	275.161281981316	171.651732703794	130.15751914793	115.219981130642	-0.123468611263287	0.553063183615482	0.836070363436066	37_53_vs__37	FALSE
hsa-miR-1203-3p:Novel	2.56924800438254	3.5379321426362	2.70092749366992	1.44609848418817	0.981743039151685	1.19264020520915	-0.0786517892957319	0.761253311135237	NA	37_53_vs__37	NA
hsa-miR-1204	21.5985586689809	17.2125791434185	12.7269607318693	6.11633930835675	4.02125291607809	4.65872321394807	-0.14953041945941	0.58977629122254	0.849570310413956	37_53_vs__37	FALSE
hsa-miR-1204-3p:Novel	1.4458608928911	2.03228787249035	1.80835428358232	0.771160221306188	0.888229892263476	0.950317423035373	0.207326913278532	0.392112210036345	NA	37_53_vs__37	NA
hsa-miR-1205	1.5673725827698	0.980940988948057	1.1738145919943	0.43735306120618	0.372095653728755	0.520221291130387	0.0576279892148941	0.836469318111025	NA	37_53_vs__37	NA
hsa-miR-1205-3p:Novel	2.53776559044994	1.59975199170655	2.3147463519833	1.23029067527819	0.752102584789743	1.72536498304582	-0.386181913663927	0.0869334514436711	NA	37_53_vs__37	NA
hsa-miR-1206	0.284674345720703	0.19564491512952	0.14163783860133	0	0	0	-0.178728537263796	0.777255145800716	NA	37_53_vs__37	NA
hsa-miR-1206-3p:Novel	1.58453597066244	1.28261697229959	1.1718107920023	0.873698622658202	0.394956383472435	0.235921526117979	-0.626578920562679	0.0203269439152036	NA	37_53_vs__37	NA
hsa-miR-1207-3p	0.301329075721917	0.283032546115314	0.292352511917726	0	0	0	0.0645192546062593	0.878562270114772	NA	37_53_vs__37	NA
hsa-miR-1207-5p	6.71909881153211	5.61595932948859	5.40527597383548	4.52194756336149	3.77992354043453	4.92442692634177	-0.509641344415944	0.00219705006836006	0.109413093404331	37_53_vs__37	FALSE
hsa-miR-1208	3.36037433957294	3.77856001928805	3.02687752332741	2.3073595632244	1.88974255822289	1.61997428973779	0.160696939994296	0.464945305170232	NA	37_53_vs__37	NA
hsa-miR-1208-3p:Novel	10.0596403080141	8.82296283738986	11.0361212678342	6.78793579699751	5.53499660689439	7.63344720986925	-0.29701385043376	0.0866590849472554	0.39232931185212	37_53_vs__37	FALSE
hsa-miR-12113	1.49686179424693	0.765013701193769	1.36024741978885	0.619811722366727	0.295403095824552	0.558970380283015	-0.164216618818596	0.493011879534596	NA	37_53_vs__37	NA
hsa-miR-12113-3p:Novel	4.33075285724217	3.2692926675784	2.87061393020707	2.13200744893458	1.41307777346502	1.35381394871339	0.0816069755304284	0.685160017610086	NA	37_53_vs__37	NA
hsa-miR-12114	3.20439566836732	5.80658619642336	3.90566498076495	1.09384873077096	0.768093288015154	0.982025921778873	0.670129463508255	0.0295482102043759	0.262322818071667	37_53_vs__37	FALSE
hsa-miR-12114-3p:Novel	60.2402225114984	43.0230608970539	39.540119999894	24.4919407937385	2.7487706465269	5.55921738342155	0.375659525207651	0.0787695573210004	0.374920925217705	37_53_vs__37	FALSE
hsa-miR-12115	3.03213875783203	2.25167847366548	2.88958715433562	2.0019176024435	1.48838261491502	1.38309484176219	-0.2948145894984	0.183744609250379	NA	37_53_vs__37	NA
hsa-miR-12115-3p:Novel	18.585077264193	12.8697961722601	12.7791489115522	12.6169360942304	4.03844064335262	5.38742034150162	0.0871506264588616	0.610948259749068	0.860417586244206	37_53_vs__37	FALSE
hsa-miR-12116	3.39196425251824	3.80850293041395	4.57537381066412	3.03386588492628	2.23402939782116	2.83930226309471	0.230434751490177	0.237292644803941	0.589828609165436	37_53_vs__37	FALSE
hsa-miR-12116-3p:Novel	3.29784107275201	3.04867813744563	3.20632908797654	2.52275015514211	2.06157798489518	2.36051629295257	0.0322481447611026	0.860649700803735	NA	37_53_vs__37	NA
hsa-miR-12117	5.20808954939352	4.0157088623213	4.35176653001558	1.65466011281501	1.48838261491502	1.50818261182708	0.0622462583099894	0.817453177669075	0.936478132553735	37_53_vs__37	FALSE
hsa-miR-12117-3p:Novel	20.1082138181955	29.6398836740091	24.0783018159941	10.0487088635955	9.77965619876567	13.7886290651956	0.165994859014712	0.46640524917601	0.780926368216892	37_53_vs__37	FALSE
hsa-miR-12118	15.5776436933769	25.496450743226	26.7934707022632	2.86142760519611	3.57444703651386	3.69794088152177	0.406530308849264	0.20872532831124	0.567112013592721	37_53_vs__37	FALSE
hsa-miR-12118-3p:Novel	76.5665163494559	81.4641544324169	73.5884501399351	62.2039619245567	67.268311550153	59.034171710851	0.03558370709084	0.794069630300149	0.932029202433105	37_53_vs__37	FALSE
hsa-miR-12119	19.2654464245499	14.5498921128343	16.4444411946851	12.1738700698899	7.55984708086906	10.3000442688665	-0.246782314340758	0.206151743615688	0.564972467173182	37_53_vs__37	FALSE
hsa-miR-12119-3p:Novel	39.9494744032601	19.0588565211431	32.3007618048098	17.6849883391826	3.46259968084343	3.65632428869314	-0.347885896151702	0.0474995023762177	0.314797082288013	37_53_vs__37	FALSE
hsa-miR-12120	5.2577188367205	3.45872981125617	3.49252306267265	2.35653855442102	1.82328955677913	1.51216946480865	-0.03014436365466	0.885343750505449	0.9614667645676	37_53_vs__37	FALSE
hsa-miR-12120-3p:Novel	31.0687228036852	40.0043385372944	27.549679788543	14.4911934142073	12.889702895664	15.219182132482	0.0639380341091561	0.768680406294233	0.91893686431471	37_53_vs__37	FALSE
hsa-miR-12121	203.399912675992	205.345593750851	175.72700262237	56.0815338416712	51.61800413652	61.3421081317626	0.00185034790416622	0.994095982936481	0.99810443448058	37_53_vs__37	FALSE
hsa-miR-12121-3p:Novel	13.6062822468083	10.6871942192617	11.0510022129256	8.43300006916193	5.86186777274175	6.79396216122939	-0.145890287280654	0.460048573375155	0.776324961242803	37_53_vs__37	FALSE
hsa-miR-12122	3.74079221721431	2.70425246337993	2.97553345824202	2.06754212189922	1.88974255822289	2.26251970036669	-0.171105295602739	0.392198114518972	NA	37_53_vs__37	NA
hsa-miR-12122-3p:Novel	6.72201716324084	4.50911522410257	5.37912240910486	3.17236710747215	2.49616255922476	2.90695939205109	-0.351446814321932	0.118203853184322	0.458551489729413	37_53_vs__37	FALSE
hsa-miR-12123	20.9841294892943	33.5046233633272	29.4601139516891	15.4922250429838	18.0773908448963	11.424537238904	0.11760341956234	0.553011776012595	0.836070363436066	37_53_vs__37	FALSE
hsa-miR-12123-3p:Novel	2.64630544550747	1.64805833021711	1.36789228620632	0.807655141137365	0	0.471956446577833	-0.30268489844482	0.29963646593781	NA	37_53_vs__37	NA
hsa-miR-12124	11.2846307944118	8.34959251657599	8.64957054129497	8.3569536253048	4.52233786030408	5.24702274821874	-0.123606720234541	0.452383763175018	0.770793317111568	37_53_vs__37	FALSE
hsa-miR-12124-5p:Novel	18.7708984780932	15.5398671874229	13.1700071068063	11.7630569873865	7.0994292262573	6.85087513860761	0.116848090560776	0.541748625558107	0.830490637069288	37_53_vs__37	FALSE
hsa-miR-12125	5.53060761412422	6.53223440777348	7.14305747936937	3.91448757951894	2.69121651332715	3.10092319737614	-0.128867232052375	0.552685755683576	0.836070363436066	37_53_vs__37	FALSE
hsa-miR-12125-5p:Novel	4.424215148474	2.1857281713761	7.66050453104919	2.06066221347625	0.606611377662687	1.195075442263	-0.629361656031006	0.0164430068284021	0.21913454010047	37_53_vs__37	FALSE
hsa-miR-12126	7.26339936992231	5.63254910754703	6.03567285256867	3.94813487067081	3.87628959454636	3.82939867352567	-0.00660465019953869	0.969655509998628	0.984752715093293	37_53_vs__37	FALSE
hsa-miR-12126-5p:Novel	112.615066113732	181.18347984582	67.7782982334987	38.6427837440361	39.4561134714112	26.4210930245992	0.677233818672993	0.00828979891877857	0.16518976894114	37_53_vs__37	FALSE
hsa-miR-12127	63.2741723155047	95.0353436552003	38.9531669938326	26.4929068050271	22.5596835974599	23.0484297075374	-0.0846425561381145	0.691325840289076	0.896563199124896	37_53_vs__37	FALSE
hsa-miR-12127-5p:Novel	10.5268491970204	7.18538671640334	7.62359687984698	6.63976430088908	4.32697992888846	2.90081306191863	-0.0943014637284065	0.632969760062577	0.868135072580326	37_53_vs__37	FALSE
hsa-miR-12128	49.1744697814674	17.50105255806	16.0071058759777	16.1314554375466	11.656357131089	13.0825138286548	-0.511718722435656	0.00705813001143048	0.152346043620062	37_53_vs__37	FALSE
hsa-miR-12128-5p:Novel	4.66028732406885	3.45458786561663	4.48803569270634	3.09437357369169	2.63628616488071	2.66664985474111	-0.104607543736758	0.570685361489978	0.83941315196374	37_53_vs__37	FALSE
hsa-miR-12129	2.95028743750028	2.01919270068018	3.05432099423231	1.69227852046199	1.00961016083815	1.22113362488116	-0.0928846966691825	0.668243650677954	NA	37_53_vs__37	NA
hsa-miR-12129-5p:Novel	4.77716380146351	3.67483063638512	2.79078956255529	2.33136114362215	0.775451411448088	0.726709133198084	0.122193443536615	0.555911403085357	0.836771790587186	37_53_vs__37	FALSE
hsa-miR-12130	2.03494273004234	1.75769774789977	1.56196362751455	1.29523875947956	0.901282462254612	0.829281992745296	-0.241559553432583	0.310502276817062	NA	37_53_vs__37	NA
hsa-miR-12130-5p:Novel	1.90021929144955	1.77454264433831	1.37231807238533	0.938227463054628	0.606611377662687	0.602961697573727	0.0473450149579669	0.850985448834311	NA	37_53_vs__37	NA
hsa-miR-12131	3.81737340738735	2.29175394469367	2.59413799331655	1.73832581897969	0.989246309927337	1.47282981699664	-0.545867317347305	0.0272300168739789	NA	37_53_vs__37	NA
hsa-miR-12131-5p:Novel	1.58618700297104	0.937605945627934	1.48151268866051	0	0	0.477838661721747	-0.814932828362195	0.0153730003636682	NA	37_53_vs__37	NA
hsa-miR-12132	8.63460722928595	6.79485682725812	6.41950163825957	2.68673810930001	1.92622843314473	1.70194649060675	0.0184287174371003	0.941557609352438	0.980953325224925	37_53_vs__37	FALSE
hsa-miR-12132-5p:Novel	2.149725901123	1.63676872715746	2.12552403136477	1.39055090232904	0.989246309927337	1.22901616623327	-0.394476090673135	0.0591450681800989	NA	37_53_vs__37	NA
hsa-miR-12133	0.700368646637022	0.8859928559401	0.783706269593474	0	0	0	0.175831717783123	0.540488377929845	NA	37_53_vs__37	NA
hsa-miR-12133-5p:Novel	0.299498124477804	0.355628250391535	0.480852363364221	0	0	0	0.218604199859345	0.631758554443265	NA	37_53_vs__37	NA
hsa-miR-12135	3.10608413672187	2.26299293552101	2.66987415577653	1.35714938790067	1.31698571952344	1.45246182637858	-0.402973563645225	0.107496372841559	NA	37_53_vs__37	NA
hsa-miR-12135-5p:Novel	1.89134550210562	2.11384733664958	2.08965848433618	0.680073780002854	0	0.660267293742371	0.0983471742335742	0.739335050001231	NA	37_53_vs__37	NA
hsa-miR-12136	108.943774189899	96.4250148396726	110.826566746358	59.9730621762396	64.0933050168075	75.418631878751	0.031012457838808	0.852511877498246	0.948868583958776	37_53_vs__37	FALSE
hsa-miR-12136-3p:Novel	22.1010200066604	25.8866831099499	30.31993612464	16.8271623696572	16.7767715118686	20.6194855388081	0.0158145572683365	0.920178606472094	0.973828071972471	37_53_vs__37	FALSE
hsa-miR-122-3p	0.209681210531582	0.0749524919106211	0.117918675831095	0	0	0	-0.32676933213371	0.638844549115888	NA	37_53_vs__37	NA
hsa-miR-122-5p	16.507941671172	13.7140468757629	16.8886601241129	11.1312808977816	9.44068348121119	10.3958240306803	-0.127790848017565	0.428381161900617	0.754830733446576	37_53_vs__37	FALSE
hsa-miR-1224-3p	1.14348740675141	0.608381090621857	0.870189369257839	0	0	0	-0.0490734575892807	0.878960142375632	NA	37_53_vs__37	NA
hsa-miR-1224-5p	6.5964415570877	6.42114569177125	8.15282319276821	5.02922165707297	3.76612309268673	4.40921801633179	-0.0559790527912685	0.737200177286684	0.907443438566872	37_53_vs__37	FALSE
hsa-miR-1225-3p	0.997453110213042	2.06107510339249	2.24557093135873	0.505902359677697	0.687192661631725	0.751579111291498	0.878826043387962	0.00226228574096713	NA	37_53_vs__37	NA
hsa-miR-1225-5p	2.17104943139282	2.04440186545241	2.00597659628027	1.35347828590244	0.939277938003044	1.22501668143818	-0.45813208923798	0.0462980135634068	NA	37_53_vs__37	NA
hsa-miR-1226-3p	1.72105145566661	0.493001040138468	0.81469809291202	0	0	0	-0.544895327009782	0.257495599610735	NA	37_53_vs__37	NA
hsa-miR-1226-5p	4.5667979508676	3.39016336121618	3.26389552811155	2.1849514711714	1.59869121074775	1.50355904016742	0.00526382380682577	0.98058151695981	0.990813671919391	37_53_vs__37	FALSE
hsa-miR-1227-3p	0.20359903006613	0.177762893222035	0.263759118824027	0	0	0	0.171961271308994	0.762240153639747	NA	37_53_vs__37	NA
hsa-miR-1227-5p	7.41226006397458	4.27517770928109	5.41823694888399	3.1580890470828	1.41307777346502	1.91566022714512	-0.23179060802567	0.259685984829987	0.617218421145878	37_53_vs__37	FALSE
hsa-miR-1228-3p	1.46392272131996	2.42931482346076	2.35139823496862	0.433913162009405	0.768093288015154	0.564685793670451	0.444884722764771	0.157486357906814	NA	37_53_vs__37	NA
hsa-miR-1228-5p	6.54371638591015	5.95983510514321	5.20879554125882	3.66384160371291	3.43279101876324	3.68236840017336	-0.324218291305171	0.111717063207819	0.446772414727992	37_53_vs__37	FALSE
hsa-miR-1229-3p	0.172149052421056	0.227177765970522	0.136313549310259	0	0	0	-0.0964966820111925	0.894495519234909	NA	37_53_vs__37	NA
hsa-miR-1229-5p	53.498916295164	37.6942809952971	47.5596551686267	24.5132519293325	16.3501480978327	21.3289931827649	-0.632498598077739	0.00111334518172617	0.0843722022499442	37_53_vs__37	FALSE
hsa-miR-122b-3p	0.77120406764304	0.421683752076726	0.460964624955205	0	0	0	-0.135171777447567	0.743232251252034	NA	37_53_vs__37	NA
hsa-miR-122b-5p	1.75311788623757	3.80158634233154	1.04378865413789	0.256530201026384	0.201928883456661	0	0.622419778317175	0.0523882638906712	NA	37_53_vs__37	NA
hsa-miR-1231	29.6624970711742	15.790048822101	22.0941966359405	16.5264894254454	11.7728389148677	14.9609752867754	-0.648279491026972	6.19842375627176e-05	0.0271657556685456	37_53_vs__37	TRUE
hsa-miR-1231-3p:Novel	33.7905043924976	29.0729167721178	27.7937333709501	21.4098073655925	14.1272811591251	15.7502657601481	-0.293108655255066	0.121935181096659	0.46202830576408	37_53_vs__37	FALSE
hsa-miR-1233-3p	14.6136912378276	10.9384841347829	16.3370695571649	10.9048642792904	8.00813232739917	10.0374728699332	-0.207166536928201	0.229882277667581	0.585796505810811	37_53_vs__37	FALSE
hsa-miR-1233-5p	8.73416121589299	6.36302214548037	8.21346369719869	3.96483556312666	4.30124787479728	3.7962900010518	0.0143619723135179	0.946524854463941	0.981537781849916	37_53_vs__37	FALSE
hsa-miR-1234-3p	0.210877557500928	0.25760267801619	0.214416782244547	0	0	0	-0.341507654909603	0.634045435812338	NA	37_53_vs__37	NA
hsa-miR-1234-5p:Novel	5.32337689963402	3.99927089184826	7.29489868381968	2.98997023443614	2.25426705120731	2.59820645930549	-0.320868272288663	0.165448676598504	0.508601487321329	37_53_vs__37	FALSE
hsa-miR-1236-3p	0.273157242089125	0.109701457802271	0.192671308710798	0	0	0	-0.372283801763903	0.562227542750362	NA	37_53_vs__37	NA
hsa-miR-1236-5p	8.80557838030755	8.39802408160606	12.3920646234327	6.09480341310059	5.40614427026272	6.12165204152691	-0.039389273544243	0.831934019978349	0.940997996735644	37_53_vs__37	FALSE
hsa-miR-1237-5p	5.33253965463747	6.42092494387435	6.80168408969595	4.0719451298997	3.84634344037493	4.64145238326364	0.335278521521934	0.0628195022949852	0.343435765512981	37_53_vs__37	FALSE
hsa-miR-1238-3p	0.342669524522001	0.288036897737464	0.241262077482583	0	0	0	-0.357585692857465	0.54680263631515	NA	37_53_vs__37	NA
hsa-miR-1238-5p	1.36197070075209	0.877036797285406	1.35769305481739	0.842452774895635	0.295510197027245	0.649794522532392	-0.370799137817444	0.135586998578442	NA	37_53_vs__37	NA
hsa-miR-124-3p	9.76362775763169	12.7031100236783	11.3352317293498	7.70521345901105	7.8991276694487	8.0809532025846	0.0706561685134857	0.684700357765163	0.894771122565197	37_53_vs__37	FALSE
hsa-miR-124-5p	48.9573621557324	34.4337348255945	33.4968232857371	19.5612603178107	16.709411241964	23.9655310496072	-0.221007673267567	0.254917703532574	0.613599693251882	37_53_vs__37	FALSE
hsa-miR-1243	0.289680181563067	0.43955218501494	0.562215730735367	0	0	0	0.0560036648924442	0.916415734074486	NA	37_53_vs__37	NA
hsa-miR-1243-3p:Novel	6.77981393518392	7.20108148227689	6.75221887199919	4.96594992885727	3.88545237702968	4.62961762981166	0.164555924522611	0.371543914659861	0.715789463999389	37_53_vs__37	FALSE
hsa-miR-1244	7.25874765937987	5.20586733829796	4.95411421738989	3.08830369014714	2.7936317377782	2.68363151330345	-0.304652262028314	0.214784246697838	0.571555636632569	37_53_vs__37	FALSE
hsa-miR-1244-5p:Novel	1.0397316181211	0.985160793662223	0.80868094891064	0	0.201853680220157	0.176558372157946	-0.257704868034068	0.383360737168075	NA	37_53_vs__37	NA
hsa-miR-1245a	0.664303361559914	0.810698738035723	0.743844052864696	0	0	0	0.358357130201919	0.343235795066236	NA	37_53_vs__37	NA
hsa-miR-1245a-5p:Novel	0.158422781797866	0.135816277968099	0.259461287414791	0	0	0	-0.146765938042379	0.846706478503989	NA	37_53_vs__37	NA
hsa-miR-1245b-3p	0.491781020974294	0.349140215148065	0.216395274371824	0	0	0	0.271203067608513	0.656732162776368	NA	37_53_vs__37	NA
