ID	CMa001	CMa002	CMa003	CMa004	CMa005	CMa007	CMa009	CMa010	CMa010b	CMa011	Cii001	Cii002	Cii003	Cii004	Cii005	Cii006	Cii007	Cii008	Cii009	Cii010	Cii011	Cii012	Cii013	Cii014Zymo	Cii014	Cii015	Cii016	Cii017	Cii018	Cii019	Cii020	Cii021	Cii022	Cii023	Cii024	Cii025	Cii026	Cii027	Cii029	Cii030	Cii031	Cii032	Cii033	Cii034	Cii035
hsa-miR-3202-1-5p:Novel	0	13	4	4	12	2	0	9	0	2	1	3	10	0	18	4	0	30	4	1	1	0	1	15	1	0	0	4	1	1	6	22	1	0	2	5	4	0	3	1	5	6	0	8	2
hsa-miR-3202-2-3p:Novel	2	13	8	3	21	4	3	20	0	41	0	6	20	5	38	5	0	24	7	0	5	1	0	9	1	2	3	5	4	4	13	25	2	2	4	8	5	3	6	3	9	7	4	13	13
hsa-miR-3202-2-5p:Novel	0	7	6	7	16	1	0	10	2	2	0	0	11	0	17	5	0	0	3	1	3	0	1	14	0	0	2	4	0	1	4	17	0	0	0	7	5	2	11	1	3	3	1	2	10
hsa-miR-320a-3p:mirBase	17	28	21	30	382	31	3	77	5	126	49	130	49	39	49	87	8	160	44	164	140	94	45	31	3	5	9	111	37	6	104	27	8	30	30	29	29	57	27	11	33	75	15	15	85
hsa-miR-320a-5p:mirBase	5	6	12	3	11	5	0	12	8	6	10	8	9	3	7	3	1	4	9	4	0	7	3	8	2	3	1	10	7	2	9	19	7	5	30	5	12	4	12	9	2	4	4	20	14
hsa-miR-320b-1-3p:Novel	2	6	2	0	34	2	3	31	1	14	2	4	9	5	5	6	1	1	2	0	0	1	1	2	0	2	0	1	4	6	0	12	4	1	15	2	1	0	10	1	0	6	10	7	23
hsa-miR-320b-1-5p:Novel	1	6	3	1	9	4	17	14	0	3	2	6	8	3	26	7	2	5	3	0	2	1	6	5	1	5	2	7	2	2	3	11	6	3	4	7	2	1	4	6	3	3	2	4	2
hsa-miR-320b-2-3p:Novel	6	9	0	1	87	3	2	43	11	12	4	2	9	1	14	5	2	4	9	0	4	0	1	1	2	5	1	7	2	0	6	27	3	9	26	7	4	2	10	6	2	15	1	10	10
hsa-miR-320b-2-5p:Novel	2	6	1	4	0	3	0	5	0	2	4	8	12	2	3	3	1	1	3	1	1	4	5	0	1	0	2	8	3	1	4	5	3	2	24	1	1	0	3	1	0	7	2	6	4
hsa-miR-320c-1-3p:Novel	0	2	2	5	5	0	2	10	0	2	0	9	9	2	3	0	1	2	65	4	33	54	2	53	6	7	0	2	5	7	4	10	5	36	69	352	25	8	4	1	0	556	46	9	68
hsa-miR-320c-1-5p:Novel	1	5	0	0	33	5	11	23	4	10	5	6	6	5	5	7	7	3	4	2	7	0	5	5	0	4	7	6	5	2	12	15	8	4	13	6	4	4	12	5	8	7	5	12	10
hsa-miR-320c-2-3p:Novel	47	9	10	11	101	8	5	121	1	77	7	31	23	18	18	12	9	24	18	4	6	10	4	30	3	26	13	13	6	9	23	89	7	4	88	21	22	15	47	28	8	22	11	20	32
hsa-miR-320c-2-5p:Novel	5	6	0	7	68	2	1	60	4	74	2	7	7	26	41	27	3	2	0	10	9	1	3	14	2	4	10	11	6	8	11	52	13	1	11	9	3	4	13	10	9	6	6	8	10
hsa-miR-320d-1-3p:Novel	21	5	1	10	78	3	2	168	3	135	4	4	22	2	35	25	3	5	4	4	2	1	0	7	0	10	4	9	3	5	10	21	22	4	12	9	3	2	19	15	4	11	3	12	20
hsa-miR-320d-1-5p:Novel	83	58	10	73	75	18	34	252	11	69	11	44	65	30	55	29	19	17	33	17	17	7	10	27	2	30	11	46	11	9	27	84	23	10	124	34	10	4	31	34	43	34	16	89	52
hsa-miR-320d-2-3p:Novel	4	16	5	13	18	9	6	28	0	44	3	12	16	2	24	9	1	6	52	1	9	86	3	59	4	5	6	18	9	18	7	38	8	34	20	426	28	11	9	3	5	659	57	19	50
hsa-miR-320d-2-5p:Novel	6	11	3	18	50	3	3	44	3	47	4	9	15	3	12	19	2	9	7	6	5	2	1	10	3	5	1	6	2	3	12	28	8	7	24	3	2	3	21	3	19	22	5	5	4
hsa-miR-320e-3p:Novel	6	32	14	8	73	8	12	87	5	124	12	41	19	22	13	16	3	54	4	4	4	2	28	11	1	25	6	14	7	5	3	75	11	10	59	18	8	2	63	10	10	13	9	3	19
hsa-miR-320e-5p:Novel	672	824	308	564	6863	287	416	5743	272	4471	478	1293	1906	316	732	3927	572	1275	184	169	2099	420	352	1701	143	263	2241	1745	1035	417	1509	2973	3431	135	982	806	537	429	4130	929	905	352	750	1983	2767
hsa-miR-323a-3p:mirBase	0	0	0	0	8	0	1	9	0	1	0	0	8	2	2	2	0	0	0	0	0	1	0	2	0	1	0	0	1	3	0	0	0	0	0	0	0	0	2	0	0	3	0	2	2
hsa-miR-323a-5p:mirBase	17	99	23	78	150	27	21	60	7	54	19	58	75	19	36	34	20	14	63	17	27	11	34	327	39	21	15	98	16	6	57	41	10	34	90	47	38	16	35	19	120	24	60	39	67
hsa-miR-323b-3p:mirBase	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-323b-5p:mirBase	6	9	4	5	6	4	7	15	1	3	7	7	4	13	25	1	1	0	4	1	18	2	46	5	1	15	2	24	7	4	14	8	6	6	9	4	4	1	3	3	3	7	5	9	58
hsa-miR-324-3p:mirBase	30	4	4	6	716	1	12	1255	54	5314	4	9	13	14	24	284	2	797	4	1	9	10	3	12	1	45	375	8	309	6	6	73	15	0	14	5	2	18	124	70	28	2	8	43	17
hsa-miR-324-5p:mirBase	35	19	4	8	818	3	21	1731	61	6336	6	17	13	16	16	304	3	1048	16	0	10	9	1	6	2	34	384	15	342	11	1	95	11	0	17	6	2	18	156	82	31	18	15	46	13
hsa-miR-325-3p:Novel	2	4	3	0	4	0	1	6	0	5	2	8	0	2	3	6	4	8	2	1	1	3	7	2	0	6	1	1	1	9	8	6	3	2	5	13	9	0	14	0	0	0	6	6	19
hsa-miR-325-5p:Novel	1	1	0	1	3	0	1	15	1	2	1	2	0	2	1	9	0	0	0	0	0	1	0	1	0	0	2	3	0	0	2	5	6	0	4	0	0	0	3	1	4	0	2	3	9
hsa-miR-326-3p:Novel	9	15	7	6	22	6	4	227	10	40	6	18	12	7	6	20	9	35	3	1	6	9	9	8	0	6	10	13	4	13	9	17	49	7	28	9	14	7	74	7	2	14	49	18	61
hsa-miR-326-5p:Novel	74	34	110	65	3333	96	98	6944	144	2351	131	55	176	260	69	498	409	567	19	23	54	46	20	104	10	204	352	57	258	100	360	360	1047	9	243	66	61	191	3421	564	93	66	164	104	278
hsa-miR-328-3p:mirBase	0	0	0	0	0	0	0	2	1	1	1	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	1	1	1	0
hsa-miR-328-5p:mirBase	18	22	6	8	25	5	3	31	3	32	6	16	18	10	100	14	3	13	6	4	6	3	3	43	4	6	62	8	4	7	22	16	1	9	14	8	24	1	26	7	6	34	17	7	30
hsa-miR-329-1-3p:Novel	4	6	2	17	24	4	35	91	4	53	3	8	5	7	9	10	1	5	2	4	2	3	6	2	2	9	2	6	1	7	8	16	12	1	7	2	5	4	29	4	1	10	4	14	18
hsa-miR-329-1-5p:Novel	0	0	0	0	5	0	1	10	1	1	0	2	3	0	1	1	0	1	1	1	1	0	1	2	1	1	1	0	0	1	2	1	2	0	2	0	0	0	7	0	0	0	0	1	2
hsa-miR-329-2-3p:Novel	4	10	10	3	35	8	18	82	3	90	11	3	10	15	13	6	4	9	3	0	0	4	1	4	1	4	1	7	3	3	4	17	8	0	12	5	2	1	29	89	3	9	3	7	21
hsa-miR-329-2-5p:Novel	1	1	0	0	1	0	0	12	1	1	0	0	4	0	1	1	0	2	0	0	2	0	0	2	0	2	0	0	0	1	1	0	1	0	3	1	0	0	6	1	0	1	2	0	1
hsa-miR-330-3p:mirBase	1	2	0	4	6	1	1	19	0	4	3	3	2	1	4	6	1	0	1	0	1	1	2	5	0	0	1	1	0	2	7	3	3	0	3	1	0	0	1	5	1	0	1	1	1
hsa-miR-330-5p:mirBase	1	0	0	2	2	0	0	1	0	1	0	9	0	1	2	0	0	2	0	0	0	0	1	2	0	3	0	0	0	1	5	1	3	1	32	0	2	0	2	0	1	2	1	3	11
hsa-miR-331-3p:mirBase	0	2	0	0	0	0	0	0	1	2	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	1	0	0	0	3	0	0	0	0	2	1	0	0	1	0	0	1	1	0	0
hsa-miR-331-5p:mirBase	0	3	2	1	1	1	0	3	0	1	1	0	0	1	7	3	0	0	1	0	0	0	0	3	0	0	2	0	1	2	0	1	5	0	1	1	0	0	4	0	2	2	0	0	0
hsa-miR-335-3p:mirBase	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	1
hsa-miR-335-5p:mirBase	30	5	5	13	43	5	4	39	16	18	10	8	12	7	141	7	3	0	6	4	11	1	3	18	2	5	1	121	3	8	8	5	4	12	30	10	9	2	8	14	8	6	44	9	16
hsa-miR-337-3p:mirBase	1	3	0	1	0	0	2	1	0	0	1	0	0	0	1	3	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	4	1	1	0	0	0	0	3	1	1	2
hsa-miR-337-5p:mirBase	1	6	2	3	47	1	2	10	1	7	1	8	16	1	3	8	2	0	3	1	9	2	4	3	0	0	2	2	0	1	2	13	4	2	4	3	4	1	10	0	6	5	5	0	2
hsa-miR-338-3p:mirBase	74	29	12	38	496	23	3	10	6	37	15	14	24	42	18	2	12	6	14	1	2	3	2	93	14	11	8	30	3	6	41	217	1	1	11	39	15	2	20	20	15	69	30	3	204
