ID	Average_no	Average_low	Average_high	Median_no	Median_low	Median_high	log2FoldChange	pvalue	padj	test	treshold	samples	biospecimen
hsa-miR-4506	32.8279202897767	21.0128760562605	19.3884381013581	12.5699998467347	11.2113852583588	7.65053530172376	-0.269361742374701	0.493688123939458	0.833189277450648	low_vs_no	FALSE	male	stool
hsa-miR-4506-5p:Novel	1.26927994816304	1.08467975573583	0.569110169452533	0.344798878999791	0	0.475779204380613	0.733270248294896	0.14053728790651	NA	low_vs_no	NA	male	stool
hsa-miR-4507	6.51821882266654	7.82015390884913	3.90795148284158	5.20955884076424	3.16508028550122	2.19086338565433	0.228537381957638	0.492812628175598	0.833189277450648	low_vs_no	FALSE	male	stool
hsa-miR-4507-5p:Novel	2.33993893208964	1.9628135634378	1.78602799267545	1.29209624258552	0.989246309927337	1.43341325676753	0.301973043602453	0.409143968644192	NA	low_vs_no	NA	male	stool
hsa-miR-4508	4.2252659598632	5.40926944560936	3.94051698356424	2.78337303683301	2.58702676091073	1.61715209693144	-0.311678104512197	0.392891918222884	0.786412973199119	low_vs_no	FALSE	male	stool
hsa-miR-4508-3p:Novel	117.549514785994	192.667353457406	113.957437724258	61.6289183800369	64.9442473546878	62.1940961046516	0.209090234405292	0.550198615232143	0.854227158997376	low_vs_no	FALSE	male	stool
hsa-miR-4509	11.0333409710834	8.65066087396237	4.54172129680887	8.40433723632253	4.68863704743308	4.63798027839677	-0.105661633820346	0.734892504721793	0.916596695449709	low_vs_no	FALSE	male	stool
hsa-miR-4509-3p:Novel	5.45813755012765	6.60329697877818	6.05603023588748	4.37586783381624	4.07596929710492	5.76182423785853	0.272292295550112	0.286444917020549	0.704583549761071	low_vs_no	FALSE	male	stool
hsa-miR-450a-1-3p	0.371180823168018	0.434644356950467	0.419249228158512	0	0	0.201928883456661	0.753034882378343	0.281213269909064	NA	low_vs_no	NA	male	stool
hsa-miR-450a-2-3p	1.28742927488648	0.549468037256307	1.34769868486783	0	0	0	1.02555664450616	0.168215271459717	NA	low_vs_no	NA	male	stool
hsa-miR-450a-5p	2.36884708775051	2.75299495878784	2.63031853468993	0.701114134688891	1.08098768392077	1.62329309743887	0.688921150404596	0.0801479077505382	NA	low_vs_no	NA	male	stool
hsa-miR-450b-3p	0.195269352700904	0.0991257294720566	0.156670360853692	0	0	0	0.770287407457332	0.701973725465956	NA	low_vs_no	NA	male	stool
hsa-miR-450b-5p	0.0905475751306532	0.200851448962609	0.367201410471163	0	0	0	1.07294770794843	0.472908178008655	NA	low_vs_no	NA	male	stool
hsa-miR-4510	1.18029720314744	1.28828789776524	0.890236077397182	0.423865943706543	0.27347104605106	0.488964986687483	0.338241360322218	0.441600750404559	NA	low_vs_no	NA	male	stool
hsa-miR-4510-3p:Novel	6.73903330747863	7.58678029084636	6.18721732848661	2.7886115286217	3.75090963794647	3.71225756498085	0.222051943596656	0.563170314390177	0.858807705917458	low_vs_no	FALSE	male	stool
