ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	a.drinker.x	a.no_drinker.x	a.drinker.y	a.no_drinker.y
hsa-miR-196a-3p	9.33148491440455	-0.20791925257645	0.485769563510997	-0.428020337613728	0.668636313620854	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	5.639	50.73	2.478	2.652
hsa-miR-196a-5p	4.54138726854448	0.138836207146532	0.412925323898626	0.336225944768204	0.736700489535313	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	4.441	5.663	2.667	4.099
hsa-miR-196b-3p	0.389636420207712	-0.476069680816	0.807435074222266	-0.589607382704495	0.55545390098893	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	0.368	0.636	0	0
hsa-miR-196b-5p	4.55488076314797	0.192910682784981	0.548807170019643	0.35150904238018	0.7252064899285	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	3.223	19.483	0.612	0.663
hsa-miR-197-3p	1.53842468298546	0.621049690046416	0.760372947694303	0.81676983897131	0.414059971514462	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	1.411	2.968	0	0
hsa-miR-197-5p	56.0772923277956	0.117035244956145	0.296484405671644	0.394743341360628	0.693032313088054	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	56.569	50.568	37.737	35.931
hsa-miR-1972	1.02993916118707	-1.08688873337127	0.543401987373004	-2.00015597776091	0.0454834237431204	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	0.939	2.053	0	1.046
hsa-miR-1972-5p:Novel	1.07094314077182	-0.198514069241741	0.50253409418769	-0.395026071937715	0.692823646835363	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	0.979	2.105	0.28	0.456
hsa-miR-1973	0.7832109056726	0.0461444295469619	0.490825614800627	0.0940138985323856	0.925098116205207	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	0.761	1.028	0	0.449
hsa-miR-1973-5p:Novel	0.268181886105903	0.706593325764795	1.01818516181374	0.69397330884896	0.487698947764318	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	0.252	0.455	0	0
hsa-miR-1976	4.61503819962302	-0.0573550018070327	0.342644878947822	-0.167389053013592	0.86706393808665	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	4.578	5.029	3.333	3.193
hsa-miR-1976-5p:Novel	1.57859144194929	0.693105990669367	0.469415902581202	1.47652856850002	0.139802051764822	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	1.615	1.173	0.624	1.006
hsa-miR-198	0.55210057141676	-0.229949620938816	0.585545994857069	-0.392709749462032	0.694533868997002	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	0.537	0.723	0	0
