ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	_16.x	16_.x	_16.y	16_.y
hsa-miR-138-5p	6.56119473879987	-0.0685992606323191	0.246113291900826	-0.278730417615811	0.78045171735644	0.957705339662222	U16_vs_never	FALSE	6.467	9.349	4.866	5.712
hsa-miR-139-3p	9.56582569090093	0.974769865851853	0.443853151517585	2.1961539813765	0.028080923919736	0.332782219932782	U16_vs_never	FALSE	24.081	4.786	1.757	0.977
hsa-miR-139-5p	4.1631500844598	0.00578434149717809	0.502190316076272	0.0115182258837097	0.990809988605742	0.997319298713898	U16_vs_never	FALSE	3.866	8.987	0.349	0.133
hsa-miR-140-3p	11.6400680171204	0.0795027122333383	0.500631481834993	0.158804859698261	0.87382261991745	0.977675957827805	U16_vs_never	FALSE	6.172	102.647	0.74	1.071
hsa-miR-140-5p	1.25357290304913	-0.471994547366851	0.669286584817154	-0.705220391494621	0.480673093195896	NA	U16_vs_never	NA	0.476	10.143	0	0
hsa-miR-141-3p	14.0159163037821	-0.113741639823499	0.356433716590202	-0.319110214689002	0.749642938089913	0.944273912028297	U16_vs_never	FALSE	10.399	75.495	5.755	3.721
hsa-miR-141-5p	2.29421209997843	-0.543661531876755	0.460489519630808	-1.18061651503519	0.237755099889733	0.710285082539662	U16_vs_never	FALSE	1.755	3.781	0.74	0.195
hsa-miR-142-3p	6.009542965052	0.3632820390311	0.540352644427991	0.672305470838705	0.5013892476316	0.867671923910329	U16_vs_never	FALSE	2.242	52.057	0.495	0.632
hsa-miR-142-5p	16.0691325209151	-0.343144530028791	0.56078825541734	-0.611896784060539	0.540606049487391	0.88293450819246	U16_vs_never	FALSE	5.242	164.704	0.37	0.486
hsa-miR-143-3p	83.3855093302773	-0.0615341570322106	0.318597333533531	-0.193140841292491	0.846848668056131	0.971523616328605	U16_vs_never	FALSE	46.5	563.377	15.232	13.697
hsa-miR-143-5p	0.836718194818339	-0.119361310969682	0.437078081736564	-0.273089216680564	0.784784635639428	NA	U16_vs_never	NA	0.929	2.103	0.37	0.049
hsa-miR-144-3p	17.7330485036931	0.0648149455221518	0.494720042187102	0.131013381296646	0.895764721903975	0.977675957827805	U16_vs_never	FALSE	7.292	150.812	1.126	0.941
hsa-miR-144-5p	6.29973747911478	-1.07420355551367	0.659697966926091	-1.62832630896075	0.103455713802517	0.550187675243717	U16_vs_never	FALSE	4.362	54.957	0	0.371
hsa-miR-145-3p	2.79273994024446	-0.0149402937679472	0.394468176355593	-0.0378745223657262	0.969787726676739	0.99555815608851	U16_vs_never	FALSE	2.648	12.042	1.224	1.86
hsa-miR-145-5p	0.556475864491369	-1.30451479473733	1.41107875968996	-0.924480498185627	0.355236200481293	NA	U16_vs_never	NA	0.587	2.238	0	0
hsa-miR-1468-3p	0.241627192672706	-0.423905518325837	1.24672120669729	-0.340016289166053	0.733844261009205	NA	U16_vs_never	NA	0.123	0.119	0	0
hsa-miR-1468-5p	0.464671599523002	0.00861020428137189	0.693059817288604	0.0124234648533756	0.990087764182312	NA	U16_vs_never	NA	0.418	1.653	0	0.225
hsa-miR-1469	0.836311130259685	-0.357335218381817	0.45691677719863	-0.782057556679469	0.434180748788133	NA	U16_vs_never	NA	0.884	0.45	0.139	0
hsa-miR-1469-3p:Novel	30.1827846865357	-0.970037813291536	0.380798631175073	-2.54737736398416	0.0108535994214851	0.254703514755115	U16_vs_never	FALSE	13.649	52.067	9.829	10.679
hsa-miR-146a-3p	0.579466378976819	-0.0458854194169629	0.525635268511316	-0.0872951686573808	0.930436894215014	NA	U16_vs_never	NA	0.781	0.596	0	0
hsa-miR-146a-5p	24.909986368335	-0.346148490153417	0.364727277054876	-0.949061153167702	0.342589510430188	0.801368047843788	U16_vs_never	FALSE	5.82	232.614	4.339	2.172
hsa-miR-146b-3p	12.9961577387088	-0.419355666853392	0.505224527134728	-0.830038219307518	0.406517175224189	0.824281972507735	U16_vs_never	FALSE	5.178	27.55	2.988	1.174
hsa-miR-146b-5p	35.5437046186594	-0.631209631582588	0.365049995575935	-1.72910461370294	0.0837903735853384	0.507712856894212	U16_vs_never	FALSE	4.969	358.552	3.06	2.359
hsa-miR-1470	2.69509011844056	-0.494963450656174	0.3551938938249	-1.39350213858174	0.163467998777326	0.641349846857097	U16_vs_never	FALSE	2.811	0.975	1.74	1.004
hsa-miR-1470-3p:Novel	4.43564721728549	-0.459496307778294	0.303748242449179	-1.51275379924272	0.130342208320883	0.587361421950198	U16_vs_never	FALSE	3.953	6.811	2.181	3.421
hsa-miR-1471	0.431334130297852	0.214422456488382	0.641430401170732	0.334287954074239	0.738162279384467	NA	U16_vs_never	NA	0.589	0.389	0	0
hsa-miR-1471-3p:Novel	11.5833599918705	-0.196515892072483	0.349773126248732	-0.561838166871449	0.574226285354853	0.900991634653796	U16_vs_never	FALSE	9.201	9.645	8.118	3.596
hsa-miR-147a	1.93348247178345	-0.0179682783736999	0.373511112662078	-0.048106409058721	0.961631438431084	0.993593176991655	U16_vs_never	FALSE	2.224	2.09	1.126	0.975
hsa-miR-147a-5p:Novel	8.04938762266089	0.525527679634903	0.275879841702233	1.90491511229053	0.0567911064820172	0.440949115617181	U16_vs_never	FALSE	11.409	2.924	9.147	2.387
hsa-miR-147b-3p	2.60715700328454	-0.261001626810709	0.433507719019148	-0.602069156695179	0.547128104295532	0.884736878817002	U16_vs_never	FALSE	2.782	13.33	0.554	1.377
hsa-miR-147b-5p	1.39042294131586	-0.318174261204868	0.52274173094119	-0.608664360184138	0.542746934857289	NA	U16_vs_never	NA	1.194	3.674	0.198	0.367
hsa-miR-148a-3p	304.629482553046	-0.118195885134483	0.394582957029611	-0.299546351480186	0.764523211193749	0.950651215611322	U16_vs_never	FALSE	153.201	3181.143	13.721	22.259
hsa-miR-148a-5p	4.87930111084078	0.224822449423023	0.427805347306799	0.525525103504124	0.599218206885649	0.908370765048414	U16_vs_never	FALSE	4.407	11.028	2.025	1.016
hsa-miR-148b-3p	6.72132476215814	0.798135973584524	0.514769798477197	1.55047163983899	0.121028355324413	0.565483211812304	U16_vs_never	FALSE	3.829	56.344	1.195	1.321
hsa-miR-148b-5p	2.92534132408539	0.0915531224295116	0.374099799522968	0.244729140582955	0.80666616309057	0.962847607658752	U16_vs_never	FALSE	2.861	5.713	1.868	1.95
hsa-miR-149-3p	44.75751741234	0.365123550015157	0.291979021594369	1.25051295816178	0.211112224725573	0.691190730234913	U16_vs_never	FALSE	90.44	64.987	22.666	28.133
hsa-miR-149-5p	1.05278738434928	-0.37267176165688	0.470646314744542	-0.791829766815787	0.428459943236559	NA	U16_vs_never	NA	1.014	3.689	0.297	0
hsa-miR-150-3p	6.84649300402832	-0.345103563989846	0.273355299490634	-1.26247255726487	0.206778795057384	0.687078913175193	U16_vs_never	FALSE	4.966	7.047	3.674	4.909
hsa-miR-150-5p	8.7359665382173	-0.389980138919935	0.309892237090549	-1.25843790919482	0.20823342921042	0.687503035100785	U16_vs_never	FALSE	4.418	51.222	2.988	3.935
hsa-miR-151a-3p	138.744809753049	-0.27447878672713	0.193997151741491	-1.41485987945268	0.157109583305914	0.634694899432339	U16_vs_never	FALSE	102.771	527.087	75.668	148.149
hsa-miR-151a-5p	1.02328523267599	-0.577472365714341	0.796273973261797	-0.725218185078718	0.468318188326863	NA	U16_vs_never	NA	0.365	7.731	0	0
hsa-miR-151b	7.11386824986261	0.192372654437734	0.284979486647558	0.675040357117518	0.499650125028981	0.867280900035183	U16_vs_never	FALSE	8.482	8.755	4.687	3.849
hsa-miR-151b-5p:Novel	1.15757513351141	-0.275258408322773	0.399675563841962	-0.688704622511308	0.491009166665503	NA	U16_vs_never	NA	1.363	1.693	0.679	0.371
hsa-miR-152-3p	33.0988753862659	0.338428349296405	0.308711959115069	1.09625927763381	0.272965324953262	0.749693498111071	U16_vs_never	FALSE	21.94	236.135	9.147	4.887
hsa-miR-152-5p	6.360937897174	-0.450730267995494	0.367077083809375	-1.22788996610194	0.21948827665969	0.696453185554787	U16_vs_never	FALSE	4.332	4.081	2.433	3.048
hsa-miR-153-1-5p:Novel	1.23370823090455	-0.483551965757031	0.484973231499126	-0.997069393422598	0.318730828008224	NA	U16_vs_never	NA	0.879	1.94	0.349	0.494
hsa-miR-153-2-5p	3.76606013691216	0.58272709566923	0.326551732472684	1.78448630866772	0.0743446775977155	0.482879588131969	U16_vs_never	FALSE	4.818	5.96	3.061	1.994
hsa-miR-153-3p	17.5626724675826	-0.288427847164072	0.303165596831578	-0.951387130263023	0.341407891027806	0.80034964617994	U16_vs_never	FALSE	11.352	26.878	7.231	10.623
hsa-miR-1537-3p	0.166847270550304	-0.248745987864002	1.33364026201862	-0.186516555437143	0.852039697288274	NA	U16_vs_never	NA	0.155	0.044	0	0
hsa-miR-1537-5p	0.0658641009520382	-0.756278873165479	2.65856389583879	-0.284468947445353	0.776051027810131	NA	U16_vs_never	NA	0.005	0	0	0
hsa-miR-1538	14.2496723530335	0.183997617532652	0.353292956337823	0.520807489172557	0.602500885436925	0.909271650847136	U16_vs_never	FALSE	21.339	6.45	8.826	2.93
hsa-miR-1538-5p:Novel	3.29888853001734	-0.32657655749211	0.359180915502496	-0.909225806263197	0.363230944861841	0.803529267238812	U16_vs_never	FALSE	2.746	3.142	1.802	1.241
hsa-miR-1539	2.58704008293104	-0.378367141388602	0.410954094590689	-0.920704152529386	0.357204907603055	0.803529267238812	U16_vs_never	FALSE	1.511	1.79	1.007	0.269
