ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	never.x	former.x	_16.x	16_.x	never.y	former.y	_16.y	16_.y
hsa-miR-320d	27.1119560934492	0.306782364338287	0.368838626856533	0.831752267794924	0.405548791377639	0.790892575393407	_16_vs_never	FALSE	25.063	27.925	31.488	25.439	10.375	9.435	11.864	9.131
hsa-miR-320d-1-5p:Novel	25.0028932013332	-0.233952521479647	0.260885333836418	-0.896763792886654	0.369844972122992	0.784519636053305	_16_vs_never	FALSE	26.427	20.838	27.01	24.741	15.556	16.246	17.575	11.837
hsa-miR-320d-2-5p:Novel	2.98433605048702	0.433147086416325	0.273018684527706	1.58651078099517	0.112623488488944	0.512775645608492	_16_vs_never	FALSE	2.933	2.542	3.366	4.254	1.685	1.704	2.988	2.301
hsa-miR-320e	16.375509789276	-0.371021628315466	0.300239395279385	-1.23575264988199	0.216550520412733	0.628561423598003	_16_vs_never	FALSE	14.863	20.197	12.285	15.17	9.141	5.938	8.963	7.468
hsa-miR-320e-5p:Novel	728.496197454215	0.255950740711145	0.182878386624506	1.39956801585676	0.161642717370291	0.568699911438363	_16_vs_never	FALSE	668.34	762.122	765.311	838.066	581.876	602.386	531.208	609.912
hsa-miR-323a-3p	0.284541167458207	-0.423080312316893	1.13384426562739	-0.373137938906266	0.709045783267994	NA	_16_vs_never	NA	0.162	0.18	0.216	1.914	0	0	0	0
hsa-miR-323a-5p	17.6309760319941	-0.366929265610776	0.234748164894985	-1.56307618325759	0.118034676812806	0.51700186631464	_16_vs_never	FALSE	16.5	16.326	14.796	35.823	12.624	12.538	12.647	13.718
hsa-miR-323b-3p	0.0953293452402736	-0.358632587249215	1.54985129869574	-0.231398062221206	0.817005570441271	NA	_16_vs_never	NA	0.047	0.168	0.102	0.103	0	0	0	0
hsa-miR-323b-5p	7.80203768560475	-0.00136734269834022	0.345999091833812	-0.00395186788234974	0.996846873837541	0.997444503857827	_16_vs_never	FALSE	6.896	5.978	6.754	25.039	3.297	3.275	4.03	2.72
hsa-miR-324-3p	32.2894560320622	0.485917665697087	0.445251256278144	1.09133362083888	0.275126108987866	0.695735569546588	_16_vs_never	FALSE	31.317	23.659	31.084	79.505	5.662	7.941	10.041	18.05
hsa-miR-324-5p	37.59272396691	0.46011258860417	0.445437982948575	1.03294421719149	0.301630004488833	0.725389737019975	_16_vs_never	FALSE	36.585	27.87	35.588	91.139	6.132	9.617	13.77	20.203
hsa-miR-325	0.995396844380164	0.604651235098169	0.459481482783713	1.31594255210235	0.188193325148148	NA	_16_vs_never	NA	0.889	1.04	1.266	0.898	0.165	0	0.289	0
hsa-miR-325-3p:Novel	4.79677565149161	-0.792954277460122	0.451154517262532	-1.7576112997195	0.0788136693741208	0.444391939815566	_16_vs_never	FALSE	5.372	5.171	2.532	1.865	2.075	1.142	1.836	0
hsa-miR-326	9.92000793216472	0.12961853238157	0.306215025413188	0.423292528531775	0.672081844811129	0.911332201827864	_16_vs_never	FALSE	8.553	12.731	9.85	5.395	5.122	6.344	9.147	3.779
hsa-miR-326-5p:Novel	32.3504888742004	-0.281398336405404	0.295747904989709	-0.951480404959067	0.341360561025122	0.757603585959605	_16_vs_never	FALSE	32.746	32.058	39.854	8.298	5.114	4.906	5.785	4.122
hsa-miR-328-3p	0.677039551375138	-0.434422803886515	0.769982628210325	-0.564198188336075	0.572619260635607	NA	_16_vs_never	NA	0.312	0.391	0.379	5.627	0	0	0	0
hsa-miR-328-5p	10.907076063776	-0.225366134217259	0.311616240868118	-0.723216908045039	0.469546632580375	0.815465183813843	_16_vs_never	FALSE	11.064	10.57	10.534	9.847	6.786	5.404	6.123	3.638
hsa-miR-329-3p	5.09437751023398	0.0575927955088254	0.268224428606948	0.214718680949158	0.829986656975162	0.944916596515379	_16_vs_never	FALSE	4.977	4.763	6.492	3.798	3.772	2.974	4.574	2.49
hsa-miR-329-5p	1.05143904206704	0.0599179363257843	0.464432659801193	0.129013184282589	0.897347216467026	NA	_16_vs_never	NA	1.101	0.807	1.215	1.301	0.371	0	0.612	0.319
hsa-miR-330-3p	1.356783760159	0.0906459897378798	0.45719199574656	0.198266790716364	0.842836333064672	NA	_16_vs_never	NA	1.013	0.995	1.441	5.58	0	0.355	0.791	0.368
hsa-miR-330-5p	0.724269076953599	0.00404263970109485	0.51940875136786	0.00778315669585578	0.993790002135851	NA	_16_vs_never	NA	0.577	0.485	0.877	2.681	0	0	0	0.225
hsa-miR-331-3p	0.366623261039092	-0.940267081491071	1.00455803197877	-0.936000760094411	0.34927279636291	NA	_16_vs_never	NA	0.134	0.261	0.08	3.358	0	0	0	0
hsa-miR-331-5p	0.807145386939932	-0.847579849167248	0.534486709404337	-1.58578283473473	0.112788580846517	NA	_16_vs_never	NA	0.986	0.312	0.59	2.07	0	0	0	0.049
hsa-miR-335-3p	0.471863657339029	-0.659794555096856	0.908823317531003	-0.725987705607419	0.467846307508882	NA	_16_vs_never	NA	0.297	0.161	0.38	3.579	0	0	0	0
hsa-miR-335-5p	6.40581958545999	0.0381552715460907	0.404541842047688	0.0943172438058779	0.924857152399268	0.974251682068603	_16_vs_never	FALSE	5.042	8.517	5.449	7.889	2.158	2.069	2.988	2.937
hsa-miR-337-3p	0.209691486772848	0.478051384059914	1.07952874005202	0.442833401579357	0.657886241639982	NA	_16_vs_never	NA	0.175	0.218	0.387	0.046	0	0	0	0
hsa-miR-337-5p	2.34493640025472	0.0610768890068632	0.461499664593641	0.132344384390057	0.894711902434709	NA	_16_vs_never	NA	2.533	2.249	2.181	1.104	0.457	0.661	0.735	0.698
hsa-miR-338-3p	17.440233658703	-0.932640794017767	0.365278497521797	-2.55323212383207	0.0106728340999756	0.205702701586498	_16_vs_never	FALSE	20.949	11.312	10.087	30.469	9.274	5.606	4.59	14.094
hsa-miR-338-5p	1.91390858008286	-0.0890931202225235	0.431441675002544	-0.206500960348808	0.836399614657977	NA	_16_vs_never	NA	1.172	0.987	1.269	13.658	0.399	0.34	0.97	0.778
hsa-miR-339-3p	1.8189973073504	-0.268802832615574	0.410409315114315	-0.654962796204325	0.512491707671106	NA	_16_vs_never	NA	1.4	2.022	1.48	4.631	0.977	0.896	0.698	0.828
hsa-miR-339-5p	3.35784311763636	0.00147201097992459	0.342507573434246	0.00429774724443337	0.996570904383697	0.997444503857827	_16_vs_never	FALSE	2.75	3.444	3.808	6.374	2.264	1.804	3.038	1.948
hsa-miR-33a-3p	0.049431117853025	-0.540489609378469	1.94025245273963	-0.27856664147766	0.780577415912569	NA	_16_vs_never	NA	0.066	0.035	0.025	0.019	0	0	0	0
hsa-miR-33a-5p	5.76879103197373	0.629003791356037	0.414900841182175	1.51603402288561	0.129510749601744	0.519599617993537	_16_vs_never	FALSE	5.994	5.53	6.48	2.421	1.814	2.082	2.39	1.369
hsa-miR-33b-3p	1.65456093022687	-0.297099730518731	0.373464504788811	-0.795523340797104	0.42630913918675	NA	_16_vs_never	NA	1.207	2.273	1.278	2.751	0.612	0.898	1.013	1.105
hsa-miR-33b-5p	4.28607922745279	-0.0719295077237612	0.428470612526286	-0.167875008509127	0.866681611403107	0.959848446869135	_16_vs_never	FALSE	4.867	3.635	4.373	1.608	1.332	1.065	1.53	1.655
hsa-miR-340-3p	0.757728769493807	-0.534633267196807	0.67407411847021	-0.793137212284817	0.427697884169095	NA	_16_vs_never	NA	0.318	0.332	0.349	7.242	0	0	0	0
hsa-miR-340-5p	2.65744403484716	-1.22730690437555	0.472895008341656	-2.5953052638036	0.00945069404381376	NA	_16_vs_never	NA	2.516	1.479	1.459	11.667	0.998	0	0.504	0.309
hsa-miR-342-3p	2.06082915697103	0.0865973401676324	0.403313607172359	0.214714650405099	0.829989799600022	NA	_16_vs_never	NA	1.735	1.633	2.082	6.452	0.82	0.681	0.832	1.224
hsa-miR-342-5p	7.33149962696237	-1.41936798130071	0.416865060246028	-3.40486194852362	0.000661975096935648	0.0857084932911317	_16_vs_never	FALSE	4.322	4.222	2.73	55.953	1.479	1.439	1.511	1.887
hsa-miR-345-3p	10.8271860377174	-0.0767990972812192	0.304435261436332	-0.252267417771777	0.800834370705396	0.934026949480996	_16_vs_never	FALSE	8.765	9.725	9.995	33.035	4.944	4.354	5.92	6.907
hsa-miR-345-5p	1.10283371542929	0.396469113757004	0.453054724142882	0.875102040944545	0.38151838668568	NA	_16_vs_never	NA	1.012	0.587	1.274	3.864	0	0	0.786	0
hsa-miR-346	9.15463565495688	-0.585706838310304	0.404834925678434	-1.44677941837345	0.147958712951857	0.544445433540865	_16_vs_never	FALSE	9.434	10.251	6.704	4.497	2.931	3.314	3.061	2.529
hsa-miR-346-3p:Novel	4.83793741291767	-0.343461144916284	0.378688590656823	-0.906975159511833	0.364419933410743	0.784519636053305	_16_vs_never	FALSE	6.008	3.201	3.315	5.422	1.997	2.332	2.448	1.8
hsa-miR-34a-3p	0.370390890617173	-0.36496361249184	0.614906708308903	-0.59352680261946	0.552828651117342	NA	_16_vs_never	NA	0.38	0.352	0.437	0.171	0	0	0	0
hsa-miR-34a-5p	3.14988537511655	-0.824196206556371	0.511628141070135	-1.61092821210432	0.107195370112962	0.509445399440418	_16_vs_never	FALSE	3.355	2.902	1.284	5.854	0.701	0.942	0.934	1.416
hsa-miR-34b-3p	0.18473431010086	-0.407536797487804	0.898620882172308	-0.453513606875719	0.650178947586653	NA	_16_vs_never	NA	0.187	0.181	0.195	0.128	0	0	0	0
hsa-miR-34b-5p	2.95136993672635	-0.0504194698426388	0.344637826263914	-0.146296970327421	0.883686957455702	0.966486055107393	_16_vs_never	FALSE	2.867	2.066	4.141	5.001	1.245	1.226	1.195	1.24
hsa-miR-34c-3p	0.054724678729377	-0.669183171543347	2.26956318711314	-0.294851086474724	0.768107638900812	NA	_16_vs_never	NA	0.063	0.053	0.022	0.046	0	0	0	0
hsa-miR-34c-5p	0.797037605836294	-0.433748705119355	0.48937735462451	-0.886327699924249	0.375440966670905	NA	_16_vs_never	NA	0.773	0.653	0.823	1.496	0	0	0	0.084
hsa-miR-3529-3p	0.588134224266009	-0.236974883853741	0.615573091348454	-0.384966281314591	0.700262397511049	NA	_16_vs_never	NA	0.605	0.533	0.559	0.659	0	0	0	0
hsa-miR-3529-5p	2.19936969356589	-0.298008765785704	0.422492901287423	-0.705358042413517	0.480587448001618	NA	_16_vs_never	NA	2.458	1.918	1.813	1.8	0.849	0.862	0.58	1.35
hsa-miR-3605-3p	1.44905505710295	0.149859310187388	0.448544429825562	0.334101373738311	0.738303063484487	NA	_16_vs_never	NA	1.6	1.263	1.584	0.541	0.565	0.471	0.698	0
