ID	Average_no	Average_low	Average_high	Median_no	Median_low	Median_high	log2FoldChange	pvalue	padj	test	treshold	samples	biospecimen
hsa-miR-133a-5p	21.3573740300074	12.8314410638372	18.2187981336106	15.6070193532853	7.56691378744539	8.47846664079012	-0.890843194852191	0.134491947633226	0.459532618437085	low_vs_no	FALSE	male	stool
hsa-miR-133b	18.7235000380114	20.8451088070825	9.73448880681696	4.20666203480156	10.8513184106447	6.85238694711403	0.950246497916284	0.173701349009025	0.499662410325544	low_vs_no	FALSE	male	stool
hsa-miR-133b-5p:Novel	12.6052487995001	8.2415457954419	16.7177027827048	9.42844220227336	6.72804128331789	6.53403529615514	0.0459099346856625	0.942082864879316	0.987870230024367	low_vs_no	FALSE	male	stool
hsa-miR-134-3p	0.282846201957685	0.666832322528187	0.310756954064587	0	0	0	1.47364276326107	0.355806373932823	NA	low_vs_no	NA	male	stool
hsa-miR-134-5p	10.4852300667814	12.4044411541967	21.342733479627	4.60664994923025	5.42565920532236	11.5393522966309	1.01628359260429	0.215874759129104	0.547340159454476	low_vs_no	FALSE	male	stool
hsa-miR-1343-3p	0	0.29018660103984	0.147612379604604	0	0	0	1.42773848673161	0.524285874597068	NA	low_vs_no	NA	male	stool
hsa-miR-1343-5p	5.0546333928099	4.89768502252286	2.85906588879455	4.2904942697254	2.73895307979986	2.07928625779335	-0.276154592449637	0.655185260189189	0.862217150781965	low_vs_no	FALSE	male	stool
hsa-miR-135a-2-3p	1.83390197216551	1.73689344895593	0.82433676486679	0.741108108630805	1.04671424963735	0	0.551913035883245	0.514428997219912	NA	low_vs_no	NA	male	stool
hsa-miR-135a-3p	0.989317802179838	1.54651130886887	0.893152166327299	0.711994498677703	0.805695799359526	0	1.18150756651827	0.190788418037257	NA	low_vs_no	NA	male	stool
hsa-miR-135a-5p	4.64519953961928	5.4760247802859	2.19647044432745	4.22248520397331	2.84472573782437	1.84906070334678	-0.220010918358393	0.750900178323978	0.907556509233059	low_vs_no	FALSE	male	stool
hsa-miR-135b-3p	0.617454647203882	0.988051443322188	0.81969531916618	0.299512869870716	0	0	1.2744531882613	0.211560605392363	NA	low_vs_no	NA	male	stool
hsa-miR-135b-5p	1.56218442760175	0.79295184292051	0.437757823639355	1.03982425209847	0	0	-0.520043136508001	0.556338683432883	NA	low_vs_no	NA	male	stool
hsa-miR-136-3p	0.0542591156150621	0.31465271092711	0.106661564156805	0	0	0	1.84783619608043	0.519138615274051	NA	low_vs_no	NA	male	stool
hsa-miR-136-5p	3.79786527265808	1.88963146055504	2.58043083019903	4.61010760555431	0.586224734200311	1.41307777346502	-0.361265684875007	0.650195785904607	0.861672668910808	low_vs_no	FALSE	male	stool
hsa-miR-137-3p	32.2953010186057	39.7306547149474	67.9152746911012	25.0020386461214	21.3253145660326	32.8061951986186	-0.0158947941867727	0.980956388479116	0.992925109666026	low_vs_no	FALSE	male	stool
hsa-miR-137-5p	7.77318904335868	11.228055520338	9.77066617839276	3.52641612340838	3.89221196019888	3.62903859223923	2.21135783241763	0.0134632235251483	0.195362188047988	low_vs_no	FALSE	male	stool
hsa-miR-138-1-3p	0.163865080833061	0.350958461664166	0.102191354309771	0	0	0	0.90730914685038	0.635132027183096	NA	low_vs_no	NA	male	stool
hsa-miR-138-2-3p	0.245253754255654	0.52905587841801	0.266892866185052	0	0	0	1.40552379656034	0.534350417997027	NA	low_vs_no	NA	male	stool
hsa-miR-138-5p	13.3208302997499	8.44524624430722	9.59843536568312	6.60095721107168	6.78508484966499	5.54718211004035	-0.158431299220008	0.744282965108298	0.903772171917219	low_vs_no	FALSE	male	stool
hsa-miR-139-3p	3.25926567784255	7.39077246778763	3.17793259953738	2.58620904712774	1.39444590287513	1.21157330073997	0.98497026930485	0.201029783838999	0.525108024788518	low_vs_no	FALSE	male	stool
hsa-miR-139-5p	1.06874075421125	5.38093134866704	3.91125661179671	1.27240952038391	1.01934658145521	0	2.63902583658035	0.00217058363212179	0.099584241592667	low_vs_no	FALSE	male	stool
